,0,1,2,Latitude,Longitude
0,小樽郵便局,https://map.japanpost.jp/p/search/dtl/300190002000/?&cond2=1&cond200=1&&his=sa2,047-8799 北海道小樽市色内１−８−１,43.1970969,141.0011586
1,小樽郵便局,https://map.japanpost.jp/p/search/dtl/300190002000/?&cond2=1&cond200=1&&his=sa2,047-8799 北海道小樽市色内１−８−１,43.1970969,141.0011586
2,朝里郵便局,https://map.japanpost.jp/p/search/dtl/300190579000/?&cond2=1&cond200=1&&his=sa2,047-0152 北海道小樽市新光２−６−５,43.1742839,141.0567247
3,ウイングベイ小樽内郵便局,https://map.japanpost.jp/p/search/dtl/300190564000/?&cond2=1&cond200=1&&his=sa2,047-0008 北海道小樽市築港１１−３,43.1833458,141.0251094
4,忍路郵便局,https://map.japanpost.jp/p/search/dtl/300190042000/?&cond2=1&cond200=1&&his=sa2,048-2561 北海道小樽市忍路１−３７１,43.2079283,140.8640333
5,オタモイ簡易郵便局,https://map.japanpost.jp/p/search/dtl/300190759000/?&cond2=1&cond200=1&&his=sa2,048-2671 北海道小樽市オタモイ１−２０−３,43.2185533,140.9598011
6,小樽赤岩郵便局,https://map.japanpost.jp/p/search/dtl/300190420000/?&cond2=1&cond200=1&&his=sa2,047-0046 北海道小樽市赤岩２−１９−２３,43.2244192,140.9945847
7,小樽稲穂郵便局,https://map.japanpost.jp/p/search/dtl/300190250000/?&cond2=1&cond200=1&&his=sa2,047-0032 北海道小樽市稲穂４−２−７,43.2021164,140.9956397
8,小樽入船郵便局,https://map.japanpost.jp/p/search/dtl/300190218000/?&cond2=1&cond200=1&&his=sa2,047-0021 北海道小樽市入船３−１７−２７,43.1794428,140.9919686
9,小樽梅ヶ枝郵便局,https://map.japanpost.jp/p/search/dtl/300190236000/?&cond2=1&cond200=1&&his=sa2,047-0044 北海道小樽市梅ケ枝町１３−１,43.2140647,140.9937939
10,小樽駅前郵便局,https://map.japanpost.jp/p/search/dtl/300190130000/?&cond2=1&cond200=1&&his=sa2,047-0032 北海道小樽市稲穂３−１０−１９,43.1986025,140.9940536
11,小樽奥沢三郵便局,https://map.japanpost.jp/p/search/dtl/300190228000/?&cond2=1&cond200=1&&his=sa2,047-0013 北海道小樽市奥沢３−１５−４,43.1769853,141.0007322
12,小樽奥沢郵便局,https://map.japanpost.jp/p/search/dtl/300190159000/?&cond2=1&cond200=1&&his=sa2,047-0013 北海道小樽市奥沢１−１７−５,43.1819289,141.0074958
13,小樽堺町郵便局,https://map.japanpost.jp/p/search/dtl/300190046000/?&cond2=1&cond200=1&&his=sa2,047-0027 北海道小樽市堺町６−１４,43.1910197,141.0069703
14,小樽桜町郵便局,https://map.japanpost.jp/p/search/dtl/300190329000/?&cond2=1&cond200=1&&his=sa2,047-0156 北海道小樽市桜１−５−１７,43.1777689,141.0359981
15,小樽産業会館内郵便局,https://map.japanpost.jp/p/search/dtl/300190301000/?&cond2=1&cond200=1&&his=sa2,047-0032 北海道小樽市稲穂２−１７−１,43.1954192,140.9962836
16,小樽祝津郵便局,https://map.japanpost.jp/p/search/dtl/300190073000/?&cond2=1&cond200=1&&his=sa2,047-0047 北海道小樽市祝津２−２０３−８,43.2302633,141.012355
17,小樽住吉郵便局,https://map.japanpost.jp/p/search/dtl/300190071000/?&cond2=1&cond200=1&&his=sa2,047-0016 北海道小樽市信香町９−１０,43.1855925,141.0109861
18,小樽銭函西郵便局,https://map.japanpost.jp/p/search/dtl/300190504000/?&cond2=1&cond200=1&&his=sa2,047-0261 北海道小樽市銭函１−３０−３４,43.1430856,141.1480467
19,小樽高島郵便局,https://map.japanpost.jp/p/search/dtl/300190077000/?&cond2=1&cond200=1&&his=sa2,047-0048 北海道小樽市高島２−５−２１,43.2187458,141.0120953
20,小樽豊川郵便局,https://map.japanpost.jp/p/search/dtl/300190224000/?&cond2=1&cond200=1&&his=sa2,047-0043 北海道小樽市豊川町１４−７,43.2104406,140.990925
21,小樽長橋郵便局,https://map.japanpost.jp/p/search/dtl/300190199000/?&cond2=1&cond200=1&&his=sa2,047-0036 北海道小樽市長橋３−１−２,43.2079461,140.9807758
22,小樽長橋四郵便局,https://map.japanpost.jp/p/search/dtl/300190440000/?&cond2=1&cond200=1&&his=sa2,047-0036 北海道小樽市長橋４−１０−１９,43.2089347,140.9682267
23,小樽錦町郵便局,https://map.japanpost.jp/p/search/dtl/300190191000/?&cond2=1&cond200=1&&his=sa2,047-0039 北海道小樽市錦町１２−１１,43.2078464,140.9967522
24,小樽花園二郵便局,https://map.japanpost.jp/p/search/dtl/300190262000/?&cond2=1&cond200=1&&his=sa2,047-0024 北海道小樽市花園２−４−４,43.1920836,140.9975953
25,小樽望洋台郵便局,https://map.japanpost.jp/p/search/dtl/300190287000/?&cond2=1&cond200=1&&his=sa2,047-0155 北海道小樽市望洋台２−３０−５,43.1653372,141.0386989
26,小樽緑町郵便局,https://map.japanpost.jp/p/search/dtl/300190129000/?&cond2=1&cond200=1&&his=sa2,047-0034 北海道小樽市緑１−５−５,43.1920644,140.9910181
27,小樽最上郵便局,https://map.japanpost.jp/p/search/dtl/300190324000/?&cond2=1&cond200=1&&his=sa2,047-0023 北海道小樽市最上１−２３−２,43.1831231,140.9815858
28,小樽若竹郵便局,https://map.japanpost.jp/p/search/dtl/300190141000/?&cond2=1&cond200=1&&his=sa2,047-0001 北海道小樽市若竹町8-13,43.1798758,141.0257125
29,塩谷郵便局,https://map.japanpost.jp/p/search/dtl/300190047000/?&cond2=1&cond200=1&&his=sa2,048-2672 北海道小樽市塩谷１−１８−１４,43.209855,140.9213883
30,銭函郵便局,https://map.japanpost.jp/p/search/dtl/300190032000/?&cond2=1&cond200=1&&his=sa2,047-0299 北海道小樽市銭函２−８−１,43.1421633,141.1619986
