0,1,2,Latitude,Longitude
伊万里郵便局,https://map.japanpost.jp/p/search/dtl/300177004000/?&cond2=1&cond200=1&&his=sa2,848-8799 佐賀県伊万里市伊万里町甲８２７−２,33.2733678,129.8749031
伊万里郵便局,https://map.japanpost.jp/p/search/dtl/300177004000/?&cond2=1&cond200=1&&his=sa2,848-8799 佐賀県伊万里市伊万里町甲８２７−２,33.2733678,129.8749031
伊万里大久保郵便局,https://map.japanpost.jp/p/search/dtl/300177151000/?&cond2=1&cond200=1&&his=sa2,849-4281 佐賀県伊万里市東山代町大久保３９８３−１,33.2797825,129.8235378
伊万里中里郵便局,https://map.japanpost.jp/p/search/dtl/300177170000/?&cond2=1&cond200=1&&his=sa2,848-0034 佐賀県伊万里市二里町中里甲３２９１−１,33.2448158,129.8509083
伊万里松浦郵便局,https://map.japanpost.jp/p/search/dtl/300177090000/?&cond2=1&cond200=1&&his=sa2,849-5261 佐賀県伊万里市松浦町桃川５６５７−３,33.2713844,129.9579356
浦崎郵便局,https://map.japanpost.jp/p/search/dtl/300177111000/?&cond2=1&cond200=1&&his=sa2,849-4261 佐賀県伊万里市山代町立岩４１３−９,33.335045,129.7906497
大川内郵便局,https://map.japanpost.jp/p/search/dtl/300177169000/?&cond2=1&cond200=1&&his=sa2,848-0027 佐賀県伊万里市立花町２６４９−１０,33.2635386,129.8922744
大川野郵便局,https://map.japanpost.jp/p/search/dtl/300177039000/?&cond2=1&cond200=1&&his=sa2,849-5299 佐賀県伊万里市大川町大川野３３４７−６,33.3052564,129.9733908
大坪郵便局,https://map.japanpost.jp/p/search/dtl/300177129000/?&cond2=1&cond200=1&&his=sa2,848-0027 佐賀県伊万里市立花町４０８８−２,33.2743736,129.8853603
楠久郵便局,https://map.japanpost.jp/p/search/dtl/300177022000/?&cond2=1&cond200=1&&his=sa2,849-4299 佐賀県伊万里市山代町楠久津新田１７７−４７,33.2944128,129.8266997
久原郵便局,https://map.japanpost.jp/p/search/dtl/300177060000/?&cond2=1&cond200=1&&his=sa2,849-4256 佐賀県伊万里市山代町久原２８７４,33.3144303,129.8113881
黒川郵便局,https://map.japanpost.jp/p/search/dtl/300177073000/?&cond2=1&cond200=1&&his=sa2,848-0199 佐賀県伊万里市黒川町小黒川４００−９,33.3266281,129.8485356
啓成郵便局,https://map.japanpost.jp/p/search/dtl/300177180000/?&cond2=1&cond200=1&&his=sa2,848-0045 佐賀県伊万里市松島町９５４,33.2809528,129.8795281
滝川内簡易郵便局,https://map.japanpost.jp/p/search/dtl/300177732000/?&cond2=1&cond200=1&&his=sa2,849-4285 佐賀県伊万里市東山代町滝川内２１０８,33.2788347,129.7957158
立花簡易郵便局,https://map.japanpost.jp/p/search/dtl/300177723000/?&cond2=1&cond200=1&&his=sa2,848-0027 佐賀県伊万里市立花町１９２２−３８,33.2590094,129.8815172
二里郵便局,https://map.japanpost.jp/p/search/dtl/300177134000/?&cond2=1&cond200=1&&his=sa2,848-0032 佐賀県伊万里市二里町大里甲１９７２−６,33.2674603,129.8629153
波多津郵便局,https://map.japanpost.jp/p/search/dtl/300177053000/?&cond2=1&cond200=1&&his=sa2,848-0101 佐賀県伊万里市波多津町辻５４７７,33.3727886,129.8705556
