0,1,2,Latitude,Longitude
相生郵便局,https://map.japanpost.jp/p/search/dtl/300143081000/?&cond2=1&cond200=1&&his=sa2,678-8799 兵庫県相生市垣内町２−４,34.8110169,134.4734686
相生郵便局,https://map.japanpost.jp/p/search/dtl/300143081000/?&cond2=1&cond200=1&&his=sa2,678-8799 兵庫県相生市垣内町２−４,34.8110169,134.4734686
相生旭郵便局,https://map.japanpost.jp/p/search/dtl/300143404000/?&cond2=1&cond200=1&&his=sa2,678-0031 兵庫県相生市旭４−１１−９,34.8080667,134.4712283
相生石播簡易郵便局,https://map.japanpost.jp/p/search/dtl/300142635000/?&cond2=1&cond200=1&&his=sa2,678-0041 兵庫県相生市相生５２９２−１,34.7963933,134.4665728
相生佐方郵便局,https://map.japanpost.jp/p/search/dtl/300143686000/?&cond2=1&cond200=1&&his=sa2,678-0063 兵庫県相生市佐方２−４−５,34.8032861,134.4521353
相生那波野郵便局,https://map.japanpost.jp/p/search/dtl/300143649000/?&cond2=1&cond200=1&&his=sa2,678-0023 兵庫県相生市向陽台６−１１,34.8159661,134.4894919
相生緑ケ丘郵便局,https://map.japanpost.jp/p/search/dtl/300143788000/?&cond2=1&cond200=1&&his=sa2,678-0071 兵庫県相生市緑ケ丘２−８−２４,34.8207897,134.4546431
相生港郵便局,https://map.japanpost.jp/p/search/dtl/300143150000/?&cond2=1&cond200=1&&his=sa2,678-0041 兵庫県相生市相生５−１−２４,34.7976542,134.4747217
相生矢野郵便局,https://map.japanpost.jp/p/search/dtl/300143366000/?&cond2=1&cond200=1&&his=sa2,678-0091 兵庫県相生市矢野町真広４８−１,34.8595111,134.4474419
若狭野郵便局,https://map.japanpost.jp/p/search/dtl/300143143000/?&cond2=1&cond200=1&&his=sa2,678-0082 兵庫県相生市若狭野町八洞五反田１７４−３,34.8324189,134.4332844
明石郵便局,https://map.japanpost.jp/p/search/dtl/300143007000/?&cond2=1&cond200=1&&his=sa2,673-8799 兵庫県明石市樽屋町１−７,34.6474342,134.9879322
明石郵便局,https://map.japanpost.jp/p/search/dtl/300143007000/?&cond2=1&cond200=1&&his=sa2,673-8799 兵庫県明石市樽屋町１−７,34.6474342,134.9879322
明石西郵便局,https://map.japanpost.jp/p/search/dtl/300143044000/?&cond2=1&cond200=1&&his=sa2,674-8799 兵庫県明石市魚住町錦が丘４−２−２２,34.6971511,134.90767
明石朝霧駅前郵便局,https://map.japanpost.jp/p/search/dtl/300143683000/?&cond2=1&cond200=1&&his=sa2,673-0870 兵庫県明石市朝霧南町２−２３２,34.6464042,135.0194108
明石朝霧郵便局,https://map.japanpost.jp/p/search/dtl/300143630000/?&cond2=1&cond200=1&&his=sa2,673-0866 兵庫県明石市朝霧町２−１１−１,34.6493014,135.0122497
明石上ノ丸郵便局,https://map.japanpost.jp/p/search/dtl/300143508000/?&cond2=1&cond200=1&&his=sa2,673-0846 兵庫県明石市上ノ丸１−１−２７,34.6538364,134.9995644
明石江井ケ島郵便局,https://map.japanpost.jp/p/search/dtl/300143159000/?&cond2=1&cond200=1&&his=sa2,674-0064 兵庫県明石市大久保町江井島７５１,34.67885,134.9177581
明石大久保郵便局,https://map.japanpost.jp/p/search/dtl/300143748000/?&cond2=1&cond200=1&&his=sa2,674-0058 兵庫県明石市大久保町駅前１−１８−１２,34.6843003,134.9385778
明石岡田郵便局,https://map.japanpost.jp/p/search/dtl/300143719000/?&cond2=1&cond200=1&&his=sa2,674-0051 兵庫県明石市大久保町大窪９４６−５,34.6875328,134.94801
明石和坂郵便局,https://map.japanpost.jp/p/search/dtl/300143507000/?&cond2=1&cond200=1&&his=sa2,673-0011 兵庫県明石市西明石町５−１４−７,34.6628433,134.9663617
明石貴崎郵便局,https://map.japanpost.jp/p/search/dtl/300143587000/?&cond2=1&cond200=1&&his=sa2,673-0037 兵庫県明石市貴崎２−１７−１,34.6521342,134.9661564
明石子午線郵便局,https://map.japanpost.jp/p/search/dtl/300143256000/?&cond2=1&cond200=1&&his=sa2,673-0881 兵庫県明石市天文町１−３−６,34.6468525,135.0014189
明石清水郵便局,https://map.japanpost.jp/p/search/dtl/300143780000/?&cond2=1&cond200=1&&his=sa2,674-0074 兵庫県明石市魚住町清水１０１４−４,34.7079253,134.9066756
明石太寺郵便局,https://map.japanpost.jp/p/search/dtl/300143697000/?&cond2=1&cond200=1&&his=sa2,673-0844 兵庫県明石市東野町１８７２−１４,34.6547225,135.0078339
明石高丘郵便局,https://map.japanpost.jp/p/search/dtl/300143742000/?&cond2=1&cond200=1&&his=sa2,674-0057 兵庫県明石市大久保町高丘３−３−９３−１０１,34.7007125,134.9480267
明石田町郵便局,https://map.japanpost.jp/p/search/dtl/300143403000/?&cond2=1&cond200=1&&his=sa2,673-0025 兵庫県明石市田町２−１１−２３,34.6476728,134.9766694
明石茶園場郵便局,https://map.japanpost.jp/p/search/dtl/300143550000/?&cond2=1&cond200=1&&his=sa2,673-0849 兵庫県明石市茶園場町１−２,34.6576889,134.9893958
