0,1,2,Latitude,Longitude
旭郵便局,https://map.japanpost.jp/p/search/dtl/300105040000/?&cond2=1&cond200=1&&his=sa2,289-2599 千葉県旭市ロ１４４０−４,35.71998,140.6497536
旭郵便局,https://map.japanpost.jp/p/search/dtl/300105040000/?&cond2=1&cond200=1&&his=sa2,289-2599 千葉県旭市ロ１４４０−４,35.71998,140.6497536
旭東町郵便局,https://map.japanpost.jp/p/search/dtl/300105385000/?&cond2=1&cond200=1&&his=sa2,289-2516 千葉県旭市ロ７０６−２,35.7206231,140.6575697
旭馬場簡易郵便局,https://map.japanpost.jp/p/search/dtl/300105733000/?&cond2=1&cond200=1&&his=sa2,289-2504 千葉県旭市ニ３０１５−１,35.7236864,140.6362511
飯岡郵便局,https://map.japanpost.jp/p/search/dtl/300105031000/?&cond2=1&cond200=1&&his=sa2,289-2799 千葉県旭市横根１６８,35.6968581,140.7251972
海上郵便局,https://map.japanpost.jp/p/search/dtl/300105135000/?&cond2=1&cond200=1&&his=sa2,289-2613 千葉県旭市後草２０２４,35.7276544,140.6848606
鏑木郵便局,https://map.japanpost.jp/p/search/dtl/300105053000/?&cond2=1&cond200=1&&his=sa2,289-0511 千葉県旭市鏑木１３７０,35.7629897,140.5789789
共和郵便局,https://map.japanpost.jp/p/search/dtl/300105149000/?&cond2=1&cond200=1&&his=sa2,289-2501 千葉県旭市新町１０１８,35.7458536,140.6355642
三川郵便局,https://map.japanpost.jp/p/search/dtl/300105296000/?&cond2=1&cond200=1&&his=sa2,289-2714 千葉県旭市三川セ−１３６３−２,35.7094817,140.6991683
椎名内郵便局,https://map.japanpost.jp/p/search/dtl/300105115000/?&cond2=1&cond200=1&&his=sa2,289-2514 千葉県旭市椎名内３０２７,35.6960603,140.6671833
滝郷郵便局,https://map.japanpost.jp/p/search/dtl/300105265000/?&cond2=1&cond200=1&&his=sa2,289-2602 千葉県旭市岩井１７７−１,35.7571031,140.6863769
豊畑郵便局,https://map.japanpost.jp/p/search/dtl/300105155000/?&cond2=1&cond200=1&&his=sa2,289-2534 千葉県旭市泉川１１４９−１,35.7049056,140.607775
干潟郵便局,https://map.japanpost.jp/p/search/dtl/300105333000/?&cond2=1&cond200=1&&his=sa2,289-0599 千葉県旭市清和甲１９４−８,35.7694625,140.6217542
万歳郵便局,https://map.japanpost.jp/p/search/dtl/300105089000/?&cond2=1&cond200=1&&his=sa2,289-0504 千葉県旭市櫻井２８−６,35.7763203,140.6473408
我孫子郵便局,https://map.japanpost.jp/p/search/dtl/300105079000/?&cond2=1&cond200=1&&his=sa2,270-1199 千葉県我孫子市天王台６−８−１５,35.8667942,140.0420333
我孫子郵便局,https://map.japanpost.jp/p/search/dtl/300105079000/?&cond2=1&cond200=1&&his=sa2,270-1199 千葉県我孫子市天王台６−８−１５,35.8667942,140.0420333
我孫子新木郵便局,https://map.japanpost.jp/p/search/dtl/300105568000/?&cond2=1&cond200=1&&his=sa2,270-1114 千葉県我孫子市新木野２−１−８,35.8641947,140.1079683
我孫子泉郵便局,https://map.japanpost.jp/p/search/dtl/300105572000/?&cond2=1&cond200=1&&his=sa2,270-1142 千葉県我孫子市泉１２−１４,35.8720644,140.0313761
我孫子駅前郵便局,https://map.japanpost.jp/p/search/dtl/300105681000/?&cond2=1&cond200=1&&his=sa2,270-1166 千葉県我孫子市我孫子１−９−１８,35.8740892,140.0108303
我孫子湖北台郵便局,https://map.japanpost.jp/p/search/dtl/300105442000/?&cond2=1&cond200=1&&his=sa2,270-1132 千葉県我孫子市湖北台３−１−４,35.8656367,140.0750375
我孫子柴崎台郵便局,https://map.japanpost.jp/p/search/dtl/300105630000/?&cond2=1&cond200=1&&his=sa2,270-1176 千葉県我孫子市柴崎台２−１１−１４,35.8747344,140.0425331
我孫子つくし野郵便局,https://map.japanpost.jp/p/search/dtl/300105532000/?&cond2=1&cond200=1&&his=sa2,270-1164 千葉県我孫子市つくし野３−２２−２,35.8811236,140.0096692
我孫子平和台郵便局,https://map.japanpost.jp/p/search/dtl/300105657000/?&cond2=1&cond200=1&&his=sa2,270-1108 千葉県我孫子市布佐平和台４−１−３９,35.8567792,140.1260631
我孫子緑郵便局,https://map.japanpost.jp/p/search/dtl/300105429000/?&cond2=1&cond200=1&&his=sa2,270-1153 千葉県我孫子市緑１−５−２,35.8703836,140.0142664
湖北郵便局,https://map.japanpost.jp/p/search/dtl/300105180000/?&cond2=1&cond200=1&&his=sa2,270-1121 千葉県我孫子市中峠１３０４,35.8692811,140.0828514
