0,1,2,Latitude,Longitude
池田郵便局,https://map.japanpost.jp/p/search/dtl/300141069000/?&cond2=1&cond200=1&&his=sa2,563-8799 大阪府池田市城南２−１−１,34.8206019,135.4282611
池田郵便局,https://map.japanpost.jp/p/search/dtl/300141069000/?&cond2=1&cond200=1&&his=sa2,563-8799 大阪府池田市城南２−１−１,34.8206019,135.4282611
池田井口堂郵便局,https://map.japanpost.jp/p/search/dtl/300140143000/?&cond2=1&cond200=1&&his=sa2,563-0023 大阪府池田市井口堂２−２−７,34.8162264,135.4427167
池田石橋郵便局,https://map.japanpost.jp/p/search/dtl/300141176000/?&cond2=1&cond200=1&&his=sa2,563-0032 大阪府池田市石橋１−４−２０,34.808865,135.4441381
池田石橋四郵便局,https://map.japanpost.jp/p/search/dtl/300141672000/?&cond2=1&cond200=1&&his=sa2,563-0032 大阪府池田市石橋４−１０−２７,34.8013828,135.4442133
池田宇保郵便局,https://map.japanpost.jp/p/search/dtl/300141778000/?&cond2=1&cond200=1&&his=sa2,563-0042 大阪府池田市宇保町１１−１５,34.8160944,135.4312392
池田北豊島郵便局,https://map.japanpost.jp/p/search/dtl/300141583000/?&cond2=1&cond200=1&&his=sa2,563-0036 大阪府池田市豊島北２−１−１３,34.8073039,135.4358242
池田神田郵便局,https://map.japanpost.jp/p/search/dtl/300141609000/?&cond2=1&cond200=1&&his=sa2,563-0043 大阪府池田市神田１−３−１５,34.8132417,135.4242725
池田栄本町郵便局,https://map.japanpost.jp/p/search/dtl/300141229000/?&cond2=1&cond200=1&&his=sa2,563-0058 大阪府池田市栄本町６−２７,34.8252797,135.4258667
池田五月丘郵便局,https://map.japanpost.jp/p/search/dtl/300141655000/?&cond2=1&cond200=1&&his=sa2,563-0029 大阪府池田市五月丘１−７−２,34.8259408,135.4349861
池田畑郵便局,https://map.japanpost.jp/p/search/dtl/300141704000/?&cond2=1&cond200=1&&his=sa2,563-0021 大阪府池田市畑１−３−１８,34.8233353,135.4456489
池田鉢塚郵便局,https://map.japanpost.jp/p/search/dtl/300141526000/?&cond2=1&cond200=1&&his=sa2,563-0024 大阪府池田市鉢塚３−３−３,34.8159753,135.4387992
池田伏尾台郵便局,https://map.japanpost.jp/p/search/dtl/300140231000/?&cond2=1&cond200=1&&his=sa2,563-0017 大阪府池田市伏尾台５−８−１,34.8574011,135.4370953
池田細河郵便局,https://map.japanpost.jp/p/search/dtl/300141780000/?&cond2=1&cond200=1&&his=sa2,563-0013 大阪府池田市中川原町１４４−３,34.8464878,135.42918
泉大津郵便局,https://map.japanpost.jp/p/search/dtl/300141071000/?&cond2=1&cond200=1&&his=sa2,595-8799 大阪府泉大津市小松町１−８５,34.5067986,135.4056483
泉大津郵便局,https://map.japanpost.jp/p/search/dtl/300141071000/?&cond2=1&cond200=1&&his=sa2,595-8799 大阪府泉大津市小松町１−８５,34.5067986,135.4056483
泉大津我孫子郵便局,https://map.japanpost.jp/p/search/dtl/300141364000/?&cond2=1&cond200=1&&his=sa2,595-0024 大阪府泉大津市池浦町２−１１−２４,34.4948164,135.4153194
泉大津池浦郵便局,https://map.japanpost.jp/p/search/dtl/300140009000/?&cond2=1&cond200=1&&his=sa2,595-0024 大阪府泉大津市池浦町４−３−１１,34.4997358,135.4152944
泉大津上之町郵便局,https://map.japanpost.jp/p/search/dtl/300141431000/?&cond2=1&cond200=1&&his=sa2,595-0046 大阪府泉大津市上之町４−３,34.5005608,135.4004261
泉大津助松郵便局,https://map.japanpost.jp/p/search/dtl/300141315000/?&cond2=1&cond200=1&&his=sa2,595-0071 大阪府泉大津市助松町３−２−４３,34.5127561,135.4185997
泉大津曽根郵便局,https://map.japanpost.jp/p/search/dtl/300140107000/?&cond2=1&cond200=1&&his=sa2,595-0011 大阪府泉大津市曽根町３−８−１,34.5060239,135.4206833
泉大津田中郵便局,https://map.japanpost.jp/p/search/dtl/300141284000/?&cond2=1&cond200=1&&his=sa2,595-0062 大阪府泉大津市田中町９−１７,34.5033764,135.4038206
泉大津豊中郵便局,https://map.japanpost.jp/p/search/dtl/300140024000/?&cond2=1&cond200=1&&his=sa2,595-0023 大阪府泉大津市豊中町１−７−２３,34.4963192,135.4217972
泉大津虫取郵便局,https://map.japanpost.jp/p/search/dtl/300141719000/?&cond2=1&cond200=1&&his=sa2,595-0037 大阪府泉大津市虫取町１−１１−１２,34.4961331,135.408865
泉大津森郵便局,https://map.japanpost.jp/p/search/dtl/300141556000/?&cond2=1&cond200=1&&his=sa2,595-0007 大阪府泉大津市助松団地１−１,34.5115842,135.4278736
泉佐野郵便局,https://map.japanpost.jp/p/search/dtl/300141008000/?&cond2=1&cond200=1&&his=sa2,598-8799 大阪府泉佐野市上町２−８−４５,34.4113003,135.3229389
泉佐野郵便局,https://map.japanpost.jp/p/search/dtl/300141008000/?&cond2=1&cond200=1&&his=sa2,598-8799 大阪府泉佐野市上町２−８−４５,34.4113003,135.3229389
泉佐野旭郵便局,https://map.japanpost.jp/p/search/dtl/300141348000/?&cond2=1&cond200=1&&his=sa2,598-0052 大阪府泉佐野市旭町１１−１６,34.4160658,135.320625
泉佐野泉ケ丘郵便局,https://map.japanpost.jp/p/search/dtl/300141608000/?&cond2=1&cond200=1&&his=sa2,598-0072 大阪府泉佐野市泉ケ丘１−１−１６,34.4154944,135.3505714
泉佐野市場郵便局,https://map.japanpost.jp/p/search/dtl/300141736000/?&cond2=1&cond200=1&&his=sa2,598-0004 大阪府泉佐野市市場南１−３−４３,34.4042308,135.3235278
泉佐野大木簡易郵便局,https://map.japanpost.jp/p/search/dtl/300141843000/?&cond2=1&cond200=1&&his=sa2,598-0023 大阪府泉佐野市大木３７６,34.3519417,135.3716736
泉佐野貝田郵便局,https://map.japanpost.jp/p/search/dtl/300140239000/?&cond2=1&cond200=1&&his=sa2,598-0076 大阪府泉佐野市貝田町１−３−２４,34.4225183,135.3452364
泉佐野上瓦屋郵便局,https://map.japanpost.jp/p/search/dtl/300141653000/?&cond2=1&cond200=1&&his=sa2,598-0001 大阪府泉佐野市上瓦屋２９０,34.4130664,135.3389897
泉佐野高松郵便局,https://map.japanpost.jp/p/search/dtl/300141674000/?&cond2=1&cond200=1&&his=sa2,598-0011 大阪府泉佐野市高松北１−８−１,34.4076864,135.3152222
泉佐野鶴原郵便局,https://map.japanpost.jp/p/search/dtl/300141191000/?&cond2=1&cond200=1&&his=sa2,598-0071 大阪府泉佐野市鶴原１−２−１１,34.4276239,135.3373697
泉佐野羽倉崎郵便局,https://map.japanpost.jp/p/search/dtl/300141596000/?&cond2=1&cond200=1&&his=sa2,598-0046 大阪府泉佐野市羽倉崎１−４−９,34.4018347,135.3002781
泉佐野湊郵便局,https://map.japanpost.jp/p/search/dtl/300141766000/?&cond2=1&cond200=1&&his=sa2,598-0063 大阪府泉佐野市湊４−５−３２,34.4201178,135.3282683
泉佐野南中安松郵便局,https://map.japanpost.jp/p/search/dtl/300140199000/?&cond2=1&cond200=1&&his=sa2,598-0033 大阪府泉佐野市南中安松１３２２,34.3948903,135.3073447
泉佐野若宮郵便局,https://map.japanpost.jp/p/search/dtl/300140022000/?&cond2=1&cond200=1&&his=sa2,598-0055 大阪府泉佐野市若宮町９−１６,34.4125131,135.3147139
上之郷簡易郵便局,https://map.japanpost.jp/p/search/dtl/300141813000/?&cond2=1&cond200=1&&his=sa2,598-0024 大阪府泉佐野市上之郷１９１０−３,34.3747814,135.3249861
長滝郵便局,https://map.japanpost.jp/p/search/dtl/300141125000/?&cond2=1&cond200=1&&his=sa2,598-0034 大阪府泉佐野市長滝８１７−３,34.3859953,135.3128386
日根野郵便局,https://map.japanpost.jp/p/search/dtl/300141248000/?&cond2=1&cond200=1&&his=sa2,598-0021 大阪府泉佐野市日根野２６０７−１,34.3842456,135.3344042
和泉郵便局,https://map.japanpost.jp/p/search/dtl/300141074000/?&cond2=1&cond200=1&&his=sa2,594-8799 大阪府和泉市いぶき野５−４−１,34.4595164,135.458775
和泉郵便局,https://map.japanpost.jp/p/search/dtl/300141074000/?&cond2=1&cond200=1&&his=sa2,594-8799 大阪府和泉市いぶき野５−４−１,34.4595164,135.458775
和泉池上郵便局,https://map.japanpost.jp/p/search/dtl/300140106000/?&cond2=1&cond200=1&&his=sa2,594-0083 大阪府和泉市池上町３５９−４,34.5026056,135.4323961
和泉一条院郵便局,https://map.japanpost.jp/p/search/dtl/300141381000/?&cond2=1&cond200=1&&his=sa2,594-0053 大阪府和泉市芦部町２２０−１０,34.4800578,135.4405425
和泉内田郵便局,https://map.japanpost.jp/p/search/dtl/300141105000/?&cond2=1&cond200=1&&his=sa2,594-1156 大阪府和泉市内田町２−１−１０,34.4545581,135.4485833
和泉光明台郵便局,https://map.japanpost.jp/p/search/dtl/300140215000/?&cond2=1&cond200=1&&his=sa2,594-1111 大阪府和泉市光明台３−２−２,34.4538667,135.4906272
和泉信太郵便局,https://map.japanpost.jp/p/search/dtl/300141333000/?&cond2=1&cond200=1&&his=sa2,594-0003 大阪府和泉市太町２３−６,34.5078492,135.4424225
和泉父鬼郵便局,https://map.japanpost.jp/p/search/dtl/300141162000/?&cond2=1&cond200=1&&his=sa2,594-1132 大阪府和泉市父鬼町２５１−１,34.3890206,135.4659897
和泉中央駅前郵便局,https://map.japanpost.jp/p/search/dtl/300140325000/?&cond2=1&cond200=1&&his=sa2,594-0041 大阪府和泉市いぶき野４−５−２,34.4615469,135.4554833
和泉鶴山台郵便局,https://map.japanpost.jp/p/search/dtl/300141797000/?&cond2=1&cond200=1&&his=sa2,594-0013 大阪府和泉市鶴山台２−１,34.5028392,135.4500939
和泉納花郵便局,https://map.japanpost.jp/p/search/dtl/300140165000/?&cond2=1&cond200=1&&his=sa2,594-1116 大阪府和泉市納花町２５５−１,34.4462178,135.4744561
和泉伯太郵便局,https://map.japanpost.jp/p/search/dtl/300141566000/?&cond2=1&cond200=1&&his=sa2,594-0023 大阪府和泉市伯太町２−３１−１９,34.4945947,135.435845
和泉久井郵便局,https://map.japanpost.jp/p/search/dtl/300141336000/?&cond2=1&cond200=1&&his=sa2,594-1142 大阪府和泉市久井町５３２−４,34.4184933,135.4591533
和泉伏屋郵便局,https://map.japanpost.jp/p/search/dtl/300141688000/?&cond2=1&cond200=1&&his=sa2,594-0031 大阪府和泉市伏屋町３−２４−２６,34.4796219,135.4677483
和泉府中郵便局,https://map.japanpost.jp/p/search/dtl/300141217000/?&cond2=1&cond200=1&&his=sa2,594-0071 大阪府和泉市府中町１−３−５,34.4879842,135.4262769
和泉箕形郵便局,https://map.japanpost.jp/p/search/dtl/300141741000/?&cond2=1&cond200=1&&his=sa2,594-0042 大阪府和泉市箕形町３−２−３９,34.4656931,135.4412314
和泉山手郵便局,https://map.japanpost.jp/p/search/dtl/300141365000/?&cond2=1&cond200=1&&his=sa2,594-0005 大阪府和泉市幸３−９−３３,34.4999753,135.4392144
和泉横山郵便局,https://map.japanpost.jp/p/search/dtl/300141120000/?&cond2=1&cond200=1&&his=sa2,594-1122 大阪府和泉市北田中町１,34.4303669,135.4956219
和泉和気東郵便局,https://map.japanpost.jp/p/search/dtl/300140272000/?&cond2=1&cond200=1&&his=sa2,594-0073 大阪府和泉市和気町４−８−２５,34.4758558,135.4279436
和泉和気郵便局,https://map.japanpost.jp/p/search/dtl/300141673000/?&cond2=1&cond200=1&&his=sa2,594-0073 大阪府和泉市和気町１−１１−１,34.4784556,135.4220281
和泉和田郵便局,https://map.japanpost.jp/p/search/dtl/300140336000/?&cond2=1&cond200=1&&his=sa2,594-1102 大阪府和泉市和田町２２１−１,34.4589472,135.4738256
坪井簡易郵便局,https://map.japanpost.jp/p/search/dtl/300141823000/?&cond2=1&cond200=1&&his=sa2,594-1135 大阪府和泉市坪井町１０−４,34.418325,135.4866944
伯太西郵便局,https://map.japanpost.jp/p/search/dtl/300141086000/?&cond2=1&cond200=1&&his=sa2,594-0023 大阪府和泉市伯太町２−１−１１,34.4915925,135.4300158
茨木郵便局,https://map.japanpost.jp/p/search/dtl/300141006000/?&cond2=1&cond200=1&&his=sa2,567-8799 大阪府茨木市中穂積１−１−４０,34.8153214,135.5578536
茨木郵便局,https://map.japanpost.jp/p/search/dtl/300141006000/?&cond2=1&cond200=1&&his=sa2,567-8799 大阪府茨木市中穂積１−１−４０,34.8153214,135.5578536
茨木安威郵便局,https://map.japanpost.jp/p/search/dtl/300140132000/?&cond2=1&cond200=1&&his=sa2,567-0001 大阪府茨木市安威１−２２−５,34.8456539,135.5626183
茨木鮎川郵便局,https://map.japanpost.jp/p/search/dtl/300141758000/?&cond2=1&cond200=1&&his=sa2,567-0831 大阪府茨木市鮎川４−７−１１,34.8187308,135.5942722
茨木宇野辺郵便局,https://map.japanpost.jp/p/search/dtl/300140007000/?&cond2=1&cond200=1&&his=sa2,567-0042 大阪府茨木市宇野辺１−５−２２,34.8049917,135.5553622
茨木大池郵便局,https://map.japanpost.jp/p/search/dtl/300141656000/?&cond2=1&cond200=1&&his=sa2,567-0826 大阪府茨木市大池２−１０−２４,34.8101428,135.5808875
茨木太田郵便局,https://map.japanpost.jp/p/search/dtl/300140037000/?&cond2=1&cond200=1&&his=sa2,567-0018 大阪府茨木市太田１−１２−３３,34.8398553,135.5758258
茨木春日丘郵便局,https://map.japanpost.jp/p/search/dtl/300141722000/?&cond2=1&cond200=1&&his=sa2,567-0046 大阪府茨木市南春日丘６−３−３１,34.8181211,135.5362297
茨木春日郵便局,https://map.japanpost.jp/p/search/dtl/300141781000/?&cond2=1&cond200=1&&his=sa2,567-0031 大阪府茨木市春日３−７−１１,34.8218403,135.5660411
茨木郡山郵便局,https://map.japanpost.jp/p/search/dtl/300141794000/?&cond2=1&cond200=1&&his=sa2,567-0074 大阪府茨木市新郡山２−２−３６,34.8314219,135.5445958
茨木沢良宜郵便局,https://map.japanpost.jp/p/search/dtl/300141747000/?&cond2=1&cond200=1&&his=sa2,567-0855 大阪府茨木市新和町５−２９,34.7969603,135.5745736
茨木清水郵便局,https://map.japanpost.jp/p/search/dtl/300141143000/?&cond2=1&cond200=1&&his=sa2,567-0059 大阪府茨木市清水１−３０−１,34.8362939,135.5285639
茨木下穂積郵便局,https://map.japanpost.jp/p/search/dtl/300140038000/?&cond2=1&cond200=1&&his=sa2,567-0041 大阪府茨木市下穂積２−４−３０,34.8118333,135.5549706
茨木市役所内郵便局,https://map.japanpost.jp/p/search/dtl/300140250000/?&cond2=1&cond200=1&&his=sa2,567-0888 大阪府茨木市駅前３−８−２０,34.8158775,135.5684828
茨木庄郵便局,https://map.japanpost.jp/p/search/dtl/300141771000/?&cond2=1&cond200=1&&his=sa2,567-0806 大阪府茨木市庄２−２５−２４,34.8273661,135.5808453
茨木高瀬郵便局,https://map.japanpost.jp/p/search/dtl/300141313000/?&cond2=1&cond200=1&&his=sa2,567-0817 大阪府茨木市別院町２−１４,34.8179725,135.5741761
茨木中央卸売市場内郵便局,https://map.japanpost.jp/p/search/dtl/300140117000/?&cond2=1&cond200=1&&his=sa2,567-0853 大阪府茨木市宮島１−１−１,34.7902364,135.5827128
茨木天王郵便局,https://map.japanpost.jp/p/search/dtl/300140097000/?&cond2=1&cond200=1&&his=sa2,567-0876 大阪府茨木市天王２−１−１６,34.8034089,135.5642553
茨木中穂積郵便局,https://map.japanpost.jp/p/search/dtl/300141459000/?&cond2=1&cond200=1&&his=sa2,567-0034 大阪府茨木市中穂積１−６−４９,34.8181908,135.5589064
茨木中村郵便局,https://map.japanpost.jp/p/search/dtl/300141616000/?&cond2=1&cond200=1&&his=sa2,567-0822 大阪府茨木市中村町１５−２７,34.8179919,135.5823678
茨木畑田郵便局,https://map.japanpost.jp/p/search/dtl/300141625000/?&cond2=1&cond200=1&&his=sa2,567-0028 大阪府茨木市畑田町２０−６,34.8307781,135.5671964
茨木東奈良郵便局,https://map.japanpost.jp/p/search/dtl/300141489000/?&cond2=1&cond200=1&&his=sa2,567-0861 大阪府茨木市東奈良３−３−２７,34.8052394,135.5675783
茨木福井郵便局,https://map.japanpost.jp/p/search/dtl/300141011000/?&cond2=1&cond200=1&&his=sa2,567-0062 大阪府茨木市東福井１−１２−７,34.8427711,135.5532697
茨木星見郵便局,https://map.japanpost.jp/p/search/dtl/300140123000/?&cond2=1&cond200=1&&his=sa2,567-0843 大阪府茨木市星見町１８−２,34.8077208,135.5881531
茨木真砂郵便局,https://map.japanpost.jp/p/search/dtl/300140238000/?&cond2=1&cond200=1&&his=sa2,567-0851 大阪府茨木市真砂２−２−６,34.8007964,135.5789236
茨木三島丘郵便局,https://map.japanpost.jp/p/search/dtl/300141479000/?&cond2=1&cond200=1&&his=sa2,567-0021 大阪府茨木市三島丘２−１１−３,34.8340786,135.5800731
茨木山手台郵便局,https://map.japanpost.jp/p/search/dtl/300140188000/?&cond2=1&cond200=1&&his=sa2,567-0009 大阪府茨木市山手台３−２９−２５,34.8616239,135.5541247
大岩郵便局,https://map.japanpost.jp/p/search/dtl/300141022000/?&cond2=1&cond200=1&&his=sa2,568-0091 大阪府茨木市大岩３１８−５,34.8776506,135.5425725
彩都西郵便局,https://map.japanpost.jp/p/search/dtl/300140338000/?&cond2=1&cond200=1&&his=sa2,567-0086 大阪府茨木市彩都やまぶき１−２−２３,34.8566958,135.5206197
見山郵便局,https://map.japanpost.jp/p/search/dtl/300141268000/?&cond2=1&cond200=1&&his=sa2,568-0082 大阪府茨木市下音羽３５４−２,34.9048958,135.5414864
大阪狭山郵便局,https://map.japanpost.jp/p/search/dtl/300141122000/?&cond2=1&cond200=1&&his=sa2,589-8799 大阪府大阪狭山市岩室１−４０１−５,34.4988875,135.5440081
大阪狭山郵便局,https://map.japanpost.jp/p/search/dtl/300141122000/?&cond2=1&cond200=1&&his=sa2,589-8799 大阪府大阪狭山市岩室１−４０１−５,34.4988875,135.5440081
