0,1,2,Latitude,Longitude
安堵郵便局,https://map.japanpost.jp/p/search/dtl/300145040000/?&cond2=1&cond200=1&&his=sa2,639-1061 奈良県生駒郡安堵町東安堵９６４−２,34.6058353,135.7573589
安堵郵便局,https://map.japanpost.jp/p/search/dtl/300145040000/?&cond2=1&cond200=1&&his=sa2,639-1061 奈良県生駒郡安堵町東安堵９６４−２,34.6058353,135.7573589
イオンいかるが内簡易郵便局,https://map.japanpost.jp/p/search/dtl/300145781000/?&cond2=1&cond200=1&&his=sa2,636-0154 奈良県生駒郡斑鳩町龍田西８−１−１５,34.6043797,135.7135225
イオンいかるが内簡易郵便局,https://map.japanpost.jp/p/search/dtl/300145781000/?&cond2=1&cond200=1&&his=sa2,636-0154 奈良県生駒郡斑鳩町龍田西８−１−１５,34.6043797,135.7135225
斑鳩興留郵便局,https://map.japanpost.jp/p/search/dtl/300145215000/?&cond2=1&cond200=1&&his=sa2,636-0123 奈良県生駒郡斑鳩町興留６−１−１０,34.6023331,135.7346264
竜田郵便局,https://map.japanpost.jp/p/search/dtl/300145067000/?&cond2=1&cond200=1&&his=sa2,636-0153 奈良県生駒郡斑鳩町龍田南３−３−３８,34.6062594,135.7252547
法隆寺郵便局,https://map.japanpost.jp/p/search/dtl/300145031000/?&cond2=1&cond200=1&&his=sa2,636-0116 奈良県生駒郡斑鳩町法隆寺２−１２−５２,34.6109514,135.7376928
三郷勢野東簡易郵便局,https://map.japanpost.jp/p/search/dtl/300145773000/?&cond2=1&cond200=1&&his=sa2,636-0811 奈良県生駒郡三郷町勢野東３−１０−５,34.6067303,135.7002397
三郷勢野東簡易郵便局,https://map.japanpost.jp/p/search/dtl/300145773000/?&cond2=1&cond200=1&&his=sa2,636-0811 奈良県生駒郡三郷町勢野東３−１０−５,34.6067303,135.7002397
三郷立野郵便局,https://map.japanpost.jp/p/search/dtl/300145230000/?&cond2=1&cond200=1&&his=sa2,636-0822 奈良県生駒郡三郷町立野南２−１１−７,34.5898611,135.6853114
勢野簡易郵便局,https://map.japanpost.jp/p/search/dtl/300145765000/?&cond2=1&cond200=1&&his=sa2,636-0812 奈良県生駒郡三郷町勢野西１−３−２３,34.6020297,135.69595
立野簡易郵便局,https://map.japanpost.jp/p/search/dtl/300145712000/?&cond2=1&cond200=1&&his=sa2,636-0821 奈良県生駒郡三郷町立野北１−３２−２２,34.593795,135.6928258
平群西宮郵便局,https://map.japanpost.jp/p/search/dtl/300145229000/?&cond2=1&cond200=1&&his=sa2,636-0914 奈良県生駒郡平群町西宮３−８−１０,34.61735,135.7037903
平群西宮郵便局,https://map.japanpost.jp/p/search/dtl/300145229000/?&cond2=1&cond200=1&&his=sa2,636-0914 奈良県生駒郡平群町西宮３−８−１０,34.61735,135.7037903
平群緑ケ丘郵便局,https://map.japanpost.jp/p/search/dtl/300145225000/?&cond2=1&cond200=1&&his=sa2,636-0941 奈良県生駒郡平群町緑ケ丘１−１−１９,34.6428669,135.6981594
平群郵便局,https://map.japanpost.jp/p/search/dtl/300145105000/?&cond2=1&cond200=1&&his=sa2,636-0932 奈良県生駒郡平群町吉新２−４−５,34.63131,135.7016406
生駒郵便局,https://map.japanpost.jp/p/search/dtl/300145055000/?&cond2=1&cond200=1&&his=sa2,630-0299 奈良県生駒市谷田町１２３４−１,34.6971067,135.7004308
生駒郵便局,https://map.japanpost.jp/p/search/dtl/300145055000/?&cond2=1&cond200=1&&his=sa2,630-0299 奈良県生駒市谷田町１２３４−１,34.6971067,135.7004308
