0,1,2,Latitude,Longitude
飯野駅前郵便局,https://map.japanpost.jp/p/search/dtl/300173108000/?&cond2=1&cond200=1&&his=sa2,889-4301 宮崎県えびの市原田２２４７−７,32.0325053,130.8693369
飯野駅前郵便局,https://map.japanpost.jp/p/search/dtl/300173108000/?&cond2=1&cond200=1&&his=sa2,889-4301 宮崎県えびの市原田２２４７−７,32.0325053,130.8693369
えびの五日市簡易郵便局,https://map.japanpost.jp/p/search/dtl/300173759000/?&cond2=1&cond200=1&&his=sa2,889-4301 宮崎県えびの市原田４６８−４,32.0446075,130.8833331
えびの上江簡易郵便局,https://map.japanpost.jp/p/search/dtl/300173804000/?&cond2=1&cond200=1&&his=sa2,889-4304 宮崎県えびの市上江１１７７−１１,32.0308422,130.8493533
えびの郵便局,https://map.japanpost.jp/p/search/dtl/300173049000/?&cond2=1&cond200=1&&his=sa2,889-4399 宮崎県えびの市原田３２３７−３,32.0448347,130.8649172
大河平簡易郵便局,https://map.japanpost.jp/p/search/dtl/300173794000/?&cond2=1&cond200=1&&his=sa2,889-4314 宮崎県えびの市大河平４６４９,32.0395608,130.9056667
大溝原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300173814000/?&cond2=1&cond200=1&&his=sa2,889-4234 宮崎県えびの市永山４０５−４,32.0409386,130.78981
加久藤郵便局,https://map.japanpost.jp/p/search/dtl/300173019000/?&cond2=1&cond200=1&&his=sa2,889-4222 宮崎県えびの市小田１０−１,32.0450561,130.8153719
栗下簡易郵便局,https://map.japanpost.jp/p/search/dtl/300173781000/?&cond2=1&cond200=1&&his=sa2,889-4231 宮崎県えびの市東長江浦６２９,32.0377497,130.8136856
島内簡易郵便局,https://map.japanpost.jp/p/search/dtl/300173727000/?&cond2=1&cond200=1&&his=sa2,889-4152 宮崎県えびの市島内１８０−８,32.0592169,130.7813631
大明司簡易郵便局,https://map.japanpost.jp/p/search/dtl/300173795000/?&cond2=1&cond200=1&&his=sa2,889-4311 宮崎県えびの市大明司８８２−１,32.0495939,130.8326558
真幸郵便局,https://map.japanpost.jp/p/search/dtl/300173077000/?&cond2=1&cond200=1&&his=sa2,889-4199 宮崎県えびの市向江９７６,32.0462286,130.7645169
