0,1,2,Latitude,Longitude
小杉郵便局,https://map.japanpost.jp/p/search/dtl/300132027000/?&cond2=1&cond200=1&&his=sa2,939-0399 富山県射水市戸破若葉町１１９５,36.7185517,137.1013047
小杉郵便局,https://map.japanpost.jp/p/search/dtl/300132027000/?&cond2=1&cond200=1&&his=sa2,939-0399 富山県射水市戸破若葉町１１９５,36.7185517,137.1013047
射水一条郵便局,https://map.japanpost.jp/p/search/dtl/300101322380/?&cond2=1&cond200=1&&his=sa2,939-0333 富山県射水市一条６−２０,36.7143972,137.0890011
射水新湊郵便局,https://map.japanpost.jp/p/search/dtl/300132005000/?&cond2=1&cond200=1&&his=sa2,934-0011 富山県射水市本町３−１７−１０,36.7812761,137.0810278
海老江郵便局,https://map.japanpost.jp/p/search/dtl/300132036000/?&cond2=1&cond200=1&&his=sa2,933-0238 富山県射水市東明中町４−７,36.7634794,137.1475178
大江簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132723000/?&cond2=1&cond200=1&&his=sa2,939-0302 富山県射水市大江２１２−１,36.729355,137.1158531
大島郵便局,https://map.japanpost.jp/p/search/dtl/300132230000/?&cond2=1&cond200=1&&his=sa2,939-0274 富山県射水市小島７３３−１,36.7339539,137.0624917
金山郵便局,https://map.japanpost.jp/p/search/dtl/300132127000/?&cond2=1&cond200=1&&his=sa2,939-0321 富山県射水市青井谷６１−２,36.6880464,137.0746994
櫛田郵便局,https://map.japanpost.jp/p/search/dtl/300132175000/?&cond2=1&cond200=1&&his=sa2,939-0413 富山県射水市串田８４２−２,36.69399,137.0409647
黒河郵便局,https://map.japanpost.jp/p/search/dtl/300132093000/?&cond2=1&cond200=1&&his=sa2,939-0311 富山県射水市黒河２６７７−１,36.70224,137.1106872
小杉三ケ郵便局,https://map.japanpost.jp/p/search/dtl/300132102000/?&cond2=1&cond200=1&&his=sa2,939-0341 富山県射水市三ケ本中町３２８６,36.7228,137.0940917
下村郵便局,https://map.japanpost.jp/p/search/dtl/300132068000/?&cond2=1&cond200=1&&his=sa2,933-0204 富山県射水市加茂中部893番地2,36.74077,137.1482128
新開発簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132705000/?&cond2=1&cond200=1&&his=sa2,939-0284 富山県射水市新開発６１２,36.7266611,137.0755458
新湊庄西町郵便局,https://map.japanpost.jp/p/search/dtl/300132069000/?&cond2=1&cond200=1&&his=sa2,934-0001 富山県射水市庄西町２−８−１４,36.787175,137.0612842
新湊立町郵便局,https://map.japanpost.jp/p/search/dtl/300132148000/?&cond2=1&cond200=1&&his=sa2,934-0013 富山県射水市立町２−２１,36.7799686,137.0881428
太閤山郵便局,https://map.japanpost.jp/p/search/dtl/300132205000/?&cond2=1&cond200=1&&his=sa2,939-0362 富山県射水市太閤山１−９,36.7079,137.0943508
高場簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132761000/?&cond2=1&cond200=1&&his=sa2,934-0036 富山県射水市片口高場１４７,36.7499944,137.1168053
大門郵便局,https://map.japanpost.jp/p/search/dtl/300132039000/?&cond2=1&cond200=1&&his=sa2,939-0234 富山県射水市二口８７６,36.7291622,137.0491622
塚原郵便局,https://map.japanpost.jp/p/search/dtl/300132145000/?&cond2=1&cond200=1&&his=sa2,934-0052 富山県射水市松木６７１,36.7615189,137.0655461
作道郵便局,https://map.japanpost.jp/p/search/dtl/300132098000/?&cond2=1&cond200=1&&his=sa2,934-0042 富山県射水市作道２０９５−７,36.7536233,137.0914686
手崎簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132786000/?&cond2=1&cond200=1&&his=sa2,939-0306 富山県射水市手崎１００２,36.7201867,137.1111589
寺塚原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132753000/?&cond2=1&cond200=1&&his=sa2,934-0056 富山県射水市寺塚原３６４,36.7515072,137.0605217
二口郵便局,https://map.japanpost.jp/p/search/dtl/300132172000/?&cond2=1&cond200=1&&his=sa2,939-0234 富山県射水市二口１０４６−２,36.7252383,137.0502653
堀岡郵便局,https://map.japanpost.jp/p/search/dtl/300132055000/?&cond2=1&cond200=1&&his=sa2,933-0221 富山県射水市堀岡新明神１０８−１,36.7715861,137.1254064
本江簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132722000/?&cond2=1&cond200=1&&his=sa2,933-0240 富山県射水市かもめ台２１,36.7581425,137.1763597
水戸田郵便局,https://map.japanpost.jp/p/search/dtl/300132095000/?&cond2=1&cond200=1&&his=sa2,939-0403 富山県射水市生源寺１６７,36.7037633,137.0639336
南太閤山郵便局,https://map.japanpost.jp/p/search/dtl/300132220000/?&cond2=1&cond200=1&&his=sa2,939-0364 富山県射水市南太閤山３−１−１４,36.6984925,137.0910481
魚津郵便局,https://map.japanpost.jp/p/search/dtl/300132003000/?&cond2=1&cond200=1&&his=sa2,937-8799 富山県魚津市本江１００７,36.8180144,137.4091017
魚津郵便局,https://map.japanpost.jp/p/search/dtl/300132003000/?&cond2=1&cond200=1&&his=sa2,937-8799 富山県魚津市本江１００７,36.8180144,137.4091017
魚津アップルヒル郵便局,https://map.japanpost.jp/p/search/dtl/300132235000/?&cond2=1&cond200=1&&his=sa2,937-0046 富山県魚津市上村木４１３,36.8235969,137.4145597
魚津金屋郵便局,https://map.japanpost.jp/p/search/dtl/300132071000/?&cond2=1&cond200=1&&his=sa2,937-0055 富山県魚津市中央通り２−６−５,36.8187144,137.4012572
魚津上村木郵便局,https://map.japanpost.jp/p/search/dtl/300132188000/?&cond2=1&cond200=1&&his=sa2,937-0046 富山県魚津市上村木１−６−１,36.8237358,137.4072844
魚津住吉郵便局,https://map.japanpost.jp/p/search/dtl/300132072000/?&cond2=1&cond200=1&&his=sa2,937-0851 富山県魚津市住吉尻井２８７７−１,36.8078039,137.3967167
片貝郵便局,https://map.japanpost.jp/p/search/dtl/300132129000/?&cond2=1&cond200=1&&his=sa2,937-0033 富山県魚津市島尻９１８,36.7898483,137.4713219
加積簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132733000/?&cond2=1&cond200=1&&his=sa2,937-0041 富山県魚津市吉島１３３２−１,36.8236764,137.4232039
経田郵便局,https://map.japanpost.jp/p/search/dtl/300132064000/?&cond2=1&cond200=1&&his=sa2,937-0007 富山県魚津市経田中町１４−７,36.8509758,137.4138581
西布施郵便局,https://map.japanpost.jp/p/search/dtl/300132058000/?&cond2=1&cond200=1&&his=sa2,937-0022 富山県魚津市小川寺３０３１,36.8292025,137.4576803
松倉簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132798000/?&cond2=1&cond200=1&&his=sa2,937-0831 富山県魚津市観音堂１６５１−１,36.7878031,137.4188825
小矢部郵便局,https://map.japanpost.jp/p/search/dtl/300132008000/?&cond2=1&cond200=1&&his=sa2,932-8799 富山県小矢部市綾子５６５２,36.6693031,136.8629747
小矢部郵便局,https://map.japanpost.jp/p/search/dtl/300132008000/?&cond2=1&cond200=1&&his=sa2,932-8799 富山県小矢部市綾子５６５２,36.6693031,136.8629747
石動中央町郵便局,https://map.japanpost.jp/p/search/dtl/300132137000/?&cond2=1&cond200=1&&his=sa2,932-0045 富山県小矢部市中央町７−１５,36.676885,136.8665133
小矢部桜町郵便局,https://map.japanpost.jp/p/search/dtl/300132079000/?&cond2=1&cond200=1&&his=sa2,932-0022 富山県小矢部市桜町1671,36.6876789,136.8735825
北蟹谷郵便局,https://map.japanpost.jp/p/search/dtl/300132104000/?&cond2=1&cond200=1&&his=sa2,932-0851 富山県小矢部市末友３２,36.6331947,136.8346069
正得簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132730000/?&cond2=1&cond200=1&&his=sa2,932-0801 富山県小矢部市五社２４６,36.6811456,136.9191397
津沢郵便局,https://map.japanpost.jp/p/search/dtl/300132021000/?&cond2=1&cond200=1&&his=sa2,932-0115 富山県小矢部市津沢１−９５,36.6260153,136.8980942
名畑簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132771000/?&cond2=1&cond200=1&&his=sa2,932-0131 富山県小矢部市名畑５２２９,36.6321261,136.8587403
埴生簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132784000/?&cond2=1&cond200=1&&his=sa2,932-0836 富山県小矢部市埴生２９９８,36.6652775,136.8520675
水島簡易郵便局,https://map.japanpost.jp/p/search/dtl/300132766000/?&cond2=1&cond200=1&&his=sa2,932-0102 富山県小矢部市水島１４５,36.6387961,136.9013358
若林郵便局,https://map.japanpost.jp/p/search/dtl/300132131000/?&cond2=1&cond200=1&&his=sa2,932-0805 富山県小矢部市西中３４８,36.6574075,136.9081025
