0,1,2,Latitude,Longitude
宇田郵便局,https://map.japanpost.jp/p/search/dtl/300155078000/?&cond2=1&cond200=1&&his=sa2,759-3501 山口県阿武郡阿武町宇田１３２０−２,34.5666294,131.5414192
宇田郵便局,https://map.japanpost.jp/p/search/dtl/300155078000/?&cond2=1&cond200=1&&his=sa2,759-3501 山口県阿武郡阿武町宇田１３２０−２,34.5666294,131.5414192
奈古郵便局,https://map.japanpost.jp/p/search/dtl/300155063000/?&cond2=1&cond200=1&&his=sa2,759-3699 山口県阿武郡阿武町奈古２９５５−１２,34.5044425,131.4711803
福賀郵便局,https://map.japanpost.jp/p/search/dtl/300155065000/?&cond2=1&cond200=1&&his=sa2,758-0699 山口県阿武郡阿武町福田下１３７４−３,34.5165969,131.5985822
岩国郵便局,https://map.japanpost.jp/p/search/dtl/300155072000/?&cond2=1&cond200=1&&his=sa2,740-8799 山口県岩国市麻里布町２−６−８,34.1698842,132.2230556
岩国郵便局,https://map.japanpost.jp/p/search/dtl/300155072000/?&cond2=1&cond200=1&&his=sa2,740-8799 山口県岩国市麻里布町２−６−８,34.1698842,132.2230556
秋中郵便局,https://map.japanpost.jp/p/search/dtl/300155246000/?&cond2=1&cond200=1&&his=sa2,740-1201 山口県岩国市美和町秋掛８９ー６,34.3207703,132.0892411
岩国愛宕郵便局,https://map.japanpost.jp/p/search/dtl/300155276000/?&cond2=1&cond200=1&&his=sa2,740-0031 山口県岩国市門前町１−１７−１２,34.1492497,132.2130397
岩国今津郵便局,https://map.japanpost.jp/p/search/dtl/300155303000/?&cond2=1&cond200=1&&his=sa2,740-0017 山口県岩国市今津町５−４−１０,34.16187,132.2158508
岩国尾津簡易郵便局,https://map.japanpost.jp/p/search/dtl/300155753000/?&cond2=1&cond200=1&&his=sa2,740-0032 山口県岩国市尾津町２−２３−１８,34.1374172,132.2071883
岩国川下郵便局,https://map.japanpost.jp/p/search/dtl/300155321000/?&cond2=1&cond200=1&&his=sa2,740-0027 山口県岩国市中津町２−１４−４,34.1557486,132.2175369
岩国川西郵便局,https://map.japanpost.jp/p/search/dtl/300155141000/?&cond2=1&cond200=1&&his=sa2,741-0082 山口県岩国市川西１−１３−２０,34.1607456,132.1770097
岩国新港郵便局,https://map.japanpost.jp/p/search/dtl/300155105000/?&cond2=1&cond200=1&&his=sa2,740-0002 山口県岩国市新港町４−１７−５,34.1907033,132.2295225
岩国錦見郵便局,https://map.japanpost.jp/p/search/dtl/300155332000/?&cond2=1&cond200=1&&his=sa2,741-0061 山口県岩国市錦見６−１０−１３,34.1638889,132.1945833
岩国西郵便局,https://map.japanpost.jp/p/search/dtl/300155004000/?&cond2=1&cond200=1&&his=sa2,741-0062 山口県岩国市岩国２−１７−１７,34.1644108,132.1837122
岩国平田六郵便局,https://map.japanpost.jp/p/search/dtl/300155364000/?&cond2=1&cond200=1&&his=sa2,741-0072 山口県岩国市平田６−２４−７,34.1399586,132.1893444
岩国藤生郵便局,https://map.japanpost.jp/p/search/dtl/300155136000/?&cond2=1&cond200=1&&his=sa2,740-0036 山口県岩国市藤生町１−１９−２０,34.1130311,132.1992003
岩国室木郵便局,https://map.japanpost.jp/p/search/dtl/300155343000/?&cond2=1&cond200=1&&his=sa2,740-0018 山口県岩国市麻里布町７−１５−１０,34.1717022,132.2153314
岩国元町郵便局,https://map.japanpost.jp/p/search/dtl/300155254000/?&cond2=1&cond200=1&&his=sa2,740-0012 山口県岩国市元町３−８−８,34.1701803,132.2299639
小瀬簡易郵便局,https://map.japanpost.jp/p/search/dtl/300155703000/?&cond2=1&cond200=1&&his=sa2,741-0091 山口県岩国市小瀬２８５−２,34.2084319,132.1924519
賀見畑簡易郵便局,https://map.japanpost.jp/p/search/dtl/300155722000/?&cond2=1&cond200=1&&his=sa2,740-1242 山口県岩国市美和町下畑５０４−７,34.2568553,132.0653361
川越郵便局,https://map.japanpost.jp/p/search/dtl/300155168000/?&cond2=1&cond200=1&&his=sa2,742-0422 山口県岩国市周東町獺越２１２４−１,34.1263292,132.0043706
河山郵便局,https://map.japanpost.jp/p/search/dtl/300155185000/?&cond2=1&cond200=1&&his=sa2,740-0502 山口県岩国市美川町四馬神１０５８−４,34.2421203,131.9857392
北河内郵便局,https://map.japanpost.jp/p/search/dtl/300155162000/?&cond2=1&cond200=1&&his=sa2,740-0399 山口県岩国市下４５７−１,34.1627739,132.0932283
玖珂郵便局,https://map.japanpost.jp/p/search/dtl/300155028000/?&cond2=1&cond200=1&&his=sa2,742-0399 山口県岩国市玖珂町７９６−１０,34.0968061,132.0828856
坂上郵便局,https://map.japanpost.jp/p/search/dtl/300155101000/?&cond2=1&cond200=1&&his=sa2,740-1225 山口県岩国市美和町渋前４７８−２,34.2266678,132.1032142
三瀬川簡易郵便局,https://map.japanpost.jp/p/search/dtl/300155715000/?&cond2=1&cond200=1&&his=sa2,742-0421 山口県岩国市周東町三瀬川９５７−１,34.1511983,131.9741822
師木野郵便局,https://map.japanpost.jp/p/search/dtl/300155268000/?&cond2=1&cond200=1&&his=sa2,741-0073 山口県岩国市柱野８１２−４,34.1356983,132.1491775
周東田尻郵便局,https://map.japanpost.jp/p/search/dtl/300155277000/?&cond2=1&cond200=1&&his=sa2,742-0414 山口県岩国市周東町田尻６７４−５,34.0239761,132.0601639
祖生郵便局,https://map.japanpost.jp/p/search/dtl/300155195000/?&cond2=1&cond200=1&&his=sa2,742-0301 山口県岩国市周東町祖生４５４４−１０,34.0715514,132.115485
高根郵便局,https://map.japanpost.jp/p/search/dtl/300155104000/?&cond2=1&cond200=1&&his=sa2,740-0902 山口県岩国市錦町宇佐郷１０５９−１,34.3756614,132.0222844
高森郵便局,https://map.japanpost.jp/p/search/dtl/300155086000/?&cond2=1&cond200=1&&his=sa2,742-0499 山口県岩国市周東町下久原１２８２−４,34.08899,132.0483664
通津郵便局,https://map.japanpost.jp/p/search/dtl/300155125000/?&cond2=1&cond200=1&&his=sa2,740-0044 山口県岩国市通津２３６７−１,34.0714864,132.2078456
南桑郵便局,https://map.japanpost.jp/p/search/dtl/300155048000/?&cond2=1&cond200=1&&his=sa2,740-0504 山口県岩国市美川町南桑２２５８−１,34.2097628,132.0247097
