0,1,2,Latitude,Longitude
名森郵便局,https://map.japanpost.jp/p/search/dtl/300124188000/?&cond2=1&cond200=1&&his=sa2,503-0121 岐阜県安八郡安八町氷取８４−２,35.3332156,136.6638817
名森郵便局,https://map.japanpost.jp/p/search/dtl/300124188000/?&cond2=1&cond200=1&&his=sa2,503-0121 岐阜県安八郡安八町氷取８４−２,35.3332156,136.6638817
結郵便局,https://map.japanpost.jp/p/search/dtl/300124329000/?&cond2=1&cond200=1&&his=sa2,503-0112 岐阜県安八郡安八町東結１４３０−１,35.3600794,136.6663567
神戸郵便局,https://map.japanpost.jp/p/search/dtl/300124066000/?&cond2=1&cond200=1&&his=sa2,503-2305 岐阜県安八郡神戸町神戸大円坊１１２４,35.4168653,136.6073597
神戸郵便局,https://map.japanpost.jp/p/search/dtl/300124066000/?&cond2=1&cond200=1&&his=sa2,503-2305 岐阜県安八郡神戸町神戸大円坊１１２４,35.4168653,136.6073597
下宮郵便局,https://map.japanpost.jp/p/search/dtl/300124201000/?&cond2=1&cond200=1&&his=sa2,503-2314 岐阜県安八郡神戸町落合３４４−２,35.4040756,136.6294792
福束簡易郵便局,https://map.japanpost.jp/p/search/dtl/300124825000/?&cond2=1&cond200=1&&his=sa2,503-0234 岐阜県安八郡輪之内町里１０５６,35.3031169,136.6333814
福束簡易郵便局,https://map.japanpost.jp/p/search/dtl/300124825000/?&cond2=1&cond200=1&&his=sa2,503-0234 岐阜県安八郡輪之内町里１０５６,35.3031169,136.6333814
輪之内郵便局,https://map.japanpost.jp/p/search/dtl/300124080000/?&cond2=1&cond200=1&&his=sa2,503-0299 岐阜県安八郡輪之内町四郷２７０−１,35.2935128,136.6475394
池田八幡郵便局,https://map.japanpost.jp/p/search/dtl/300124356000/?&cond2=1&cond200=1&&his=sa2,503-2426 岐阜県揖斐郡池田町八幡中道１７１４−１３,35.4281189,136.5764933
池田八幡郵便局,https://map.japanpost.jp/p/search/dtl/300124356000/?&cond2=1&cond200=1&&his=sa2,503-2426 岐阜県揖斐郡池田町八幡中道１７１４−１３,35.4281189,136.5764933
池田郵便局,https://map.japanpost.jp/p/search/dtl/300124058000/?&cond2=1&cond200=1&&his=sa2,503-2499 岐阜県揖斐郡池田町本郷１３０７−１,35.4438478,136.5728647
揖斐八幡簡易郵便局,https://map.japanpost.jp/p/search/dtl/300124801000/?&cond2=1&cond200=1&&his=sa2,503-2428 岐阜県揖斐郡池田町片山３００,35.4151186,136.5772292
宮地簡易郵便局,https://map.japanpost.jp/p/search/dtl/300124802000/?&cond2=1&cond200=1&&his=sa2,503-2406 岐阜県揖斐郡池田町宮地大門南９３７−３,35.4554983,136.5546647
揖斐小島郵便局,https://map.japanpost.jp/p/search/dtl/300124159000/?&cond2=1&cond200=1&&his=sa2,501-0627 岐阜県揖斐郡揖斐川町市場２５−２,35.4757819,136.5369492
揖斐小島郵便局,https://map.japanpost.jp/p/search/dtl/300124159000/?&cond2=1&cond200=1&&his=sa2,501-0627 岐阜県揖斐郡揖斐川町市場２５−２,35.4757819,136.5369492
揖斐川郵便局,https://map.japanpost.jp/p/search/dtl/300124023000/?&cond2=1&cond200=1&&his=sa2,501-0699 岐阜県揖斐郡揖斐川町三輪出口南２２７９−１,35.4837394,136.5791525
揖斐北方郵便局,https://map.japanpost.jp/p/search/dtl/300124216000/?&cond2=1&cond200=1&&his=sa2,501-0601 岐阜県揖斐郡揖斐川町北方１４７６−８,35.5040753,136.5435372
春日郵便局,https://map.japanpost.jp/p/search/dtl/300124079000/?&cond2=1&cond200=1&&his=sa2,503-2599 岐阜県揖斐郡揖斐川町春日六合７９０−６,35.4702594,136.4973867
清水郵便局,https://map.japanpost.jp/p/search/dtl/300124229000/?&cond2=1&cond200=1&&his=sa2,501-0615 岐阜県揖斐郡揖斐川町清水６３−１,35.471875,136.5973331
久瀬小津簡易郵便局,https://map.japanpost.jp/p/search/dtl/300124878000/?&cond2=1&cond200=1&&his=sa2,501-0701 岐阜県揖斐郡揖斐川町小津３０６７,35.5807819,136.5222831
久瀬公正簡易郵便局,https://map.japanpost.jp/p/search/dtl/300124847000/?&cond2=1&cond200=1&&his=sa2,501-0703 岐阜県揖斐郡揖斐川町乙原２３６−１,35.5320672,136.5288536
久瀬郵便局,https://map.japanpost.jp/p/search/dtl/300124194000/?&cond2=1&cond200=1&&his=sa2,501-0706 岐阜県揖斐郡揖斐川町西津汲５２７−４,35.5541153,136.5051825
坂内郵便局,https://map.japanpost.jp/p/search/dtl/300124122000/?&cond2=1&cond200=1&&his=sa2,501-0999 岐阜県揖斐郡揖斐川町坂内広瀬５７１−１,35.6018622,136.4128222
谷汲郵便局,https://map.japanpost.jp/p/search/dtl/300124193000/?&cond2=1&cond200=1&&his=sa2,501-1399 岐阜県揖斐郡揖斐川町谷汲徳積２０１５−１,35.5266322,136.6107328
長瀬郵便局,https://map.japanpost.jp/p/search/dtl/300124157000/?&cond2=1&cond200=1&&his=sa2,501-1303 岐阜県揖斐郡揖斐川町谷汲長瀬１１７５,35.5224633,136.6380847
藤橋郵便局,https://map.japanpost.jp/p/search/dtl/300124078000/?&cond2=1&cond200=1&&his=sa2,501-0899 岐阜県揖斐郡揖斐川町東横山５１１−１,35.5840392,136.4587797
養基郵便局,https://map.japanpost.jp/p/search/dtl/300124200000/?&cond2=1&cond200=1&&his=sa2,501-0622 岐阜県揖斐郡揖斐川町脛永４２９−２,35.4704767,136.5714444
横蔵簡易郵便局,https://map.japanpost.jp/p/search/dtl/300124704000/?&cond2=1&cond200=1&&his=sa2,501-1316 岐阜県揖斐郡揖斐川町谷汲木曽屋１９０,35.5370236,136.5553708
稲富簡易郵便局,https://map.japanpost.jp/p/search/dtl/300124859000/?&cond2=1&cond200=1&&his=sa2,501-0501 岐阜県揖斐郡大野町稲富１４９７,35.4862456,136.6456753
稲富簡易郵便局,https://map.japanpost.jp/p/search/dtl/300124859000/?&cond2=1&cond200=1&&his=sa2,501-0501 岐阜県揖斐郡大野町稲富１４９７,35.4862456,136.6456753
大野郵便局,https://map.japanpost.jp/p/search/dtl/300124065000/?&cond2=1&cond200=1&&his=sa2,501-0599 岐阜県揖斐郡大野町黒野４０１−２,35.4629256,136.6347122
美濃川合郵便局,https://map.japanpost.jp/p/search/dtl/300124212000/?&cond2=1&cond200=1&&his=sa2,501-0554 岐阜県揖斐郡大野町五之里８６６−５,35.4472558,136.6217294
恵那郵便局,https://map.japanpost.jp/p/search/dtl/300124013000/?&cond2=1&cond200=1&&his=sa2,509-7299 岐阜県恵那市大井町１８５−１,35.4525556,137.4120342
