0,1,2,Latitude,Longitude
影石郵便局,https://map.japanpost.jp/p/search/dtl/300154107000/?&cond2=1&cond200=1&&his=sa2,707-0503 岡山県英田郡西粟倉村影石３５−１０,35.1725303,134.3359364
影石郵便局,https://map.japanpost.jp/p/search/dtl/300154107000/?&cond2=1&cond200=1&&his=sa2,707-0503 岡山県英田郡西粟倉村影石３５−１０,35.1725303,134.3359364
赤坂郵便局,https://map.japanpost.jp/p/search/dtl/300154066000/?&cond2=1&cond200=1&&his=sa2,701-2222 岡山県赤磐市町苅田584-3,34.7957019,134.0077522
赤坂郵便局,https://map.japanpost.jp/p/search/dtl/300154066000/?&cond2=1&cond200=1&&his=sa2,701-2222 岡山県赤磐市町苅田584-3,34.7957019,134.0077522
岡山山陽団地郵便局,https://map.japanpost.jp/p/search/dtl/300154419000/?&cond2=1&cond200=1&&his=sa2,709-0827 岡山県赤磐市山陽１−６−１,34.7453239,134.0056142
可真郵便局,https://map.japanpost.jp/p/search/dtl/300154348000/?&cond2=1&cond200=1&&his=sa2,709-0736 岡山県赤磐市稗田８６７−１,34.7929128,134.0586917
熊山郵便局,https://map.japanpost.jp/p/search/dtl/300154068000/?&cond2=1&cond200=1&&his=sa2,709-0705 岡山県赤磐市松木５１１−７,34.7888972,134.0975697
黒本簡易郵便局,https://map.japanpost.jp/p/search/dtl/300154746000/?&cond2=1&cond200=1&&his=sa2,701-2521 岡山県赤磐市黒本１１７２−１,34.9159367,134.0693258
桜が丘郵便局,https://map.japanpost.jp/p/search/dtl/300154443000/?&cond2=1&cond200=1&&his=sa2,709-0721 岡山県赤磐市桜が丘東５−５−３８９,34.7827797,134.0383069
笹岡郵便局,https://map.japanpost.jp/p/search/dtl/300154156000/?&cond2=1&cond200=1&&his=sa2,701-2203 岡山県赤磐市惣分２−３,34.8370206,134.0119353
山陽郵便局,https://map.japanpost.jp/p/search/dtl/300154258000/?&cond2=1&cond200=1&&his=sa2,709-0832 岡山県赤磐市正崎６０６−１,34.7647669,134.0133958
周匝郵便局,https://map.japanpost.jp/p/search/dtl/300154018000/?&cond2=1&cond200=1&&his=sa2,701-2599 岡山県赤磐市周匝７１８−１,34.9179039,134.0937675
仁堀郵便局,https://map.japanpost.jp/p/search/dtl/300154101000/?&cond2=1&cond200=1&&his=sa2,701-2434 岡山県赤磐市仁堀東５４２−３,34.8786128,134.0201422
備前下市簡易郵便局,https://map.japanpost.jp/p/search/dtl/300154798000/?&cond2=1&cond200=1&&his=sa2,709-0816 岡山県赤磐市下市３８２−３,34.7552178,134.0196794
備前豊田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300154701000/?&cond2=1&cond200=1&&his=sa2,709-0714 岡山県赤磐市千躰３２９−１０,34.7836322,134.1086692
備前西山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300154722000/?&cond2=1&cond200=1&&his=sa2,709-0835 岡山県赤磐市西中１１７３−１,34.7670431,134.0049594
里庄郵便局,https://map.japanpost.jp/p/search/dtl/300154176000/?&cond2=1&cond200=1&&his=sa2,719-0302 岡山県浅口郡里庄町新庄１４１７,34.5120483,133.5568
里庄郵便局,https://map.japanpost.jp/p/search/dtl/300154176000/?&cond2=1&cond200=1&&his=sa2,719-0302 岡山県浅口郡里庄町新庄１４１７,34.5120483,133.5568
かもがた町家郵便局,https://map.japanpost.jp/p/search/dtl/300154046000/?&cond2=1&cond200=1&&his=sa2,719-0243 岡山県浅口市鴨方町鴨方２２４−１,34.5421544,133.5895042
かもがた町家郵便局,https://map.japanpost.jp/p/search/dtl/300154046000/?&cond2=1&cond200=1&&his=sa2,719-0243 岡山県浅口市鴨方町鴨方２２４−１,34.5421544,133.5895042
鴨方郵便局,https://map.japanpost.jp/p/search/dtl/300154155000/?&cond2=1&cond200=1&&his=sa2,719-0299 岡山県浅口市鴨方町六条院中３２８３,34.526345,133.5878458
金光下竹簡易郵便局,https://map.japanpost.jp/p/search/dtl/300154745000/?&cond2=1&cond200=1&&his=sa2,719-0102 岡山県浅口市金光町下竹２２４,34.5538744,133.6359067
金光宮黒郵便局,https://map.japanpost.jp/p/search/dtl/300154388000/?&cond2=1&cond200=1&&his=sa2,719-0104 岡山県浅口市金光町占見新田７５９−３,34.5425342,133.6247592
金光郵便局,https://map.japanpost.jp/p/search/dtl/300154105000/?&cond2=1&cond200=1&&his=sa2,719-0199 岡山県浅口市金光町大谷４５２−３,34.5362464,133.6249092
寄島郵便局,https://map.japanpost.jp/p/search/dtl/300154035000/?&cond2=1&cond200=1&&his=sa2,714-0101 岡山県浅口市寄島町７５３６−１,34.4829947,133.5880461
井原郵便局,https://map.japanpost.jp/p/search/dtl/300154048000/?&cond2=1&cond200=1&&his=sa2,715-8799 岡山県井原市七日市町２,34.5957858,133.4674008
井原郵便局,https://map.japanpost.jp/p/search/dtl/300154048000/?&cond2=1&cond200=1&&his=sa2,715-8799 岡山県井原市七日市町２,34.5957858,133.4674008
出部郵便局,https://map.japanpost.jp/p/search/dtl/300154251000/?&cond2=1&cond200=1&&his=sa2,715-0021 岡山県井原市上出部町１２４２−１５,34.5896756,133.4553744
稲倉郵便局,https://map.japanpost.jp/p/search/dtl/300154298000/?&cond2=1&cond200=1&&his=sa2,715-0015 岡山県井原市西方町１４９５−１,34.5765217,133.4759392
井原中町郵便局,https://map.japanpost.jp/p/search/dtl/300154386000/?&cond2=1&cond200=1&&his=sa2,715-0019 岡山県井原市井原町１０２７−２,34.6049264,133.4623061
井原野上郵便局,https://map.japanpost.jp/p/search/dtl/300154256000/?&cond2=1&cond200=1&&his=sa2,715-0001 岡山県井原市野上町３１０３−５,34.6422058,133.5013239
宇戸郵便局,https://map.japanpost.jp/p/search/dtl/300154326000/?&cond2=1&cond200=1&&his=sa2,714-1402 岡山県井原市美星町宇戸谷２０７０,34.7097547,133.5768011
大江簡易郵便局,https://map.japanpost.jp/p/search/dtl/300154740000/?&cond2=1&cond200=1&&his=sa2,715-0023 岡山県井原市大江町３４６7−６,34.5768114,133.4354408
木之子郵便局,https://map.japanpost.jp/p/search/dtl/300154229000/?&cond2=1&cond200=1&&his=sa2,715-0004 岡山県井原市木之子町３９０−１,34.5917531,133.5012561
共和郵便局,https://map.japanpost.jp/p/search/dtl/300154203000/?&cond2=1&cond200=1&&his=sa2,714-2231 岡山県井原市芳井町下鴫３０７９−３,34.6827161,133.408695
