0,1,2,Latitude,Longitude
金ヶ崎郵便局,https://map.japanpost.jp/p/search/dtl/300183054000/?&cond2=1&cond200=1&&his=sa2,029-4503 岩手県胆沢郡金ケ崎町西根上餅田３５−１,39.2035614,141.1133425
金ヶ崎郵便局,https://map.japanpost.jp/p/search/dtl/300183054000/?&cond2=1&cond200=1&&his=sa2,029-4503 岩手県胆沢郡金ケ崎町西根上餅田３５−１,39.2035614,141.1133425
永岡郵便局,https://map.japanpost.jp/p/search/dtl/300183250000/?&cond2=1&cond200=1&&his=sa2,029-4504 岩手県胆沢郡金ケ崎町永沢関田前２９−９,39.1767919,141.0717306
六原駅前郵便局,https://map.japanpost.jp/p/search/dtl/300183305000/?&cond2=1&cond200=1&&his=sa2,029-4502 岩手県胆沢郡金ケ崎町三ヶ尻中の町１−８,39.2270553,141.0940356
六原郵便局,https://map.japanpost.jp/p/search/dtl/300183086000/?&cond2=1&cond200=1&&his=sa2,029-4501 岩手県胆沢郡金ケ崎町六原穴持３４５−２,39.2346267,141.0548842
一関郵便局,https://map.japanpost.jp/p/search/dtl/300183006000/?&cond2=1&cond200=1&&his=sa2,021-8799 岩手県一関市大手町６−１,38.9301556,141.1357811
一関郵便局,https://map.japanpost.jp/p/search/dtl/300183006000/?&cond2=1&cond200=1&&his=sa2,021-8799 岩手県一関市大手町６−１,38.9301556,141.1357811
一関駅前郵便局,https://map.japanpost.jp/p/search/dtl/300183272000/?&cond2=1&cond200=1&&his=sa2,021-0867 岩手県一関市駅前３１−２,38.9256425,141.1362928
一関渋民簡易郵便局,https://map.japanpost.jp/p/search/dtl/300183723000/?&cond2=1&cond200=1&&his=sa2,029-0521 岩手県一関市大東町渋民小林２４−６,39.0185583,141.3426894
一関田村町郵便局,https://map.japanpost.jp/p/search/dtl/300183203000/?&cond2=1&cond200=1&&his=sa2,021-0885 岩手県一関市田村町２−１,38.9281506,141.1319686
一関台町郵便局,https://map.japanpost.jp/p/search/dtl/300183302000/?&cond2=1&cond200=1&&his=sa2,021-0872 岩手県一関市宮坂町８−９,38.9203089,141.1319936
一関中央町郵便局,https://map.japanpost.jp/p/search/dtl/300183153000/?&cond2=1&cond200=1&&his=sa2,021-0021 岩手県一関市中央町２−８−７,38.9351692,141.1295042
一関泥田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300183818000/?&cond2=1&cond200=1&&his=sa2,021-0055 岩手県一関市山目泥田１５−４,38.9379125,141.1146514
岩手関が丘簡易郵便局,https://map.japanpost.jp/p/search/dtl/300183816000/?&cond2=1&cond200=1&&his=sa2,021-0851 岩手県一関市関が丘２８−２,38.9191597,141.1441056
薄衣矢作郵便局,https://map.japanpost.jp/p/search/dtl/300183146000/?&cond2=1&cond200=1&&his=sa2,029-0202 岩手県一関市川崎町薄衣須崎８２−４,38.9007931,141.2823522
薄衣郵便局,https://map.japanpost.jp/p/search/dtl/300183031000/?&cond2=1&cond200=1&&his=sa2,029-0299 岩手県一関市川崎町薄衣法道地２１−７,38.8998956,141.2710114
