0,1,2,Latitude,Longitude
赤名郵便局,https://map.japanpost.jp/p/search/dtl/300153034000/?&cond2=1&cond200=1&&his=sa2,690-3511 島根県飯石郡飯南町赤名２２,34.9967292,132.7160633
赤名郵便局,https://map.japanpost.jp/p/search/dtl/300153034000/?&cond2=1&cond200=1&&his=sa2,690-3511 島根県飯石郡飯南町赤名２２,34.9967292,132.7160633
来島郵便局,https://map.japanpost.jp/p/search/dtl/300153111000/?&cond2=1&cond200=1&&his=sa2,690-3499 島根県飯石郡飯南町野萱３０２−１,35.0349511,132.7437772
志々郵便局,https://map.japanpost.jp/p/search/dtl/300153118000/?&cond2=1&cond200=1&&his=sa2,690-3312 島根県飯石郡飯南町八神１１７−７,35.1087603,132.6972192
谷郵便局,https://map.japanpost.jp/p/search/dtl/300153252000/?&cond2=1&cond200=1&&his=sa2,690-3514 島根県飯石郡飯南町井戸谷４８２−１０,34.9856308,132.6773953
角井簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153745000/?&cond2=1&cond200=1&&his=sa2,690-3314 島根県飯石郡飯南町角井４１９−２,35.1334619,132.6685644
頓原郵便局,https://map.japanpost.jp/p/search/dtl/300153049000/?&cond2=1&cond200=1&&his=sa2,690-3299 島根県飯石郡飯南町頓原２０８２−８,35.0794031,132.7833028
出雲郵便局,https://map.japanpost.jp/p/search/dtl/300153004000/?&cond2=1&cond200=1&&his=sa2,693-8799 島根県出雲市駅南町３−１５−１,35.3582719,132.755835
出雲郵便局,https://map.japanpost.jp/p/search/dtl/300153004000/?&cond2=1&cond200=1&&his=sa2,693-8799 島根県出雲市駅南町３−１５−１,35.3582719,132.755835
平田郵便局,https://map.japanpost.jp/p/search/dtl/300153015000/?&cond2=1&cond200=1&&his=sa2,691-8799 島根県出雲市平田町２２４６,35.4332786,132.8229772
朝山郵便局,https://map.japanpost.jp/p/search/dtl/300153191000/?&cond2=1&cond200=1&&his=sa2,693-0214 島根県出雲市所原町２６５−１,35.3193811,132.76679
朝原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153754000/?&cond2=1&cond200=1&&his=sa2,693-0501 島根県出雲市佐田町朝原５７０,35.2467558,132.7579353
出雲朝倉郵便局,https://map.japanpost.jp/p/search/dtl/300153241000/?&cond2=1&cond200=1&&his=sa2,693-0015 島根県出雲市大津朝倉２−７−７,35.3739122,132.7613383
出雲荒茅郵便局,https://map.japanpost.jp/p/search/dtl/300153248000/?&cond2=1&cond200=1&&his=sa2,693-0044 島根県出雲市荒茅町８０６,35.3704806,132.69304
出雲稲岡郵便局,https://map.japanpost.jp/p/search/dtl/300153175000/?&cond2=1&cond200=1&&his=sa2,693-0071 島根県出雲市稲岡町５４−１,35.3876044,132.76811
出雲駅前郵便局,https://map.japanpost.jp/p/search/dtl/300153204000/?&cond2=1&cond200=1&&his=sa2,693-0001 島根県出雲市今市町２０６５（パルメイト出雲１階）,35.3617542,132.7561125
出雲塩冶簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153776000/?&cond2=1&cond200=1&&his=sa2,693-0021 島根県出雲市塩冶町４７１−２,35.3511617,132.7466033
出雲大津郵便局,https://map.japanpost.jp/p/search/dtl/300153103000/?&cond2=1&cond200=1&&his=sa2,693-0011 島根県出雲市大津町５５９,35.3688222,132.7807456
出雲小山団地簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153811000/?&cond2=1&cond200=1&&his=sa2,693-0051 島根県出雲市小山町３５１,35.3711167,132.7413942
出雲小山町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153757000/?&cond2=1&cond200=1&&his=sa2,693-0051 島根県出雲市小山町６４０−８,35.37422,132.7478983
出雲上津郵便局,https://map.japanpost.jp/p/search/dtl/300153211000/?&cond2=1&cond200=1&&his=sa2,693-0101 島根県出雲市上島町１１６５−３,35.3356769,132.8374881
出雲古志郵便局,https://map.japanpost.jp/p/search/dtl/300153100000/?&cond2=1&cond200=1&&his=sa2,693-0031 島根県出雲市古志町１０２９−５,35.3445878,132.7391644
出雲里方町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153756000/?&cond2=1&cond200=1&&his=sa2,693-0064 島根県出雲市里方町９２８−１,35.3882597,132.7484697
出雲白枝簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153786000/?&cond2=1&cond200=1&&his=sa2,693-0006 島根県出雲市白枝町５５５−３,35.3628481,132.7353622
出雲神西沖郵便局,https://map.japanpost.jp/p/search/dtl/300153243000/?&cond2=1&cond200=1&&his=sa2,699-0822 島根県出雲市神西沖町１６７５−１,35.3368697,132.6948386
出雲高松郵便局,https://map.japanpost.jp/p/search/dtl/300153144000/?&cond2=1&cond200=1&&his=sa2,693-0053 島根県出雲市高松町１２５８−３,35.3611067,132.7169383
出雲中央通郵便局,https://map.japanpost.jp/p/search/dtl/300153262000/?&cond2=1&cond200=1&&his=sa2,693-0001 島根県出雲市今市町６３−１０,35.3667986,132.7554653
出雲長浜郵便局,https://map.japanpost.jp/p/search/dtl/300153158000/?&cond2=1&cond200=1&&his=sa2,693-0041 島根県出雲市西園町２０６−３,35.3488522,132.6986511
出雲浜町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153731000/?&cond2=1&cond200=1&&his=sa2,693-0054 島根県出雲市浜町島田１６３４−１,35.3744228,132.7193408
出雲半分簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153773000/?&cond2=1&cond200=1&&his=sa2,693-0027 島根県出雲市医大南町１−２−９,35.3431411,132.7582436
出雲東林木簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153796000/?&cond2=1&cond200=1&&his=sa2,693-0074 島根県出雲市東林木町７１９,35.4047064,132.7807644
出雲本町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153781000/?&cond2=1&cond200=1&&his=sa2,693-0001 島根県出雲市今市町５５５,35.3642819,132.7601514
出雲山廻簡易郵便局,https://map.japanpost.jp/p/search/dtl/300153751000/?&cond2=1&cond200=1&&his=sa2,693-0011 島根県出雲市大津町山廻１６９６−１３,35.3648222,132.7778067
鵜鷺郵便局,https://map.japanpost.jp/p/search/dtl/300153096000/?&cond2=1&cond200=1&&his=sa2,699-0761 島根県出雲市大社町鷺浦８０,35.43972,132.6858147
小田郵便局,https://map.japanpost.jp/p/search/dtl/300153051000/?&cond2=1&cond200=1&&his=sa2,699-0999 島根県出雲市多伎町小田５５０,35.28271,132.6196122
乙立郵便局,https://map.japanpost.jp/p/search/dtl/300153168000/?&cond2=1&cond200=1&&his=sa2,693-0216 島根県出雲市乙立町３２７８−１４,35.2855731,132.7252564
