0,1,2,Latitude,Longitude
阿南郵便局,https://map.japanpost.jp/p/search/dtl/300162002000/?&cond2=1&cond200=1&&his=sa2,774-8799 徳島県阿南市富岡町滝の下４−２,33.9171986,134.6598736
阿南郵便局,https://map.japanpost.jp/p/search/dtl/300162002000/?&cond2=1&cond200=1&&his=sa2,774-8799 徳島県阿南市富岡町滝の下４−２,33.9171986,134.6598736
阿南伊島郵便局,https://map.japanpost.jp/p/search/dtl/300162088000/?&cond2=1&cond200=1&&his=sa2,774-1760 徳島県阿南市伊島町瀬戸４４,33.8427253,134.807375
阿南大野郵便局,https://map.japanpost.jp/p/search/dtl/300162114000/?&cond2=1&cond200=1&&his=sa2,774-0048 徳島県阿南市中大野町北傍示３５１−８,33.9336772,134.5949975
阿南西路見郵便局,https://map.japanpost.jp/p/search/dtl/300162186000/?&cond2=1&cond200=1&&his=sa2,774-0009 徳島県阿南市西路見町江川６８−１,33.9276697,134.6774247
阿南宝田郵便局,https://map.japanpost.jp/p/search/dtl/300162208000/?&cond2=1&cond200=1&&his=sa2,774-0045 徳島県阿南市宝田町荒井８３−３,33.92577,134.6412233
阿南津乃峰郵便局,https://map.japanpost.jp/p/search/dtl/300162057000/?&cond2=1&cond200=1&&his=sa2,774-0021 徳島県阿南市津乃峰町長浜４４７−２３,33.8884439,134.6590561
阿南富岡西郵便局,https://map.japanpost.jp/p/search/dtl/300162204000/?&cond2=1&cond200=1&&his=sa2,774-0030 徳島県阿南市富岡町東新町８４−８,33.9217225,134.6541025
阿南富岡東郵便局,https://map.japanpost.jp/p/search/dtl/300162201000/?&cond2=1&cond200=1&&his=sa2,774-0030 徳島県阿南市富岡町佃町５４６−３,33.921725,134.6613789
阿南山口郵便局,https://map.japanpost.jp/p/search/dtl/300162151000/?&cond2=1&cond200=1&&his=sa2,779-1403 徳島県阿南市山口町森国１６６−２,33.8724431,134.5853008
新野郵便局,https://map.japanpost.jp/p/search/dtl/300162038000/?&cond2=1&cond200=1&&his=sa2,779-1510 徳島県阿南市新野町馬場５４−１１,33.8490039,134.5832722
今津郵便局,https://map.japanpost.jp/p/search/dtl/300162157000/?&cond2=1&cond200=1&&his=sa2,779-1114 徳島県阿南市那賀川町今津浦宮面８−１,33.963,134.6535106
春日野郵便局,https://map.japanpost.jp/p/search/dtl/300162203000/?&cond2=1&cond200=1&&his=sa2,779-1103 徳島県阿南市羽ノ浦町春日野１−９３,33.9618081,134.6183922
加茂谷郵便局,https://map.japanpost.jp/p/search/dtl/300162091000/?&cond2=1&cond200=1&&his=sa2,771-5199 徳島県阿南市加茂町不け１０５,33.91627,134.5506156
桑野郵便局,https://map.japanpost.jp/p/search/dtl/300162071000/?&cond2=1&cond200=1&&his=sa2,779-1499 徳島県阿南市桑野町鳥居前１−１,33.8756322,134.6126264
橘郵便局,https://map.japanpost.jp/p/search/dtl/300162019000/?&cond2=1&cond200=1&&his=sa2,774-0023 徳島県阿南市橘町幸野３９−１,33.8762989,134.6455658
椿泊簡易郵便局,https://map.japanpost.jp/p/search/dtl/300162745000/?&cond2=1&cond200=1&&his=sa2,779-1740 徳島県阿南市椿泊町東５４−１,33.8439383,134.7131028
椿郵便局,https://map.japanpost.jp/p/search/dtl/300162017000/?&cond2=1&cond200=1&&his=sa2,779-1750 徳島県阿南市椿町庄田１０１−１９,33.8331781,134.6781369
中島郵便局,https://map.japanpost.jp/p/search/dtl/300162027000/?&cond2=1&cond200=1&&his=sa2,779-1245 徳島県阿南市那賀川町中島５４７,33.9388117,134.6691428
中庄郵便局,https://map.japanpost.jp/p/search/dtl/300162084000/?&cond2=1&cond200=1&&his=sa2,779-1101 徳島県阿南市羽ノ浦町中庄市２−２,33.9583964,134.6272439
長生郵便局,https://map.japanpost.jp/p/search/dtl/300162127000/?&cond2=1&cond200=1&&his=sa2,774-0046 徳島県阿南市長生町大津田１０−１６,33.9113222,134.6218178
花坂簡易郵便局,https://map.japanpost.jp/p/search/dtl/300162739000/?&cond2=1&cond200=1&&his=sa2,779-1510 徳島県阿南市新野町是国９５−２,33.8473708,134.6019194
羽ノ浦郵便局,https://map.japanpost.jp/p/search/dtl/300162016000/?&cond2=1&cond200=1&&his=sa2,779-1199 徳島県阿南市羽ノ浦町岩脇中須２６−５,33.9477422,134.62573
福井郵便局,https://map.japanpost.jp/p/search/dtl/300162095000/?&cond2=1&cond200=1&&his=sa2,779-1699 徳島県阿南市福井町高田１１６−５,33.8374747,134.6224736
見能林郵便局,https://map.japanpost.jp/p/search/dtl/300162173000/?&cond2=1&cond200=1&&his=sa2,774-0017 徳島県阿南市見能林町九反ヶ坪1-8,33.9040022,134.6691831
阿波郵便局,https://map.japanpost.jp/p/search/dtl/300162022000/?&cond2=1&cond200=1&&his=sa2,771-1799 徳島県阿波市阿波町庚申原７５−１,34.0788819,134.2493528
