0,1,2,Latitude,Longitude
今治郵便局,https://map.japanpost.jp/p/search/dtl/300161004000/?&cond2=1&cond200=1&&his=sa2,794-8799 愛媛県今治市旭町１−３−４,34.0644697,132.9995831
今治郵便局,https://map.japanpost.jp/p/search/dtl/300161004000/?&cond2=1&cond200=1&&his=sa2,794-8799 愛媛県今治市旭町１−３−４,34.0644697,132.9995831
朝倉郵便局,https://map.japanpost.jp/p/search/dtl/300161123000/?&cond2=1&cond200=1&&his=sa2,799-1603 愛媛県今治市朝倉下甲４６０−２,33.997785,133.0188353
甘崎郵便局,https://map.japanpost.jp/p/search/dtl/300161197000/?&cond2=1&cond200=1&&his=sa2,794-1403 愛媛県今治市上浦町甘崎２６２９,34.2376614,133.0510042
イオンモール今治新都市内郵便局,https://map.japanpost.jp/p/search/dtl/300161343000/?&cond2=1&cond200=1&&his=sa2,794-0068 愛媛県今治市にぎわい広場１-１,34.0424125,132.9614669
今治延喜郵便局,https://map.japanpost.jp/p/search/dtl/300161270000/?&cond2=1&cond200=1&&his=sa2,794-0084 愛媛県今治市延喜甲３８８−２,34.0648453,132.9581653
今治大浜郵便局,https://map.japanpost.jp/p/search/dtl/300161198000/?&cond2=1&cond200=1&&his=sa2,794-0002 愛媛県今治市大浜町２−１−４１,34.0980031,132.9838775
今治北日吉郵便局,https://map.japanpost.jp/p/search/dtl/300161305000/?&cond2=1&cond200=1&&his=sa2,794-0054 愛媛県今治市北日吉町１−１４−４,34.0650458,132.9911744
今治共栄郵便局,https://map.japanpost.jp/p/search/dtl/300161183000/?&cond2=1&cond200=1&&his=sa2,794-0024 愛媛県今治市共栄町４−３−１５,34.0706883,132.9982492
今治小泉郵便局,https://map.japanpost.jp/p/search/dtl/300161322000/?&cond2=1&cond200=1&&his=sa2,794-0064 愛媛県今治市小泉４−１２−１７,34.0477383,132.9802558
今治国分郵便局,https://map.japanpost.jp/p/search/dtl/300161315000/?&cond2=1&cond200=1&&his=sa2,799-1533 愛媛県今治市国分３−２−４１,34.0280178,133.0185075
