0,1,2,Latitude,Longitude
阿賀野郵便局,https://map.japanpost.jp/p/search/dtl/300112020000/?&cond2=1&cond200=1&&his=sa2,959-2099 新潟県阿賀野市中央町１−１−１１,37.8403006,139.2275253
阿賀野郵便局,https://map.japanpost.jp/p/search/dtl/300112020000/?&cond2=1&cond200=1&&his=sa2,959-2099 新潟県阿賀野市中央町１−１−１１,37.8403006,139.2275253
大室簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112730000/?&cond2=1&cond200=1&&his=sa2,959-1935 新潟県阿賀野市大室１８３０−５,37.8087083,139.2529819
神山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112892000/?&cond2=1&cond200=1&&his=sa2,959-1961 新潟県阿賀野市山倉９５２−２,37.8681506,139.2588308
京ヶ瀬郵便局,https://map.japanpost.jp/p/search/dtl/300112366000/?&cond2=1&cond200=1&&his=sa2,959-2123 新潟県阿賀野市姥ヶ橋６７−１,37.8402064,139.1824719
小河原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112815000/?&cond2=1&cond200=1&&his=sa2,959-2134 新潟県阿賀野市小河原４７７−１,37.8179358,139.1782008
駒林簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112794000/?&cond2=1&cond200=1&&his=sa2,959-2101 新潟県阿賀野市駒林１７３３,37.8578256,139.2085242
笹神郵便局,https://map.japanpost.jp/p/search/dtl/300112208000/?&cond2=1&cond200=1&&his=sa2,959-1919 新潟県阿賀野市山崎１８−３,37.8388097,139.2660111
出湯温泉簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112833000/?&cond2=1&cond200=1&&his=sa2,959-1926 新潟県阿賀野市出湯８１０−２,37.8181333,139.2998581
分田郵便局,https://map.japanpost.jp/p/search/dtl/300112297000/?&cond2=1&cond200=1&&his=sa2,959-2074 新潟県阿賀野市分田１３２３−９,37.7971222,139.1988008
堀越郵便局,https://map.japanpost.jp/p/search/dtl/300112413000/?&cond2=1&cond200=1&&his=sa2,959-2062 新潟県阿賀野市市野山２３０−１,37.8222975,139.2264675
村杉温泉郵便局,https://map.japanpost.jp/p/search/dtl/300112288000/?&cond2=1&cond200=1&&his=sa2,959-1928 新潟県阿賀野市村杉３９４６−１５２,37.8015797,139.2892344
安田郵便局,https://map.japanpost.jp/p/search/dtl/300112045000/?&cond2=1&cond200=1&&his=sa2,959-2221 新潟県阿賀野市保田３７３１−４,37.7730369,139.2327292
糸魚川郵便局,https://map.japanpost.jp/p/search/dtl/300112006000/?&cond2=1&cond200=1&&his=sa2,941-8799 新潟県糸魚川市寺町１−９−５,37.0448014,137.8633308
糸魚川郵便局,https://map.japanpost.jp/p/search/dtl/300112006000/?&cond2=1&cond200=1&&his=sa2,941-8799 新潟県糸魚川市寺町１−９−５,37.0448014,137.8633308
市振郵便局,https://map.japanpost.jp/p/search/dtl/300112162000/?&cond2=1&cond200=1&&his=sa2,949-0111 新潟県糸魚川市市振８０３−４,36.9821019,137.6564425
糸魚川押上郵便局,https://map.japanpost.jp/p/search/dtl/300112563000/?&cond2=1&cond200=1&&his=sa2,941-0051 新潟県糸魚川市押上１−１０−３,37.0481508,137.8747736
糸魚川横町郵便局,https://map.japanpost.jp/p/search/dtl/300112524000/?&cond2=1&cond200=1&&his=sa2,941-0067 新潟県糸魚川市横町５−６−８,37.0410444,137.8482406
浦本簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112702000/?&cond2=1&cond200=1&&his=sa2,941-0002 新潟県糸魚川市中浜１３６２−１,37.0691197,137.9277231
越後大野郵便局,https://map.japanpost.jp/p/search/dtl/300112305000/?&cond2=1&cond200=1&&his=sa2,941-0071 新潟県糸魚川市大野１８５７−１,37.0045347,137.8722169
青海八久保郵便局,https://map.japanpost.jp/p/search/dtl/300112547000/?&cond2=1&cond200=1&&his=sa2,949-0302 新潟県糸魚川市今村新田７０１,37.0300469,137.8232017
青海郵便局,https://map.japanpost.jp/p/search/dtl/300112119000/?&cond2=1&cond200=1&&his=sa2,949-0399 新潟県糸魚川市寺地２２９−１,37.0253564,137.8003647
親不知郵便局,https://map.japanpost.jp/p/search/dtl/300112163000/?&cond2=1&cond200=1&&his=sa2,949-0307 新潟県糸魚川市歌１０１−３,37.0072106,137.7405011
梶屋敷郵便局,https://map.japanpost.jp/p/search/dtl/300112110000/?&cond2=1&cond200=1&&his=sa2,941-0004 新潟県糸魚川市梶屋敷２０−１,37.0581975,137.9081731
上早川郵便局,https://map.japanpost.jp/p/search/dtl/300112322000/?&cond2=1&cond200=1&&his=sa2,949-1205 新潟県糸魚川市土塩１６５５−１,37.0259103,137.9848733
頸城槙郵便局,https://map.japanpost.jp/p/search/dtl/300112222000/?&cond2=1&cond200=1&&his=sa2,949-1312 新潟県糸魚川市槇１９−２,37.0745219,138.0417764
小滝郵便局,https://map.japanpost.jp/p/search/dtl/300112134000/?&cond2=1&cond200=1&&his=sa2,949-0462 新潟県糸魚川市小滝５１３９−３,36.9383592,137.8510961
下早川郵便局,https://map.japanpost.jp/p/search/dtl/300112221000/?&cond2=1&cond200=1&&his=sa2,941-0022 新潟県糸魚川市新町１０８−１,37.0359017,137.9295911
筒石郵便局,https://map.japanpost.jp/p/search/dtl/300112266000/?&cond2=1&cond200=1&&his=sa2,949-1306 新潟県糸魚川市筒石４６３−１,37.1340039,138.0539175
西海郵便局,https://map.japanpost.jp/p/search/dtl/300112355000/?&cond2=1&cond200=1&&his=sa2,941-0046 新潟県糸魚川市羽生４６５−１,37.0280236,137.8880625
根知郵便局,https://map.japanpost.jp/p/search/dtl/300112098000/?&cond2=1&cond200=1&&his=sa2,949-0534 新潟県糸魚川市和泉３７５−１,36.9516892,137.8940928
能生郵便局,https://map.japanpost.jp/p/search/dtl/300112043000/?&cond2=1&cond200=1&&his=sa2,949-1399 新潟県糸魚川市能生７１５５−１,37.1039525,137.9891361
粟島郵便局,https://map.japanpost.jp/p/search/dtl/300112270000/?&cond2=1&cond200=1&&his=sa2,958-0061 新潟県岩船郡粟島浦村２５−１,38.4655475,139.2528164
粟島郵便局,https://map.japanpost.jp/p/search/dtl/300112270000/?&cond2=1&cond200=1&&his=sa2,958-0061 新潟県岩船郡粟島浦村２５−１,38.4655475,139.2528164
越後大島駅前郵便局,https://map.japanpost.jp/p/search/dtl/300112459000/?&cond2=1&cond200=1&&his=sa2,959-3241 新潟県岩船郡関川村土沢１３９２−７,38.1005817,139.5182658
越後大島駅前郵便局,https://map.japanpost.jp/p/search/dtl/300112459000/?&cond2=1&cond200=1&&his=sa2,959-3241 新潟県岩船郡関川村土沢１３９２−７,38.1005817,139.5182658
越後女川郵便局,https://map.japanpost.jp/p/search/dtl/300112381000/?&cond2=1&cond200=1&&his=sa2,959-3214 新潟県岩船郡関川村上野新１７６,38.1288256,139.5383453
関川郵便局,https://map.japanpost.jp/p/search/dtl/300112031000/?&cond2=1&cond200=1&&his=sa2,959-3299 新潟県岩船郡関川村下関１０−１５,38.0909642,139.5598431
今泉簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112769000/?&cond2=1&cond200=1&&his=sa2,946-0051 新潟県魚沼市今泉１４６８−１,37.2564511,138.9743139
今泉簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112769000/?&cond2=1&cond200=1&&his=sa2,946-0051 新潟県魚沼市今泉１４６８−１,37.2564511,138.9743139
伊米ヶ崎郵便局,https://map.japanpost.jp/p/search/dtl/300112311000/?&cond2=1&cond200=1&&his=sa2,946-0037 新潟県魚沼市虫野２８−２,37.1984756,138.9512856
入広瀬郵便局,https://map.japanpost.jp/p/search/dtl/300112272000/?&cond2=1&cond200=1&&his=sa2,946-0304 新潟県魚沼市穴沢２１５−１,37.3572083,139.0711417
魚沼田中郵便局,https://map.japanpost.jp/p/search/dtl/300112460000/?&cond2=1&cond200=1&&his=sa2,946-0106 新潟県魚沼市田中７０３−２,37.2956561,138.9918733
大倉沢簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112766000/?&cond2=1&cond200=1&&his=sa2,946-0223 新潟県魚沼市大倉沢３５８−１,37.3058872,139.0070992
大白川簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112881000/?&cond2=1&cond200=1&&his=sa2,946-0303 新潟県魚沼市大白川４２４,37.3472381,139.1363742
上条郵便局,https://map.japanpost.jp/p/search/dtl/300112369000/?&cond2=1&cond200=1&&his=sa2,946-0212 新潟県魚沼市長鳥乙１００−１,37.3497039,139.0490681
小出郵便局,https://map.japanpost.jp/p/search/dtl/300112080000/?&cond2=1&cond200=1&&his=sa2,946-8799 新潟県魚沼市小出島１８０−１,37.2302636,138.9604031
新保郵便局,https://map.japanpost.jp/p/search/dtl/300112405000/?&cond2=1&cond200=1&&his=sa2,946-0056 新潟県魚沼市一日市２７７−７,37.24657,138.9823125
守門郵便局,https://map.japanpost.jp/p/search/dtl/300112127000/?&cond2=1&cond200=1&&his=sa2,946-0299 新潟県魚沼市須原５４１,37.316985,139.0155564
高倉簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112763000/?&cond2=1&cond200=1&&his=sa2,946-0201 新潟県魚沼市高倉２１５２,37.3803578,139.0378342
原郵便局,https://map.japanpost.jp/p/search/dtl/300112425000/?&cond2=1&cond200=1&&his=sa2,949-7422 新潟県魚沼市原８９８−１,37.22355,138.8919603
広神郵便局,https://map.japanpost.jp/p/search/dtl/300112081000/?&cond2=1&cond200=1&&his=sa2,946-0111 新潟県魚沼市並柳２５３−１,37.2715978,138.9763533
福山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112725000/?&cond2=1&cond200=1&&his=sa2,946-0207 新潟県魚沼市福山新田２５５−３,37.3539044,138.9902156
堀之内郵便局,https://map.japanpost.jp/p/search/dtl/300112046000/?&cond2=1&cond200=1&&his=sa2,949-7413 新潟県魚沼市堀之内４２３７−２,37.2428233,138.9290197
湯之谷郵便局,https://map.japanpost.jp/p/search/dtl/300112330000/?&cond2=1&cond200=1&&his=sa2,946-0073 新潟県魚沼市大沢２０９−４,37.2258153,139.0078078
横根簡易郵便局,https://map.japanpost.jp/p/search/dtl/300112765000/?&cond2=1&cond200=1&&his=sa2,946-0307 新潟県魚沼市横根１２６４−１,37.3727242,139.0721467
小千谷郵便局,https://map.japanpost.jp/p/search/dtl/300112010000/?&cond2=1&cond200=1&&his=sa2,947-8799 新潟県小千谷市本町１−１２−３,37.3101722,138.79793
小千谷郵便局,https://map.japanpost.jp/p/search/dtl/300112010000/?&cond2=1&cond200=1&&his=sa2,947-8799 新潟県小千谷市本町１−１２−３,37.3101722,138.79793
岩沢郵便局,https://map.japanpost.jp/p/search/dtl/300112106000/?&cond2=1&cond200=1&&his=sa2,949-8799 新潟県小千谷市岩沢８２７−１,37.2435656,138.7972586
上ノ山郵便局,https://map.japanpost.jp/p/search/dtl/300112214000/?&cond2=1&cond200=1&&his=sa2,947-0026 新潟県小千谷市上ノ山３−１−１０,37.3022533,138.7885208
片貝郵便局,https://map.japanpost.jp/p/search/dtl/300112109000/?&cond2=1&cond200=1&&his=sa2,947-0199 新潟県小千谷市片貝町４７９０−６,37.3698597,138.7799767
川井郵便局,https://map.japanpost.jp/p/search/dtl/300112440000/?&cond2=1&cond200=1&&his=sa2,949-8723 新潟県小千谷市川井新田５１５−１,37.2616967,138.8211139
三仏生郵便局,https://map.japanpost.jp/p/search/dtl/300112422000/?&cond2=1&cond200=1&&his=sa2,947-0051 新潟県小千谷市三仏生３９６３−１,37.3328911,138.8190581
城川郵便局,https://map.japanpost.jp/p/search/dtl/300112451000/?&cond2=1&cond200=1&&his=sa2,947-0028 新潟県小千谷市城内３−２−６,37.3140403,138.7922286
