0,1,2,Latitude,Longitude
足利郵便局,https://map.japanpost.jp/p/search/dtl/300107005000/?&cond2=1&cond200=1&&his=sa2,326-8799 栃木県足利市元学町８２２−１,36.3403183,139.4608056
足利郵便局,https://map.japanpost.jp/p/search/dtl/300107005000/?&cond2=1&cond200=1&&his=sa2,326-8799 栃木県足利市元学町８２２−１,36.3403183,139.4608056
足利朝倉郵便局,https://map.japanpost.jp/p/search/dtl/300107268000/?&cond2=1&cond200=1&&his=sa2,326-0823 栃木県足利市朝倉町３−９−２８,36.3200239,139.4429594
足利伊勢町郵便局,https://map.japanpost.jp/p/search/dtl/300107087000/?&cond2=1&cond200=1&&his=sa2,326-0053 栃木県足利市伊勢町３−４−１５,36.3336478,139.4547297
足利小俣郵便局,https://map.japanpost.jp/p/search/dtl/300107320000/?&cond2=1&cond200=1&&his=sa2,326-0141 栃木県足利市小俣町５７１−１４,36.3738458,139.3736228
足利勧農郵便局,https://map.japanpost.jp/p/search/dtl/300107257000/?&cond2=1&cond200=1&&his=sa2,326-0027 栃木県足利市宮北町７−１８,36.3242114,139.4728753
足利北郷郵便局,https://map.japanpost.jp/p/search/dtl/300107095000/?&cond2=1&cond200=1&&his=sa2,326-0006 栃木県足利市利保町３−１４−１１,36.3579581,139.4735997
足利毛野郵便局,https://map.japanpost.jp/p/search/dtl/300107171000/?&cond2=1&cond200=1&&his=sa2,326-0021 栃木県足利市山川町４２１−１,36.3221567,139.4851967
足利助戸郵便局,https://map.japanpost.jp/p/search/dtl/300107126000/?&cond2=1&cond200=1&&his=sa2,326-0044 栃木県足利市助戸２−４７５,36.3303653,139.4653872
足利田中郵便局,https://map.japanpost.jp/p/search/dtl/300107228000/?&cond2=1&cond200=1&&his=sa2,326-0822 栃木県足利市田中町８４９,36.3265878,139.4511994
足利筑波郵便局,https://map.japanpost.jp/p/search/dtl/300107150000/?&cond2=1&cond200=1&&his=sa2,326-0328 栃木県足利市県町１２０７−３,36.2838294,139.4648714
足利通三郵便局,https://map.japanpost.jp/p/search/dtl/300107245000/?&cond2=1&cond200=1&&his=sa2,326-0814 栃木県足利市通３−３５２０,36.3353256,139.4461817
足利通六郵便局,https://map.japanpost.jp/p/search/dtl/300107118000/?&cond2=1&cond200=1&&his=sa2,326-0816 栃木県足利市緑町１−３２４３,36.3387028,139.4395261
足利西郵便局,https://map.japanpost.jp/p/search/dtl/300107020000/?&cond2=1&cond200=1&&his=sa2,326-0199 栃木県足利市葉鹿町１−２５−７,36.3640719,139.3923664
足利葉鹿郵便局,https://map.japanpost.jp/p/search/dtl/300107138000/?&cond2=1&cond200=1&&his=sa2,326-0143 栃木県足利市葉鹿町３９８−２,36.3635494,139.3825064
