0,1,2,Latitude,Longitude
芦北郵便局,https://map.japanpost.jp/p/search/dtl/300171006000/?&cond2=1&cond200=1&&his=sa2,869-5499 熊本県葦北郡芦北町佐敷２５５−１,32.3031447,130.5053494
芦北郵便局,https://map.japanpost.jp/p/search/dtl/300171006000/?&cond2=1&cond200=1&&his=sa2,869-5499 熊本県葦北郡芦北町佐敷２５５−１,32.3031447,130.5053494
海浦簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171787000/?&cond2=1&cond200=1&&his=sa2,869-5304 熊本県葦北郡芦北町海浦３４４,32.3308461,130.4857131
小田浦簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171807000/?&cond2=1&cond200=1&&his=sa2,869-5303 熊本県葦北郡芦北町小田浦１３６８−１,32.3504967,130.5056703
田浦郵便局,https://map.japanpost.jp/p/search/dtl/300171029000/?&cond2=1&cond200=1&&his=sa2,869-5399 熊本県葦北郡芦北町田浦８２３−６,32.3620467,130.51219
計石郵便局,https://map.japanpost.jp/p/search/dtl/300171318000/?&cond2=1&cond200=1&&his=sa2,869-5453 熊本県葦北郡芦北町計石４４７−１,32.3031631,130.4838319
肥後大野郵便局,https://map.japanpost.jp/p/search/dtl/300171108000/?&cond2=1&cond200=1&&his=sa2,869-6301 熊本県葦北郡芦北町天月１２６１−１０,32.2926364,130.5800806
女島簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171827000/?&cond2=1&cond200=1&&his=sa2,869-5564 熊本県葦北郡芦北町女島８３４,32.2821311,130.4816475
湯浦郵便局,https://map.japanpost.jp/p/search/dtl/300171142000/?&cond2=1&cond200=1&&his=sa2,869-5599 熊本県葦北郡芦北町湯浦２７６−１,32.2711833,130.5018756
吉尾郵便局,https://map.japanpost.jp/p/search/dtl/300171199000/?&cond2=1&cond200=1&&his=sa2,869-6212 熊本県葦北郡芦北町吉尾４３４−２,32.3288164,130.5873778
津奈木郵便局,https://map.japanpost.jp/p/search/dtl/300171030000/?&cond2=1&cond200=1&&his=sa2,869-5603 熊本県葦北郡津奈木町岩城９−３,32.2321558,130.4533239
津奈木郵便局,https://map.japanpost.jp/p/search/dtl/300171030000/?&cond2=1&cond200=1&&his=sa2,869-5603 熊本県葦北郡津奈木町岩城９−３,32.2321558,130.4533239
平国簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171824000/?&cond2=1&cond200=1&&his=sa2,869-5605 熊本県葦北郡津奈木町福浜４１２５,32.2713564,130.4515383
福浜簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171885000/?&cond2=1&cond200=1&&his=sa2,869-5605 熊本県葦北郡津奈木町福浜１６５９,32.2542414,130.4361794
産山郵便局,https://map.japanpost.jp/p/search/dtl/300171202000/?&cond2=1&cond200=1&&his=sa2,869-2799 熊本県阿蘇郡産山村山鹿４９７−１−２,32.9961731,131.2164267
産山郵便局,https://map.japanpost.jp/p/search/dtl/300171202000/?&cond2=1&cond200=1&&his=sa2,869-2799 熊本県阿蘇郡産山村山鹿４９７−１−２,32.9961731,131.2164267
田尻簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171751000/?&cond2=1&cond200=1&&his=sa2,869-2704 熊本県阿蘇郡産山村田尻５７６−３,33.0313956,131.1729072
小国郵便局,https://map.japanpost.jp/p/search/dtl/300171015000/?&cond2=1&cond200=1&&his=sa2,869-2599 熊本県阿蘇郡小国町宮原１５４９−４,33.1222919,131.06685
小国郵便局,https://map.japanpost.jp/p/search/dtl/300171015000/?&cond2=1&cond200=1&&his=sa2,869-2599 熊本県阿蘇郡小国町宮原１５４９−４,33.1222919,131.06685
上田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171814000/?&cond2=1&cond200=1&&his=sa2,869-2506 熊本県阿蘇郡小国町上田１７８,33.1090614,131.0933011
北里郵便局,https://map.japanpost.jp/p/search/dtl/300171269000/?&cond2=1&cond200=1&&his=sa2,869-2505 熊本県阿蘇郡小国町北里２４４２−１,33.1416089,131.0965494
黒渕簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171724000/?&cond2=1&cond200=1&&his=sa2,869-2502 熊本県阿蘇郡小国町黒渕２８８８,33.1261806,131.0376689
杖立郵便局,https://map.japanpost.jp/p/search/dtl/300171209000/?&cond2=1&cond200=1&&his=sa2,869-2503 熊本県阿蘇郡小国町下城３３９９−１,33.1822431,131.0340025
草部郵便局,https://map.japanpost.jp/p/search/dtl/300171159000/?&cond2=1&cond200=1&&his=sa2,869-1899 熊本県阿蘇郡高森町草部１８５２−４,32.7915569,131.2140711
草部郵便局,https://map.japanpost.jp/p/search/dtl/300171159000/?&cond2=1&cond200=1&&his=sa2,869-1899 熊本県阿蘇郡高森町草部１８５２−４,32.7915569,131.2140711
色見郵便局,https://map.japanpost.jp/p/search/dtl/300171258000/?&cond2=1&cond200=1&&his=sa2,869-1601 熊本県阿蘇郡高森町上色見２６１４−４,32.8565578,131.1582742
高森郵便局,https://map.japanpost.jp/p/search/dtl/300171061000/?&cond2=1&cond200=1&&his=sa2,869-1699 熊本県阿蘇郡高森町高森１５９９−２,32.8189383,131.1261917
津留郵便局,https://map.japanpost.jp/p/search/dtl/300171079000/?&cond2=1&cond200=1&&his=sa2,869-1823 熊本県阿蘇郡高森町津留６６８−３,32.8292911,131.2632022
小森簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171775000/?&cond2=1&cond200=1&&his=sa2,861-2402 熊本県阿蘇郡西原村小森３２６０−１０,32.8344031,130.9032242
小森簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171775000/?&cond2=1&cond200=1&&his=sa2,861-2402 熊本県阿蘇郡西原村小森３２６０−１０,32.8344031,130.9032242
西原南簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171895000/?&cond2=1&cond200=1&&his=sa2,861-2404 熊本県阿蘇郡西原村河原８５９−１,32.8155594,130.8890483
西原郵便局,https://map.japanpost.jp/p/search/dtl/300171116000/?&cond2=1&cond200=1&&his=sa2,861-2403 熊本県阿蘇郡西原村大字布田１００４−５,32.8364339,130.8780028
阿蘇久木野簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171763000/?&cond2=1&cond200=1&&his=sa2,869-1411 熊本県阿蘇郡南阿蘇村河陰１４５−３,32.8219397,131.03163
阿蘇久木野簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171763000/?&cond2=1&cond200=1&&his=sa2,869-1411 熊本県阿蘇郡南阿蘇村河陰１４５−３,32.8219397,131.03163
河陽郵便局,https://map.japanpost.jp/p/search/dtl/300171081000/?&cond2=1&cond200=1&&his=sa2,869-1499 熊本県阿蘇郡南阿蘇村河陽２９９０−２,32.8476458,131.0132389
立野郵便局,https://map.japanpost.jp/p/search/dtl/300171083000/?&cond2=1&cond200=1&&his=sa2,869-1401 熊本県阿蘇郡南阿蘇村立野１５２９−５,32.8797975,130.9694256
中松郵便局,https://map.japanpost.jp/p/search/dtl/300171345000/?&cond2=1&cond200=1&&his=sa2,869-1505 熊本県阿蘇郡南阿蘇村中松２４０−３,32.8286867,131.0503469
白水郵便局,https://map.japanpost.jp/p/search/dtl/300171025000/?&cond2=1&cond200=1&&his=sa2,869-1599 熊本県阿蘇郡南阿蘇村吉田１４４４−１,32.8240792,131.0809092
黒川簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171717000/?&cond2=1&cond200=1&&his=sa2,869-2402 熊本県阿蘇郡南小国町満願寺６５９３−４,33.07806,131.14205
黒川簡易郵便局,https://map.japanpost.jp/p/search/dtl/300171717000/?&cond2=1&cond200=1&&his=sa2,869-2402 熊本県阿蘇郡南小国町満願寺６５９３−４,33.07806,131.14205
