0,1,2,Latitude,Longitude
加賀郵便局,https://map.japanpost.jp/p/search/dtl/300131004000/?&cond2=1&cond200=1&&his=sa2,922-8799 石川県加賀市大聖寺東町１−５,36.3046761,136.3182247
加賀郵便局,https://map.japanpost.jp/p/search/dtl/300131004000/?&cond2=1&cond200=1&&his=sa2,922-8799 石川県加賀市大聖寺東町１−５,36.3046761,136.3182247
動橋郵便局,https://map.japanpost.jp/p/search/dtl/300131035000/?&cond2=1&cond200=1&&his=sa2,922-0331 石川県加賀市動橋町イ２３１−１,36.3278067,136.3832314
加賀松が丘郵便局,https://map.japanpost.jp/p/search/dtl/300131245000/?&cond2=1&cond200=1&&his=sa2,922-0436 石川県加賀市松が丘１−１４−３,36.3237886,136.3430661
片山津郵便局,https://map.japanpost.jp/p/search/dtl/300131069000/?&cond2=1&cond200=1&&his=sa2,922-0412 石川県加賀市片山津温泉ウ１７−１,36.3424172,136.36899
河南郵便局,https://map.japanpost.jp/p/search/dtl/300131206000/?&cond2=1&cond200=1&&his=sa2,922-0103 石川県加賀市山中温泉長谷田町ロ４１９,36.2681544,136.3571083
塩屋郵便局,https://map.japanpost.jp/p/search/dtl/300131076000/?&cond2=1&cond200=1&&his=sa2,922-0673 石川県加賀市塩屋町イ１８,36.2950011,136.252415
大聖寺聖南通郵便局,https://map.japanpost.jp/p/search/dtl/300131187000/?&cond2=1&cond200=1&&his=sa2,922-0044 石川県加賀市大聖寺東横町６７−６,36.3031372,136.3109914
大聖寺菅生郵便局,https://map.japanpost.jp/p/search/dtl/300131077000/?&cond2=1&cond200=1&&his=sa2,922-0814 石川県加賀市大聖寺菅生町３３−１,36.306865,136.3196219
大聖寺中央通郵便局,https://map.japanpost.jp/p/search/dtl/300131191000/?&cond2=1&cond200=1&&his=sa2,922-0027 石川県加賀市大聖寺耳聞山町９９−１,36.3082344,136.3157414
勅使郵便局,https://map.japanpost.jp/p/search/dtl/300131155000/?&cond2=1&cond200=1&&his=sa2,922-0313 石川県加賀市勅使町ヲ８２,36.3024678,136.3914558
塚谷郵便局,https://map.japanpost.jp/p/search/dtl/300131253000/?&cond2=1&cond200=1&&his=sa2,922-0111 石川県加賀市山中温泉塚谷町１−３３−１,36.2609419,136.3676822
橋立郵便局,https://map.japanpost.jp/p/search/dtl/300131053000/?&cond2=1&cond200=1&&his=sa2,922-0554 石川県加賀市橋立町イ甲１−２,36.3516072,136.3113319
山代桔梗ケ丘郵便局,https://map.japanpost.jp/p/search/dtl/300131242000/?&cond2=1&cond200=1&&his=sa2,922-0257 石川県加賀市山代温泉桔梗丘４−８,36.2830078,136.3561719
山代郵便局,https://map.japanpost.jp/p/search/dtl/300131039000/?&cond2=1&cond200=1&&his=sa2,922-0299 石川県加賀市山代温泉ヨ−２９,36.289065,136.3590467
山中郵便局,https://map.japanpost.jp/p/search/dtl/300131015000/?&cond2=1&cond200=1&&his=sa2,922-0199 石川県加賀市山中温泉本町二丁目ソ２２,36.2472044,136.3744814
鹿島郵便局,https://map.japanpost.jp/p/search/dtl/300131028000/?&cond2=1&cond200=1&&his=sa2,929-1811 石川県鹿島郡中能登町二宮ハ１３３−１,36.9748208,136.9253344
鹿島郵便局,https://map.japanpost.jp/p/search/dtl/300131028000/?&cond2=1&cond200=1&&his=sa2,929-1811 石川県鹿島郡中能登町二宮ハ１３３−１,36.9748208,136.9253344
金丸郵便局,https://map.japanpost.jp/p/search/dtl/300131098000/?&cond2=1&cond200=1&&his=sa2,929-1621 石川県鹿島郡中能登町金丸又れ部３６−１,36.9442733,136.8360431
滝尾郵便局,https://map.japanpost.jp/p/search/dtl/300131180000/?&cond2=1&cond200=1&&his=sa2,929-1722 石川県鹿島郡中能登町小竹ロ部７１,36.9580219,136.9017078
