0,1,2,Latitude,Longitude
愛川田代郵便局,https://map.japanpost.jp/p/search/dtl/300102630000/?&cond2=1&cond200=1&&his=sa2,243-0306 神奈川県愛甲郡愛川町田代４４０−４,35.5271683,139.2891967
愛川田代郵便局,https://map.japanpost.jp/p/search/dtl/300102630000/?&cond2=1&cond200=1&&his=sa2,243-0306 神奈川県愛甲郡愛川町田代４４０−４,35.5271683,139.2891967
愛川郵便局,https://map.japanpost.jp/p/search/dtl/300102024000/?&cond2=1&cond200=1&&his=sa2,243-0301 神奈川県愛甲郡愛川町角田１４５,35.5270875,139.3271503
高峰郵便局,https://map.japanpost.jp/p/search/dtl/300102359000/?&cond2=1&cond200=1&&his=sa2,243-0308 神奈川県愛甲郡愛川町三増８７２−３,35.5340983,139.3120419
中津郵便局,https://map.japanpost.jp/p/search/dtl/300102076000/?&cond2=1&cond200=1&&his=sa2,243-0303 神奈川県愛甲郡愛川町中津７７８−６,35.5159647,139.33467
半原郵便局,https://map.japanpost.jp/p/search/dtl/300102075000/?&cond2=1&cond200=1&&his=sa2,243-0307 神奈川県愛甲郡愛川町半原４２２０,35.5433733,139.2692931
煤ヶ谷郵便局,https://map.japanpost.jp/p/search/dtl/300102274000/?&cond2=1&cond200=1&&his=sa2,243-0112 神奈川県愛甲郡清川村煤ヶ谷１７１４−４,35.4757817,139.2838475
煤ヶ谷郵便局,https://map.japanpost.jp/p/search/dtl/300102274000/?&cond2=1&cond200=1&&his=sa2,243-0112 神奈川県愛甲郡清川村煤ヶ谷１７１４−４,35.4757817,139.2838475
大井金子郵便局,https://map.japanpost.jp/p/search/dtl/300109050000/?&cond2=1&cond200=1&&his=sa2,258-0019 神奈川県足柄上郡大井町金子１６６９−４,35.3337653,139.1541483
大井金子郵便局,https://map.japanpost.jp/p/search/dtl/300109050000/?&cond2=1&cond200=1&&his=sa2,258-0019 神奈川県足柄上郡大井町金子１６６９−４,35.3337653,139.1541483
曾我郵便局,https://map.japanpost.jp/p/search/dtl/300102219000/?&cond2=1&cond200=1&&his=sa2,258-0016 神奈川県足柄上郡大井町上大井４９７−３,35.3203914,139.1634531
開成駅前郵便局,https://map.japanpost.jp/p/search/dtl/300109079000/?&cond2=1&cond200=1&&his=sa2,258-0021 神奈川県足柄上郡開成町吉田島４３５４-１,35.3271806,139.1344794
開成駅前郵便局,https://map.japanpost.jp/p/search/dtl/300109079000/?&cond2=1&cond200=1&&his=sa2,258-0021 神奈川県足柄上郡開成町吉田島４３５４-１,35.3271806,139.1344794
開成郵便局,https://map.japanpost.jp/p/search/dtl/300102239000/?&cond2=1&cond200=1&&his=sa2,258-0026 神奈川県足柄上郡開成町延沢８７８−１,35.3375017,139.1233592
中井井ノ口郵便局,https://map.japanpost.jp/p/search/dtl/300109004000/?&cond2=1&cond200=1&&his=sa2,259-0151 神奈川県足柄上郡中井町井ノ口１８７１−６,35.3388522,139.2302525
中井井ノ口郵便局,https://map.japanpost.jp/p/search/dtl/300109004000/?&cond2=1&cond200=1&&his=sa2,259-0151 神奈川県足柄上郡中井町井ノ口１８７１−６,35.3388522,139.2302525
中井郵便局,https://map.japanpost.jp/p/search/dtl/300102179000/?&cond2=1&cond200=1&&his=sa2,259-0144 神奈川県足柄上郡中井町半分形２１−５,35.3241317,139.2183481
松田郵便局,https://map.japanpost.jp/p/search/dtl/300102017000/?&cond2=1&cond200=1&&his=sa2,258-8799 神奈川県足柄上郡松田町松田惣領１５９６−１,35.3443328,139.1340439
松田郵便局,https://map.japanpost.jp/p/search/dtl/300102017000/?&cond2=1&cond200=1&&his=sa2,258-8799 神奈川県足柄上郡松田町松田惣領１５９６−１,35.3443328,139.1340439
松田惣領郵便局,https://map.japanpost.jp/p/search/dtl/300102598000/?&cond2=1&cond200=1&&his=sa2,258-0003 神奈川県足柄上郡松田町松田惣領１１９２−２,35.3469567,139.1415686
寄郵便局,https://map.japanpost.jp/p/search/dtl/300102182000/?&cond2=1&cond200=1&&his=sa2,258-0001 神奈川県足柄上郡松田町寄３２２７,35.4005497,139.1387631
清水郵便局,https://map.japanpost.jp/p/search/dtl/300102167000/?&cond2=1&cond200=1&&his=sa2,258-0124 神奈川県足柄上郡山北町川西６６８−１４,35.3738536,139.0314919
清水郵便局,https://map.japanpost.jp/p/search/dtl/300102167000/?&cond2=1&cond200=1&&his=sa2,258-0124 神奈川県足柄上郡山北町川西６６８−１４,35.3738536,139.0314919
三保郵便局,https://map.japanpost.jp/p/search/dtl/300102210000/?&cond2=1&cond200=1&&his=sa2,258-0201 神奈川県足柄上郡山北町中川９２１−８１,35.4175264,139.0431008
山北岸郵便局,https://map.japanpost.jp/p/search/dtl/300102325000/?&cond2=1&cond200=1&&his=sa2,258-0112 神奈川県足柄上郡山北町岸１３２６−３,35.3522597,139.0932989
山北郵便局,https://map.japanpost.jp/p/search/dtl/300102036000/?&cond2=1&cond200=1&&his=sa2,258-0199 神奈川県足柄上郡山北町山北１９１,35.3623378,139.0885458
仙石原郵便局,https://map.japanpost.jp/p/search/dtl/300102220000/?&cond2=1&cond200=1&&his=sa2,250-0631 神奈川県足柄下郡箱根町仙石原２５−１,35.2718483,139.0123892
仙石原郵便局,https://map.japanpost.jp/p/search/dtl/300102220000/?&cond2=1&cond200=1&&his=sa2,250-0631 神奈川県足柄下郡箱根町仙石原２５−１,35.2718483,139.0123892
箱根強羅郵便局,https://map.japanpost.jp/p/search/dtl/300102218000/?&cond2=1&cond200=1&&his=sa2,250-0408 神奈川県足柄下郡箱根町強羅１３００−３９,35.2506514,139.0479939
箱根町郵便局,https://map.japanpost.jp/p/search/dtl/300102020000/?&cond2=1&cond200=1&&his=sa2,250-0521 神奈川県足柄下郡箱根町箱根７９,35.1899697,139.0264292
箱根宮城野郵便局,https://map.japanpost.jp/p/search/dtl/300102499000/?&cond2=1&cond200=1&&his=sa2,250-0401 神奈川県足柄下郡箱根町宮城野下河原６１５,35.2538725,139.0513883
箱根宮ノ下郵便局,https://map.japanpost.jp/p/search/dtl/300102011000/?&cond2=1&cond200=1&&his=sa2,250-0499 神奈川県足柄下郡箱根町小涌谷４６７,35.2402444,139.0541189
箱根湯本郵便局,https://map.japanpost.jp/p/search/dtl/300102031000/?&cond2=1&cond200=1&&his=sa2,250-0311 神奈川県足柄下郡箱根町湯本３８３−１,35.230425,139.1066697
宮ノ下温泉簡易郵便局,https://map.japanpost.jp/p/search/dtl/300102720000/?&cond2=1&cond200=1&&his=sa2,250-0404 神奈川県足柄下郡箱根町宮ノ下１１５,35.2435361,139.0617925
真鶴港郵便局,https://map.japanpost.jp/p/search/dtl/300102512000/?&cond2=1&cond200=1&&his=sa2,259-0201 神奈川県足柄下郡真鶴町真鶴８３４,35.1543044,139.1399481
真鶴港郵便局,https://map.japanpost.jp/p/search/dtl/300102512000/?&cond2=1&cond200=1&&his=sa2,259-0201 神奈川県足柄下郡真鶴町真鶴８３４,35.1543044,139.1399481
真鶴郵便局,https://map.japanpost.jp/p/search/dtl/300102066000/?&cond2=1&cond200=1&&his=sa2,259-0202 神奈川県足柄下郡真鶴町岩２９８-４,35.1582239,139.1350036
湯河原郵便局,https://map.japanpost.jp/p/search/dtl/300102451000/?&cond2=1&cond200=1&&his=sa2,259-0399 神奈川県足柄下郡湯河原町土肥２−２−５,35.1457631,139.1070106
湯河原郵便局,https://map.japanpost.jp/p/search/dtl/300102451000/?&cond2=1&cond200=1&&his=sa2,259-0399 神奈川県足柄下郡湯河原町土肥２−２−５,35.1457631,139.1070106
福浦郵便局,https://map.japanpost.jp/p/search/dtl/300102367000/?&cond2=1&cond200=1&&his=sa2,259-0312 神奈川県足柄下郡湯河原町吉浜３７８−１,35.1560197,139.1275553
幕山公園通郵便局,https://map.japanpost.jp/p/search/dtl/300102021000/?&cond2=1&cond200=1&&his=sa2,259-0301 神奈川県足柄下郡湯河原町中央２−２０−１５,35.1485106,139.1127094
湯河原駅前郵便局,https://map.japanpost.jp/p/search/dtl/300102252000/?&cond2=1&cond200=1&&his=sa2,259-0303 神奈川県足柄下郡湯河原町土肥５−２−３２,35.1436775,139.0999081
湯河原温泉郵便局,https://map.japanpost.jp/p/search/dtl/300102068000/?&cond2=1&cond200=1&&his=sa2,259-0314 神奈川県足柄下郡湯河原町宮上４７５−４,35.1459181,139.0746344
厚木郵便局,https://map.japanpost.jp/p/search/dtl/300102007000/?&cond2=1&cond200=1&&his=sa2,243-8799 神奈川県厚木市田村町２−１８,35.4388017,139.3579303
厚木郵便局,https://map.japanpost.jp/p/search/dtl/300102007000/?&cond2=1&cond200=1&&his=sa2,243-8799 神奈川県厚木市田村町２−１８,35.4388017,139.3579303
厚木北郵便局,https://map.japanpost.jp/p/search/dtl/300102132000/?&cond2=1&cond200=1&&his=sa2,243-0299 神奈川県厚木市下荻野９７０,35.4898567,139.3393317
相川郵便局,https://map.japanpost.jp/p/search/dtl/300102358000/?&cond2=1&cond200=1&&his=sa2,243-0022 神奈川県厚木市酒井２５４２,35.4126572,139.3648736
愛甲石田駅前郵便局,https://map.japanpost.jp/p/search/dtl/300102172000/?&cond2=1&cond200=1&&his=sa2,243-0027 神奈川県厚木市愛甲東１−１−１４,35.4174372,139.3446031
厚木愛甲郵便局,https://map.japanpost.jp/p/search/dtl/300102577000/?&cond2=1&cond200=1&&his=sa2,243-0028 神奈川県厚木市愛甲西３−１７−１４,35.4260608,139.3313267
厚木旭町五郵便局,https://map.japanpost.jp/p/search/dtl/300102236000/?&cond2=1&cond200=1&&his=sa2,243-0014 神奈川県厚木市旭町５−３２−３,35.4324306,139.365065
厚木旭郵便局,https://map.japanpost.jp/p/search/dtl/300102348000/?&cond2=1&cond200=1&&his=sa2,243-0013 神奈川県厚木市泉町５−１１,35.4390936,139.3669878
厚木上依知郵便局,https://map.japanpost.jp/p/search/dtl/300102582000/?&cond2=1&cond200=1&&his=sa2,243-0801 神奈川県厚木市上依知３００１−５,35.5107494,139.3567506
厚木上荻野郵便局,https://map.japanpost.jp/p/search/dtl/300102052000/?&cond2=1&cond200=1&&his=sa2,243-0201 神奈川県厚木市上荻野１１６４−１,35.4998275,139.3135503
厚木妻田郵便局,https://map.japanpost.jp/p/search/dtl/300102550000/?&cond2=1&cond200=1&&his=sa2,243-0812 神奈川県厚木市妻田北１−２−３,35.4598081,139.3583083
厚木鳶尾郵便局,https://map.japanpost.jp/p/search/dtl/300102659000/?&cond2=1&cond200=1&&his=sa2,243-0204 神奈川県厚木市鳶尾２−２５,35.4913036,139.3266658
厚木東町郵便局,https://map.japanpost.jp/p/search/dtl/300102593000/?&cond2=1&cond200=1&&his=sa2,243-0011 神奈川県厚木市厚木町６−１−１０２,35.4434019,139.369835
厚木松枝町郵便局,https://map.japanpost.jp/p/search/dtl/300102671000/?&cond2=1&cond200=1&&his=sa2,243-0005 神奈川県厚木市松枝１−３−３,35.4482567,139.3634044
厚木緑ヶ丘郵便局,https://map.japanpost.jp/p/search/dtl/300102475000/?&cond2=1&cond200=1&&his=sa2,243-0041 神奈川県厚木市緑ケ丘２−２−１１,35.4532383,139.3421647
厚木毛利台郵便局,https://map.japanpost.jp/p/search/dtl/300102685000/?&cond2=1&cond200=1&&his=sa2,243-0037 神奈川県厚木市毛利台２−２−１１,35.4399925,139.3300017
厚木森の里郵便局,https://map.japanpost.jp/p/search/dtl/300102295000/?&cond2=1&cond200=1&&his=sa2,243-0122 神奈川県厚木市森の里１−３４−３,35.4455267,139.3091817
厚木山際郵便局,https://map.japanpost.jp/p/search/dtl/300102243000/?&cond2=1&cond200=1&&his=sa2,243-0803 神奈川県厚木市山際１−２,35.49151,139.3656764
小鮎郵便局,https://map.japanpost.jp/p/search/dtl/300102285000/?&cond2=1&cond200=1&&his=sa2,243-0218 神奈川県厚木市飯山南４−５−１５,35.4640503,139.3216639
七沢郵便局,https://map.japanpost.jp/p/search/dtl/300102093000/?&cond2=1&cond200=1&&his=sa2,243-0121 神奈川県厚木市七沢７９６−３,35.4421442,139.2985011
綾瀬郵便局,https://map.japanpost.jp/p/search/dtl/300109052000/?&cond2=1&cond200=1&&his=sa2,252-1199 神奈川県綾瀬市小園６９８−７,35.4470433,139.4154228
綾瀬郵便局,https://map.japanpost.jp/p/search/dtl/300109052000/?&cond2=1&cond200=1&&his=sa2,252-1199 神奈川県綾瀬市小園６９８−７,35.4470433,139.4154228
綾瀬上土棚郵便局,https://map.japanpost.jp/p/search/dtl/300102672000/?&cond2=1&cond200=1&&his=sa2,252-1113 神奈川県綾瀬市上土棚中１−５−３９,35.4198067,139.4487372
綾瀬寺尾郵便局,https://map.japanpost.jp/p/search/dtl/300102631000/?&cond2=1&cond200=1&&his=sa2,252-1136 神奈川県綾瀬市寺尾西３−１１−１２,35.4553036,139.4179228
綾瀬中郵便局,https://map.japanpost.jp/p/search/dtl/300102211000/?&cond2=1&cond200=1&&his=sa2,252-1107 神奈川県綾瀬市深谷中７−１０−２１,35.4354181,139.4371903
伊勢原郵便局,https://map.japanpost.jp/p/search/dtl/300102010000/?&cond2=1&cond200=1&&his=sa2,259-1199 神奈川県伊勢原市田中４３２,35.4029914,139.3132556
伊勢原郵便局,https://map.japanpost.jp/p/search/dtl/300102010000/?&cond2=1&cond200=1&&his=sa2,259-1199 神奈川県伊勢原市田中４３２,35.4029914,139.3132556
伊勢原桜台郵便局,https://map.japanpost.jp/p/search/dtl/300102678000/?&cond2=1&cond200=1&&his=sa2,259-1132 神奈川県伊勢原市桜台２−２０−１８,35.3951942,139.3162203
伊勢原高森郵便局,https://map.japanpost.jp/p/search/dtl/300102628000/?&cond2=1&cond200=1&&his=sa2,259-1114 神奈川県伊勢原市高森６−５−２,35.4162,139.3346861
