0,1,2,Latitude,Longitude
秋田中央郵便局,https://map.japanpost.jp/p/search/dtl/300186001000/?&cond2=1&cond200=1&&his=sa2,010-8799 秋田県秋田市保戸野鉄砲町５−１,39.7231378,140.1094919
秋田中央郵便局,https://map.japanpost.jp/p/search/dtl/300186001000/?&cond2=1&cond200=1&&his=sa2,010-8799 秋田県秋田市保戸野鉄砲町５−１,39.7231378,140.1094919
秋田泉郵便局,https://map.japanpost.jp/p/search/dtl/300186182000/?&cond2=1&cond200=1&&his=sa2,010-0815 秋田県秋田市泉馬場６−１４,39.7353872,140.1236794
秋田牛島東郵便局,https://map.japanpost.jp/p/search/dtl/300186283000/?&cond2=1&cond200=1&&his=sa2,010-0062 秋田県秋田市牛島東６−５−４,39.6951606,140.12569
秋田牛島郵便局,https://map.japanpost.jp/p/search/dtl/300186051000/?&cond2=1&cond200=1&&his=sa2,010-0023 秋田県秋田市楢山本町１１−７,39.7030961,140.1180269
秋田駅トピコ郵便局,https://map.japanpost.jp/p/search/dtl/300186090000/?&cond2=1&cond200=1&&his=sa2,010-0001 秋田県秋田市中通７−１−２,39.7171347,140.1291414
秋田駅前郵便局,https://map.japanpost.jp/p/search/dtl/300186209000/?&cond2=1&cond200=1&&his=sa2,010-0001 秋田県秋田市中通４−１１−１４,39.7153253,140.1262583
秋田大町郵便局,https://map.japanpost.jp/p/search/dtl/300186133000/?&cond2=1&cond200=1&&his=sa2,010-8621 秋田県秋田市大町３−４−１１,39.7175778,140.1148397
秋田卸センター簡易郵便局,https://map.japanpost.jp/p/search/dtl/300186803000/?&cond2=1&cond200=1&&his=sa2,010-0061 秋田県秋田市卸町３−６−３,39.6974628,140.1099492
秋田川尻郵便局,https://map.japanpost.jp/p/search/dtl/300186140000/?&cond2=1&cond200=1&&his=sa2,010-0945 秋田県秋田市川尻みよし町５−２７,39.7117578,140.0986964
秋田旭南郵便局,https://map.japanpost.jp/p/search/dtl/300186098000/?&cond2=1&cond200=1&&his=sa2,010-0925 秋田県秋田市旭南２−９−１３,39.7079675,140.1118875
秋田県庁構内郵便局,https://map.japanpost.jp/p/search/dtl/300186272000/?&cond2=1&cond200=1&&his=sa2,010-0951 秋田県秋田市山王４−１−１,39.7186133,140.1024019
秋田御所野郵便局,https://map.japanpost.jp/p/search/dtl/300186286000/?&cond2=1&cond200=1&&his=sa2,010-1413 秋田県秋田市御所野地蔵田２−２−５,39.6627569,140.1583725
秋田将軍野郵便局,https://map.japanpost.jp/p/search/dtl/300186177000/?&cond2=1&cond200=1&&his=sa2,011-0936 秋田県秋田市将軍野南４−８−２０,39.747365,140.0856842
秋田新国道郵便局,https://map.japanpost.jp/p/search/dtl/300186277000/?&cond2=1&cond200=1&&his=sa2,010-0964 秋田県秋田市八橋鯲沼町１−５７,39.7310561,140.1021425
