0,1,2,Latitude,Longitude
芦辺郵便局,https://map.japanpost.jp/p/search/dtl/300176042000/?&cond2=1&cond200=1&&his=sa2,811-5399 長崎県壱岐市芦辺町芦辺浦瀧ノ上５５５−７,33.8020533,129.7616806
芦辺郵便局,https://map.japanpost.jp/p/search/dtl/300176042000/?&cond2=1&cond200=1&&his=sa2,811-5399 長崎県壱岐市芦辺町芦辺浦瀧ノ上５５５−７,33.8020533,129.7616806
壱岐国分郵便局,https://map.japanpost.jp/p/search/dtl/300176166000/?&cond2=1&cond200=1&&his=sa2,811-5732 長崎県壱岐市芦辺町国分東触７６８−２,33.7983014,129.7183394
壱岐瀬戸郵便局,https://map.japanpost.jp/p/search/dtl/300176154000/?&cond2=1&cond200=1&&his=sa2,811-5462 長崎県壱岐市芦辺町箱崎大左右触５０８−１２,33.8160681,129.7573717
石田郵便局,https://map.japanpost.jp/p/search/dtl/300176043000/?&cond2=1&cond200=1&&his=sa2,811-5299 長崎県壱岐市石田町印通寺浦４６９−４８,33.74398,129.7564894
勝本郵便局,https://map.japanpost.jp/p/search/dtl/300176048000/?&cond2=1&cond200=1&&his=sa2,811-5599 長崎県壱岐市勝本町勝本浦３４５,33.8535897,129.6919639
古城簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176799000/?&cond2=1&cond200=1&&his=sa2,811-5117 長崎県壱岐市郷ノ浦町田中触１０４３−３,33.7595522,129.6985367
郷ノ浦郵便局,https://map.japanpost.jp/p/search/dtl/300176006000/?&cond2=1&cond200=1&&his=sa2,811-5199 長崎県壱岐市郷ノ浦町郷ノ浦１７６,33.7462497,129.6901492
志原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176701000/?&cond2=1&cond200=1&&his=sa2,811-5121 長崎県壱岐市郷ノ浦町平人触５１,33.7525314,129.7201503
沼津郵便局,https://map.japanpost.jp/p/search/dtl/300176219000/?&cond2=1&cond200=1&&his=sa2,811-5101 長崎県壱岐市郷ノ浦町長峰本村触８３０−１,33.7913167,129.6723897
初山郵便局,https://map.japanpost.jp/p/search/dtl/300176222000/?&cond2=1&cond200=1&&his=sa2,811-5143 長崎県壱岐市郷ノ浦町初山西触７９６−１,33.7179206,129.7026772
柳田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176715000/?&cond2=1&cond200=1&&his=sa2,811-5114 長崎県壱岐市郷ノ浦町柳田触１８７−１,33.7661344,129.7002778
八幡浦簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176718000/?&cond2=1&cond200=1&&his=sa2,811-5311 長崎県壱岐市芦辺町諸吉本村触２０８３,33.7841189,129.7908161
湯本郵便局,https://map.japanpost.jp/p/search/dtl/300176107000/?&cond2=1&cond200=1&&his=sa2,811-5551 長崎県壱岐市勝本町湯本浦１,33.8044717,129.6882472
渡良郵便局,https://map.japanpost.jp/p/search/dtl/300176142000/?&cond2=1&cond200=1&&his=sa2,811-5152 長崎県壱岐市郷ノ浦町渡良南触３８５−１,33.7569561,129.6615094
諫早郵便局,https://map.japanpost.jp/p/search/dtl/300176007000/?&cond2=1&cond200=1&&his=sa2,854-8799 長崎県諫早市八坂町１−７,32.8438325,130.0563058
諫早郵便局,https://map.japanpost.jp/p/search/dtl/300176007000/?&cond2=1&cond200=1&&his=sa2,854-8799 長崎県諫早市八坂町１−７,32.8438325,130.0563058
飯盛郵便局,https://map.japanpost.jp/p/search/dtl/300176123000/?&cond2=1&cond200=1&&his=sa2,854-1112 長崎県諫早市飯盛町開２６−８,32.77014,130.0261161
諫早小豆崎簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176834000/?&cond2=1&cond200=1&&his=sa2,859-0311 長崎県諫早市小豆崎町１７６３−１,32.8530739,130.0655808
諫早永昌郵便局,https://map.japanpost.jp/p/search/dtl/300176281000/?&cond2=1&cond200=1&&his=sa2,854-0072 長崎県諫早市永昌町９−７,32.8507203,130.0405681
諫早小野郵便局,https://map.japanpost.jp/p/search/dtl/300176160000/?&cond2=1&cond200=1&&his=sa2,854-0034 長崎県諫早市小野町５１４−３,32.8328994,130.0875247
諫早久山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176772000/?&cond2=1&cond200=1&&his=sa2,854-0068 長崎県諫早市青葉台２１８,32.8286881,130.0035494
諫早幸町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176829000/?&cond2=1&cond200=1&&his=sa2,854-0022 長崎県諫早市幸町７９−５９,32.8362064,130.0723467
諫早平山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176780000/?&cond2=1&cond200=1&&his=sa2,854-0062 長崎県諫早市小船越町１２６６,32.8373347,130.0337806
諫早福田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176755000/?&cond2=1&cond200=1&&his=sa2,854-0001 長崎県諫早市福田町１−５,32.8506181,130.0559617
諫早真崎郵便局,https://map.japanpost.jp/p/search/dtl/300176339000/?&cond2=1&cond200=1&&his=sa2,854-0084 長崎県諫早市真崎町１７１５−１,32.85272,130.0293886
有喜郵便局,https://map.japanpost.jp/p/search/dtl/300176018000/?&cond2=1&cond200=1&&his=sa2,854-0199 長崎県諫早市有喜町２１９,32.7966892,130.0849231
大草郵便局,https://map.japanpost.jp/p/search/dtl/300176150000/?&cond2=1&cond200=1&&his=sa2,859-0414 長崎県諫早市多良見町元釜９５−１２,32.8580153,129.9347172
喜々津シーサイド郵便局,https://map.japanpost.jp/p/search/dtl/300176349000/?&cond2=1&cond200=1&&his=sa2,859-0407 長崎県諫早市多良見町シーサイド１−２７８,32.8385036,129.9900278
北諫早郵便局,https://map.japanpost.jp/p/search/dtl/300176131000/?&cond2=1&cond200=1&&his=sa2,854-0006 長崎県諫早市天満町１７−１５,32.8486064,130.0469542
小長井郵便局,https://map.japanpost.jp/p/search/dtl/300176179000/?&cond2=1&cond200=1&&his=sa2,859-0166 長崎県諫早市小長井町井崎６７９−３,32.9300244,130.1929186
高来郵便局,https://map.japanpost.jp/p/search/dtl/300176019000/?&cond2=1&cond200=1&&his=sa2,859-0199 長崎県諫早市高来町三部壱４０５−２,32.90715,130.1405761
田結郵便局,https://map.japanpost.jp/p/search/dtl/300176264000/?&cond2=1&cond200=1&&his=sa2,854-1123 長崎県諫早市飯盛町里１９１−５,32.7636286,129.9957033
多良見郵便局,https://map.japanpost.jp/p/search/dtl/300176101000/?&cond2=1&cond200=1&&his=sa2,859-0401 長崎県諫早市多良見町化屋４７９,32.83166,129.9876058
長田郵便局,https://map.japanpost.jp/p/search/dtl/300176227000/?&cond2=1&cond200=1&&his=sa2,859-0399 長崎県諫早市長田町２１４９−３,32.8618369,130.08108
西諫早郵便局,https://map.japanpost.jp/p/search/dtl/300176333000/?&cond2=1&cond200=1&&his=sa2,854-0074 長崎県諫早市山川町１−４,32.8454172,130.0243914
深海郵便局,https://map.japanpost.jp/p/search/dtl/300176161000/?&cond2=1&cond200=1&&his=sa2,859-0106 長崎県諫早市高来町冨地戸４４９−１,32.8866264,130.1097064
舟津簡易郵便局,https://map.japanpost.jp/p/search/dtl/300176779000/?&cond2=1&cond200=1&&his=sa2,859-0406 長崎県諫早市多良見町木床１５５９,32.8357267,129.9824875
真津山郵便局,https://map.japanpost.jp/p/search/dtl/300176246000/?&cond2=1&cond200=1&&his=sa2,854-0063 長崎県諫早市貝津町２９７３−２,32.8379289,130.0189706
