0,1,2,Latitude,Longitude
綾上郵便局,https://map.japanpost.jp/p/search/dtl/300163040000/?&cond2=1&cond200=1&&his=sa2,761-2203 香川県綾歌郡綾川町山田上甲１４７３−３３,34.2172706,133.9671028
綾上郵便局,https://map.japanpost.jp/p/search/dtl/300163040000/?&cond2=1&cond200=1&&his=sa2,761-2203 香川県綾歌郡綾川町山田上甲１４７３−３３,34.2172706,133.9671028
イオンモール綾川内郵便局,https://map.japanpost.jp/p/search/dtl/300163203000/?&cond2=1&cond200=1&&his=sa2,761-2304 香川県綾歌郡綾川町萱原字下所８２２−１,34.2511308,133.9315683
昭和郵便局,https://map.japanpost.jp/p/search/dtl/300163017000/?&cond2=1&cond200=1&&his=sa2,761-2101 香川県綾歌郡綾川町畑田６８４−７,34.2635672,133.9795639
陶郵便局,https://map.japanpost.jp/p/search/dtl/300163114000/?&cond2=1&cond200=1&&his=sa2,761-2103 香川県綾歌郡綾川町陶５８７３−３５,34.2535125,133.9491661
枌所簡易郵便局,https://map.japanpost.jp/p/search/dtl/300163702000/?&cond2=1&cond200=1&&his=sa2,761-2202 香川県綾歌郡綾川町枌所西甲２０５６−１,34.1969961,133.9943642
滝宮郵便局,https://map.japanpost.jp/p/search/dtl/300163015000/?&cond2=1&cond200=1&&his=sa2,761-2399 香川県綾歌郡綾川町滝宮１３５１−２４,34.2507078,133.9200419
畑田郵便局,https://map.japanpost.jp/p/search/dtl/300163186000/?&cond2=1&cond200=1&&his=sa2,761-2101 香川県綾歌郡綾川町畑田２３９３−４,34.2474442,133.9782256
羽床上郵便局,https://map.japanpost.jp/p/search/dtl/300163119000/?&cond2=1&cond200=1&&his=sa2,761-2207 香川県綾歌郡綾川町羽床上６５２−２,34.2263719,133.9305472
羽床簡易郵便局,https://map.japanpost.jp/p/search/dtl/300163706000/?&cond2=1&cond200=1&&his=sa2,761-2308 香川県綾歌郡綾川町羽床下２３１２−１,34.2378661,133.9042075
宇多津網の浦郵便局,https://map.japanpost.jp/p/search/dtl/300163197000/?&cond2=1&cond200=1&&his=sa2,769-0210 香川県綾歌郡宇多津町２０３４−５,34.3083683,133.8263464
宇多津網の浦郵便局,https://map.japanpost.jp/p/search/dtl/300163197000/?&cond2=1&cond200=1&&his=sa2,769-0210 香川県綾歌郡宇多津町２０３４−５,34.3083683,133.8263464
宇多津郵便局,https://map.japanpost.jp/p/search/dtl/300163042000/?&cond2=1&cond200=1&&his=sa2,769-0206 香川県綾歌郡宇多津町浜六番丁９２−５,34.3081708,133.8160503
