0,1,2,Latitude,Longitude
伊野郵便局,https://map.japanpost.jp/p/search/dtl/300164008000/?&cond2=1&cond200=1&&his=sa2,781-2199 高知県吾川郡いの町幸町６,33.54671,133.4244342
伊野郵便局,https://map.japanpost.jp/p/search/dtl/300164008000/?&cond2=1&cond200=1&&his=sa2,781-2199 高知県吾川郡いの町幸町６,33.54671,133.4244342
枝川郵便局,https://map.japanpost.jp/p/search/dtl/300164240000/?&cond2=1&cond200=1&&his=sa2,781-2120 高知県吾川郡いの町枝川７４７,33.5509078,133.4486161
越裏門簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164738000/?&cond2=1&cond200=1&&his=sa2,781-2604 高知県吾川郡いの町越裏門宮向２４６−６,33.7288236,133.2344494
上八川郵便局,https://map.japanpost.jp/p/search/dtl/300164055000/?&cond2=1&cond200=1&&his=sa2,781-2401 高知県吾川郡いの町上八川甲１９６４−２,33.6460311,133.3404853
川内郵便局,https://map.japanpost.jp/p/search/dtl/300164207000/?&cond2=1&cond200=1&&his=sa2,781-2127 高知県吾川郡いの町鎌田４０７−１,33.54258,133.4178667
神谷郵便局,https://map.japanpost.jp/p/search/dtl/300164145000/?&cond2=1&cond200=1&&his=sa2,781-2134 高知県吾川郡いの町神谷７０５−２,33.5534583,133.3864125
小川郵便局,https://map.japanpost.jp/p/search/dtl/300164064000/?&cond2=1&cond200=1&&his=sa2,781-2399 高知県吾川郡いの町小川東津賀才８７,33.6272708,133.3005278
下八川簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164755000/?&cond2=1&cond200=1&&his=sa2,781-2332 高知県吾川郡いの町下八川乙３８５−８,33.6091175,133.2978553
勝賀瀬郵便局,https://map.japanpost.jp/p/search/dtl/300164088000/?&cond2=1&cond200=1&&his=sa2,781-2141 高知県吾川郡いの町勝賀瀬４７４−６,33.5808106,133.3587239
天王ニュータウン郵便局,https://map.japanpost.jp/p/search/dtl/300164252000/?&cond2=1&cond200=1&&his=sa2,781-2122 高知県吾川郡いの町天王北１−１−１,33.5297611,133.4459175
長沢郵便局,https://map.japanpost.jp/p/search/dtl/300164081000/?&cond2=1&cond200=1&&his=sa2,781-2699 高知県吾川郡いの町長沢１３９−１０,33.7271092,133.3049503
八田郵便局,https://map.japanpost.jp/p/search/dtl/300164194000/?&cond2=1&cond200=1&&his=sa2,781-2124 高知県吾川郡いの町八田４９６−５,33.5213406,133.4348725
日比原郵便局,https://map.japanpost.jp/p/search/dtl/300164142000/?&cond2=1&cond200=1&&his=sa2,781-2512 高知県吾川郡いの町清水下分９３５,33.6758347,133.3360192
本川郵便局,https://map.japanpost.jp/p/search/dtl/300164079000/?&cond2=1&cond200=1&&his=sa2,781-2611 高知県吾川郡いの町脇ノ山２８１−１,33.7728317,133.3372544
樅ノ木簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164806000/?&cond2=1&cond200=1&&his=sa2,781-2323 高知県吾川郡いの町小川樅ノ木山１０７８,33.6513331,133.2767386
柳野郵便局,https://map.japanpost.jp/p/search/dtl/300164190000/?&cond2=1&cond200=1&&his=sa2,781-2325 高知県吾川郡いの町小川柳野１１４０−１,33.6222272,133.2404344
柳瀬郵便局,https://map.japanpost.jp/p/search/dtl/300164156000/?&cond2=1&cond200=1&&his=sa2,781-2144 高知県吾川郡いの町柳瀬本村５５８−２,33.561185,133.3320292
池川郵便局,https://map.japanpost.jp/p/search/dtl/300164024000/?&cond2=1&cond200=1&&his=sa2,781-1606 高知県吾川郡仁淀川町土居甲１０４０−３,33.6103444,133.17467
池川郵便局,https://map.japanpost.jp/p/search/dtl/300164024000/?&cond2=1&cond200=1&&his=sa2,781-1606 高知県吾川郡仁淀川町土居甲１０４０−３,33.6103444,133.17467
泉川簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164781000/?&cond2=1&cond200=1&&his=sa2,781-1915 高知県吾川郡仁淀川町大植２９０５−１,33.4857781,133.1027611
大崎郵便局,https://map.japanpost.jp/p/search/dtl/300164058000/?&cond2=1&cond200=1&&his=sa2,781-1599 高知県吾川郡仁淀川町大崎１７６,33.5746511,133.1704722
下名野川簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164765000/?&cond2=1&cond200=1&&his=sa2,781-1762 高知県吾川郡仁淀川町下名野川６１９,33.5689731,133.0994658
長者郵便局,https://map.japanpost.jp/p/search/dtl/300164167000/?&cond2=1&cond200=1&&his=sa2,781-1911 高知県吾川郡仁淀川町長者乙２５０９−４,33.5008236,133.1338003
名野川郵便局,https://map.japanpost.jp/p/search/dtl/300164026000/?&cond2=1&cond200=1&&his=sa2,781-1741 高知県吾川郡仁淀川町名野川４２４−２,33.5581742,133.1324019
仁淀郵便局,https://map.japanpost.jp/p/search/dtl/300164118000/?&cond2=1&cond200=1&&his=sa2,781-1801 高知県吾川郡仁淀川町森２６０３−２,33.5360861,133.1286247
用居簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164824000/?&cond2=1&cond200=1&&his=sa2,781-1619 高知県吾川郡仁淀川町用居甲３６１−１,33.6402039,133.1267331
安居簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164814000/?&cond2=1&cond200=1&&his=sa2,781-1624 高知県吾川郡仁淀川町土居８１−２,33.6411325,133.1971858
馬路郵便局,https://map.japanpost.jp/p/search/dtl/300164072000/?&cond2=1&cond200=1&&his=sa2,781-6201 高知県安芸郡馬路村馬路４６３,33.5547136,134.0481664
馬路郵便局,https://map.japanpost.jp/p/search/dtl/300164072000/?&cond2=1&cond200=1&&his=sa2,781-6201 高知県安芸郡馬路村馬路４６３,33.5547136,134.0481664
魚梁瀬郵便局,https://map.japanpost.jp/p/search/dtl/300164105000/?&cond2=1&cond200=1&&his=sa2,781-6202 高知県安芸郡馬路村魚梁瀬１０−６６,33.6154925,134.1094942
野友郵便局,https://map.japanpost.jp/p/search/dtl/300164082000/?&cond2=1&cond200=1&&his=sa2,781-6441 高知県安芸郡北川村野友甲１５３６,33.4474247,134.0422703
野友郵便局,https://map.japanpost.jp/p/search/dtl/300164082000/?&cond2=1&cond200=1&&his=sa2,781-6441 高知県安芸郡北川村野友甲１５３６,33.4474247,134.0422703
芸西郵便局,https://map.japanpost.jp/p/search/dtl/300164042000/?&cond2=1&cond200=1&&his=sa2,781-5701 高知県安芸郡芸西村和食甲１５８３−１,33.5197883,133.8101281
芸西郵便局,https://map.japanpost.jp/p/search/dtl/300164042000/?&cond2=1&cond200=1&&his=sa2,781-5701 高知県安芸郡芸西村和食甲１５８３−１,33.5197883,133.8101281
田野郵便局,https://map.japanpost.jp/p/search/dtl/300164062000/?&cond2=1&cond200=1&&his=sa2,781-6410 高知県安芸郡田野町１８１８−６,33.4282367,134.0097522
田野郵便局,https://map.japanpost.jp/p/search/dtl/300164062000/?&cond2=1&cond200=1&&his=sa2,781-6410 高知県安芸郡田野町１８１８−６,33.4282367,134.0097522
生見簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164747000/?&cond2=1&cond200=1&&his=sa2,781-7414 高知県安芸郡東洋町生見７６−３,33.5239764,134.2813947
生見簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164747000/?&cond2=1&cond200=1&&his=sa2,781-7414 高知県安芸郡東洋町生見７６−３,33.5239764,134.2813947
甲浦郵便局,https://map.japanpost.jp/p/search/dtl/300164050000/?&cond2=1&cond200=1&&his=sa2,781-7413 高知県安芸郡東洋町白浜１−３,33.5453433,134.2948728
野根郵便局,https://map.japanpost.jp/p/search/dtl/300164021000/?&cond2=1&cond200=1&&his=sa2,781-7301 高知県安芸郡東洋町野根丙１７９４−１,33.5047531,134.2676192
加領郷簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164734000/?&cond2=1&cond200=1&&his=sa2,781-6401 高知県安芸郡奈半利町甲３４１０,33.3824808,134.0362747
加領郷簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164734000/?&cond2=1&cond200=1&&his=sa2,781-6401 高知県安芸郡奈半利町甲３４１０,33.3824808,134.0362747
奈半利郵便局,https://map.japanpost.jp/p/search/dtl/300164020000/?&cond2=1&cond200=1&&his=sa2,781-6499 高知県安芸郡奈半利町乙１２５７,33.4238367,134.0206981
正弘郵便局,https://map.japanpost.jp/p/search/dtl/300164130000/?&cond2=1&cond200=1&&his=sa2,781-6430 高知県安芸郡安田町正弘６９９,33.4811897,134.0013686
正弘郵便局,https://map.japanpost.jp/p/search/dtl/300164130000/?&cond2=1&cond200=1&&his=sa2,781-6430 高知県安芸郡安田町正弘６９９,33.4811897,134.0013686
安田郵便局,https://map.japanpost.jp/p/search/dtl/300164004000/?&cond2=1&cond200=1&&his=sa2,781-6421 高知県安芸郡安田町大字安田１８５０,33.4386011,133.9810069
安芸郵便局,https://map.japanpost.jp/p/search/dtl/300164003000/?&cond2=1&cond200=1&&his=sa2,784-8799 高知県安芸市西浜139-1,33.5069944,133.9039747
安芸郵便局,https://map.japanpost.jp/p/search/dtl/300164003000/?&cond2=1&cond200=1&&his=sa2,784-8799 高知県安芸市西浜139-1,33.5069944,133.9039747
安芸赤野郵便局,https://map.japanpost.jp/p/search/dtl/300164208000/?&cond2=1&cond200=1&&his=sa2,784-0034 高知県安芸市赤野乙２９３６−３,33.5160003,133.8284269
安芸穴内郵便局,https://map.japanpost.jp/p/search/dtl/300164174000/?&cond2=1&cond200=1&&his=sa2,784-0032 高知県安芸市穴内乙８０−３,33.5061006,133.8608928
安芸伊尾木郵便局,https://map.japanpost.jp/p/search/dtl/300164098000/?&cond2=1&cond200=1&&his=sa2,784-0045 高知県安芸市伊尾木５００−１３,33.4943875,133.9241922
安芸下山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164797000/?&cond2=1&cond200=1&&his=sa2,784-0046 高知県安芸市下山４７６−３,33.4590147,133.9459106
安芸土居郵便局,https://map.japanpost.jp/p/search/dtl/300164202000/?&cond2=1&cond200=1&&his=sa2,784-0042 高知県安芸市土居１２６２−５,33.5144503,133.9120792
安芸奈比賀簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164719000/?&cond2=1&cond200=1&&his=sa2,784-0271 高知県安芸市奈比賀３６５−２,33.5277306,133.9524439
安芸本町郵便局,https://map.japanpost.jp/p/search/dtl/300164246000/?&cond2=1&cond200=1&&his=sa2,784-0004 高知県安芸市本町３−９−８,33.5006161,133.9026922
井ノ口郵便局,https://map.japanpost.jp/p/search/dtl/300164133000/?&cond2=1&cond200=1&&his=sa2,784-0052 高知県安芸市井ノ口乙１５８５−８,33.5417631,133.8950942
大井簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164817000/?&cond2=1&cond200=1&&his=sa2,784-0275 高知県安芸市大井乙１８３−２,33.5818217,133.9800656
川北簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164710000/?&cond2=1&cond200=1&&his=sa2,784-0043 高知県安芸市川北甲８４０−３,33.5022778,133.926095
入河内郵便局,https://map.japanpost.jp/p/search/dtl/300164083000/?&cond2=1&cond200=1&&his=sa2,784-0272 高知県安芸市入河内５７５−１,33.5561014,133.9594569
東浜簡易郵便局,https://map.japanpost.jp/p/search/dtl/300164740000/?&cond2=1&cond200=1&&his=sa2,784-0004 高知県安芸市本町１−９−１９,33.5004633,133.9088283
