0,1,2,Latitude,Longitude
上野郵便局,https://map.japanpost.jp/p/search/dtl/300122008000/?&cond2=1&cond200=1&&his=sa2,518-8799 三重県伊賀市上野丸之内１５１−３,34.7684264,136.1325167
青山桐ケ丘郵便局,https://map.japanpost.jp/p/search/dtl/300122190000/?&cond2=1&cond200=1&&his=sa2,518-0225 三重県伊賀市桐ケ丘３−３３４−１,34.6626625,136.1922958
青山郵便局,https://map.japanpost.jp/p/search/dtl/300122030000/?&cond2=1&cond200=1&&his=sa2,518-0299 三重県伊賀市阿保１２９９,34.6701169,136.1798992
阿山郵便局,https://map.japanpost.jp/p/search/dtl/300122148000/?&cond2=1&cond200=1&&his=sa2,518-1399 三重県伊賀市馬場１０８４−３,34.8286611,136.1761564
阿波郵便局,https://map.japanpost.jp/p/search/dtl/300122086000/?&cond2=1&cond200=1&&his=sa2,518-1414 三重県伊賀市猿野１３６８−１,34.7670128,136.2820603
伊賀上野駅前郵便局,https://map.japanpost.jp/p/search/dtl/300122275000/?&cond2=1&cond200=1&&his=sa2,518-0022 三重県伊賀市三田１０４７−３,34.7885914,136.1247744
伊賀神戸郵便局,https://map.japanpost.jp/p/search/dtl/300122216000/?&cond2=1&cond200=1&&his=sa2,518-0113 三重県伊賀市古郡３３８−８,34.6816878,136.1526397
伊賀郵便局,https://map.japanpost.jp/p/search/dtl/300122128000/?&cond2=1&cond200=1&&his=sa2,519-1499 三重県伊賀市下柘植６７０−１,34.8240703,136.2122339
伊賀ゆめが丘郵便局,https://map.japanpost.jp/p/search/dtl/300122311000/?&cond2=1&cond200=1&&his=sa2,518-0131 三重県伊賀市ゆめが丘３−１５−２１,34.7365136,136.1584997
依那古郵便局,https://map.japanpost.jp/p/search/dtl/300122156000/?&cond2=1&cond200=1&&his=sa2,518-0103 三重県伊賀市沖１８−６,34.7153317,136.1526275
上野愛宕郵便局,https://map.japanpost.jp/p/search/dtl/300122194000/?&cond2=1&cond200=1&&his=sa2,518-0846 三重県伊賀市上野愛宕町１８６０−１,34.7602297,136.1294031
上野猪田郵便局,https://map.japanpost.jp/p/search/dtl/300122200000/?&cond2=1&cond200=1&&his=sa2,518-0121 三重県伊賀市上之庄１３１８−１,34.7302044,136.1228067
上野岩倉郵便局,https://map.japanpost.jp/p/search/dtl/300122145000/?&cond2=1&cond200=1&&his=sa2,518-0026 三重県伊賀市岩倉５２２,34.7788436,136.0988708
上野大内郵便局,https://map.japanpost.jp/p/search/dtl/300122230000/?&cond2=1&cond200=1&&his=sa2,518-0034 三重県伊賀市大内７１９−４,34.7390003,136.1057614
上野本町通郵便局,https://map.japanpost.jp/p/search/dtl/300122246000/?&cond2=1&cond200=1&&his=sa2,518-0869 三重県伊賀市上野中町３０００,34.7660597,136.1285194
上野緑ケ丘郵便局,https://map.japanpost.jp/p/search/dtl/300122343000/?&cond2=1&cond200=1&&his=sa2,518-0835 三重県伊賀市緑ケ丘南町３９３７−３,34.7576581,136.1456742
大山田郵便局,https://map.japanpost.jp/p/search/dtl/300122029000/?&cond2=1&cond200=1&&his=sa2,518-1499 三重県伊賀市平田７４２−１,34.7637758,136.2162628
上津郵便局,https://map.japanpost.jp/p/search/dtl/300122159000/?&cond2=1&cond200=1&&his=sa2,518-0205 三重県伊賀市伊勢路１３２−４,34.6822281,136.2083442
佐那具郵便局,https://map.japanpost.jp/p/search/dtl/300122041000/?&cond2=1&cond200=1&&his=sa2,518-0001 三重県伊賀市佐那具町９３０−４,34.8012272,136.1669933
島ヶ原郵便局,https://map.japanpost.jp/p/search/dtl/300122082000/?&cond2=1&cond200=1&&his=sa2,519-1711 三重県伊賀市島ヶ原６０３９−１,34.7657858,136.0559619
玉滝郵便局,https://map.japanpost.jp/p/search/dtl/300122042000/?&cond2=1&cond200=1&&his=sa2,518-1322 三重県伊賀市玉瀧３５０６−７,34.8705194,136.1741444
柘植郵便局,https://map.japanpost.jp/p/search/dtl/300122024000/?&cond2=1&cond200=1&&his=sa2,519-1402 三重県伊賀市柘植町２０３４−１,34.8386831,136.2403983
鞆田郵便局,https://map.japanpost.jp/p/search/dtl/300122144000/?&cond2=1&cond200=1&&his=sa2,518-1303 三重県伊賀市上友田３０５−１５,34.8508978,136.2034736
友生郵便局,https://map.japanpost.jp/p/search/dtl/300122198000/?&cond2=1&cond200=1&&his=sa2,518-0815 三重県伊賀市界外１１１９−３,34.7454597,136.1828575
古山郵便局,https://map.japanpost.jp/p/search/dtl/300122084000/?&cond2=1&cond200=1&&his=sa2,518-1142 三重県伊賀市古山界外１０２−１,34.6993769,136.1154567
丸柱郵便局,https://map.japanpost.jp/p/search/dtl/300122089000/?&cond2=1&cond200=1&&his=sa2,518-1325 三重県伊賀市丸柱１３６９,34.8433831,136.1287733
壬生野郵便局,https://map.japanpost.jp/p/search/dtl/300122248000/?&cond2=1&cond200=1&&his=sa2,519-1424 三重県伊賀市川東１５７５−３,34.7993253,136.2056769
矢持郵便局,https://map.japanpost.jp/p/search/dtl/300122265000/?&cond2=1&cond200=1&&his=sa2,518-0214 三重県伊賀市腰山４９７−７,34.6322775,136.218915
伊勢郵便局,https://map.japanpost.jp/p/search/dtl/300122003000/?&cond2=1&cond200=1&&his=sa2,516-8799 三重県伊勢市岩渕３−６−１０,34.4874697,136.7173611
五十鈴川郵便局,https://map.japanpost.jp/p/search/dtl/300122062000/?&cond2=1&cond200=1&&his=sa2,516-0025 三重県伊勢市宇治中之切町３７−１,34.4635311,136.7229678
伊勢朝熊郵便局,https://map.japanpost.jp/p/search/dtl/300122258000/?&cond2=1&cond200=1&&his=sa2,516-0021 三重県伊勢市朝熊町１５０４,34.4768258,136.7596486
伊勢一之木郵便局,https://map.japanpost.jp/p/search/dtl/300122266000/?&cond2=1&cond200=1&&his=sa2,516-0071 三重県伊勢市一之木３−１０−１３,34.4966906,136.7065853
伊勢大湊郵便局,https://map.japanpost.jp/p/search/dtl/300122102000/?&cond2=1&cond200=1&&his=sa2,516-0001 三重県伊勢市大湊町８１２−１,34.5262433,136.7419992
伊勢神社郵便局,https://map.japanpost.jp/p/search/dtl/300122032000/?&cond2=1&cond200=1&&his=sa2,516-0004 三重県伊勢市神社港２０−２６,34.5118306,136.7359467
伊勢河崎郵便局,https://map.japanpost.jp/p/search/dtl/300122063000/?&cond2=1&cond200=1&&his=sa2,516-0009 三重県伊勢市河崎２−１７−１９,34.4950408,136.7154
伊勢北浜郵便局,https://map.japanpost.jp/p/search/dtl/300122221000/?&cond2=1&cond200=1&&his=sa2,515-0507 三重県伊勢市村松町３８７９−４,34.5493883,136.6833442
伊勢城田郵便局,https://map.japanpost.jp/p/search/dtl/300122298000/?&cond2=1&cond200=1&&his=sa2,516-0051 三重県伊勢市上地町１７５７−５,34.490615,136.6600067
伊勢外宮前郵便局,https://map.japanpost.jp/p/search/dtl/300122342000/?&cond2=1&cond200=1&&his=sa2,516-0074 三重県伊勢市本町２０−１８,34.4881139,136.70739
