0,1,2,Latitude,Longitude
綾部郵便局,https://map.japanpost.jp/p/search/dtl/300144007000/?&cond2=1&cond200=1&&his=sa2,623-8799 京都府綾部市幸通り５,35.3015603,135.2505158
綾部大島郵便局,https://map.japanpost.jp/p/search/dtl/300144403000/?&cond2=1&cond200=1&&his=sa2,623-0046 京都府綾部市大島町二反田７−２,35.3027797,135.2317569
綾部岡安郵便局,https://map.japanpost.jp/p/search/dtl/300144345000/?&cond2=1&cond200=1&&his=sa2,623-0114 京都府綾部市岡安町大道１５−１,35.3382194,135.2917336
綾部高津簡易郵便局,https://map.japanpost.jp/p/search/dtl/300144723000/?&cond2=1&cond200=1&&his=sa2,623-0045 京都府綾部市高津町市ノ坪２５,35.3042317,135.210185
綾部本町郵便局,https://map.japanpost.jp/p/search/dtl/300144350000/?&cond2=1&cond200=1&&his=sa2,623-0014 京都府綾部市若竹町１２−２,35.2986633,135.2596508
五泉簡易郵便局,https://map.japanpost.jp/p/search/dtl/300144706000/?&cond2=1&cond200=1&&his=sa2,623-1124 京都府綾部市五泉町西巻４９−３,35.398715,135.4148383
梅迫郵便局,https://map.japanpost.jp/p/search/dtl/300144034000/?&cond2=1&cond200=1&&his=sa2,623-0199 京都府綾部市梅迫町上町７−３,35.3465964,135.3102278
奥上林郵便局,https://map.japanpost.jp/p/search/dtl/300144115000/?&cond2=1&cond200=1&&his=sa2,623-1132 京都府綾部市故屋岡町大道１６,35.3863647,135.45779
鍛冶屋簡易郵便局,https://map.japanpost.jp/p/search/dtl/300144729000/?&cond2=1&cond200=1&&his=sa2,623-0235 京都府綾部市鍛治屋町花ノ木６−４,35.3417322,135.2014578
吉美郵便局,https://map.japanpost.jp/p/search/dtl/300144344000/?&cond2=1&cond200=1&&his=sa2,623-0005 京都府綾部市里町大坂４−５,35.3150194,135.2608808
口上林郵便局,https://map.japanpost.jp/p/search/dtl/300144229000/?&cond2=1&cond200=1&&his=sa2,629-1242 京都府綾部市十倉名畑町折紙田１９−３,35.3358242,135.3476017
志賀郷郵便局,https://map.japanpost.jp/p/search/dtl/300144138000/?&cond2=1&cond200=1&&his=sa2,623-0343 京都府綾部市志賀郷町北町２−１,35.3682767,135.2396875
豊里郵便局,https://map.japanpost.jp/p/search/dtl/300144209000/?&cond2=1&cond200=1&&his=sa2,623-0222 京都府綾部市栗町土居ノ内４４−４,35.3151486,135.2255325
物部郵便局,https://map.japanpost.jp/p/search/dtl/300144197000/?&cond2=1&cond200=1&&his=sa2,623-0362 京都府綾部市物部町濁渕１３,35.3545886,135.2210119
八津合郵便局,https://map.japanpost.jp/p/search/dtl/300144024000/?&cond2=1&cond200=1&&his=sa2,623-1199 京都府綾部市八津合町岸ノ下３３−１,35.3615636,135.4003392
山家郵便局,https://map.japanpost.jp/p/search/dtl/300144202000/?&cond2=1&cond200=1&&his=sa2,629-1263 京都府綾部市鷹栖町豊後田８,35.2940539,135.3114797
宇治郵便局,https://map.japanpost.jp/p/search/dtl/300144182000/?&cond2=1&cond200=1&&his=sa2,611-8799 京都府宇治市宇治蔭山６,34.8908403,135.7927219
宇治伊勢田郵便局,https://map.japanpost.jp/p/search/dtl/300144382000/?&cond2=1&cond200=1&&his=sa2,611-0043 京都府宇治市伊勢田町中山１７−２２,34.8814444,135.7768194
宇治壱番郵便局,https://map.japanpost.jp/p/search/dtl/300144424000/?&cond2=1&cond200=1&&his=sa2,611-0021 京都府宇治市宇治壱番１５１−２,34.8875961,135.8002903
宇治大久保郵便局,https://map.japanpost.jp/p/search/dtl/300144373000/?&cond2=1&cond200=1&&his=sa2,611-0033 京都府宇治市大久保町井ノ尻２１−３,34.8720647,135.7697144
宇治御蔵山郵便局,https://map.japanpost.jp/p/search/dtl/300144369000/?&cond2=1&cond200=1&&his=sa2,611-0002 京都府宇治市木幡赤塚３２−７,34.9324781,135.8034564
宇治蔭田郵便局,https://map.japanpost.jp/p/search/dtl/300144431000/?&cond2=1&cond200=1&&his=sa2,611-0043 京都府宇治市伊勢田町蔭田２３−２８,34.8816411,135.7672858
宇治笠取簡易郵便局,https://map.japanpost.jp/p/search/dtl/300144708000/?&cond2=1&cond200=1&&his=sa2,601-1391 京都府宇治市東笠取稲出２３−４,34.9371258,135.8557636
宇治木幡郵便局,https://map.japanpost.jp/p/search/dtl/300144090000/?&cond2=1&cond200=1&&his=sa2,611-0002 京都府宇治市木幡大瀬戸４９,34.9249894,135.7973461
宇治五ヶ庄郵便局,https://map.japanpost.jp/p/search/dtl/300144351000/?&cond2=1&cond200=1&&his=sa2,611-0011 京都府宇治市五ケ庄西浦３７,34.9146461,135.8027064
宇治神明宮郵便局,https://map.japanpost.jp/p/search/dtl/300144364000/?&cond2=1&cond200=1&&his=sa2,611-0025 京都府宇治市神明宮北１９−１７,34.8804606,135.789475
宇治菟道郵便局,https://map.japanpost.jp/p/search/dtl/300144375000/?&cond2=1&cond200=1&&his=sa2,611-0013 京都府宇治市莵道車田４−３,34.9008006,135.80549
宇治南陵郵便局,https://map.japanpost.jp/p/search/dtl/300144418000/?&cond2=1&cond200=1&&his=sa2,611-0028 京都府宇治市南陵町２−２−９,34.8856411,135.7857417
宇治西小倉郵便局,https://map.japanpost.jp/p/search/dtl/300144447000/?&cond2=1&cond200=1&&his=sa2,611-0042 京都府宇治市小倉町南堀池８−４,34.8909428,135.7743147
宇治橋郵便局,https://map.japanpost.jp/p/search/dtl/300144340000/?&cond2=1&cond200=1&&his=sa2,611-0021 京都府宇治市宇治蓮華３４,34.8915078,135.8060914
宇治堀池郵便局,https://map.japanpost.jp/p/search/dtl/300144400000/?&cond2=1&cond200=1&&his=sa2,611-0042 京都府宇治市小倉町堀池３９−１７６,34.8972753,135.7772392
宇治槇島郵便局,https://map.japanpost.jp/p/search/dtl/300144374000/?&cond2=1&cond200=1&&his=sa2,611-0041 京都府宇治市槇島町南落合７０−１９,34.9061992,135.7772083
小倉郵便局,https://map.japanpost.jp/p/search/dtl/300144334000/?&cond2=1&cond200=1&&his=sa2,611-0042 京都府宇治市小倉町天王１−１０,34.8951031,135.7850269
新田郵便局,https://map.japanpost.jp/p/search/dtl/300144124000/?&cond2=1&cond200=1&&his=sa2,611-0031 京都府宇治市広野町東裏５６−２,34.8757856,135.7795431
山崎郵便局,https://map.japanpost.jp/p/search/dtl/300144200000/?&cond2=1&cond200=1&&his=sa2,618-8799 京都府乙訓郡大山崎町円明寺宝本９,34.9024569,135.6918114
円明寺郵便局,https://map.japanpost.jp/p/search/dtl/300144387000/?&cond2=1&cond200=1&&his=sa2,618-0091 京都府乙訓郡大山崎町円明寺葛原５１−２６,34.9105117,135.6875194
山崎駅前郵便局,https://map.japanpost.jp/p/search/dtl/300144456000/?&cond2=1&cond200=1&&his=sa2,618-0071 京都府乙訓郡大山崎町大山崎西谷２１−１,34.8919464,135.6797406
