0,1,2,Latitude,Longitude
赤平泉町郵便局,https://map.japanpost.jp/p/search/dtl/300197167000/?&cond2=1&cond200=1&&his=sa2,079-1134 北海道赤平市泉町１−３−７,43.5570431,142.0454983
赤平西郵便局,https://map.japanpost.jp/p/search/dtl/300197153000/?&cond2=1&cond200=1&&his=sa2,079-1153 北海道赤平市豊栄町２−４,43.5653867,142.0345506
赤平東郵便局,https://map.japanpost.jp/p/search/dtl/300197166000/?&cond2=1&cond200=1&&his=sa2,079-1143 北海道赤平市赤平６５７,43.5476172,142.0633156
赤平郵便局,https://map.japanpost.jp/p/search/dtl/300197066000/?&cond2=1&cond200=1&&his=sa2,079-1199 北海道赤平市東大町３−１,43.5519972,142.0560731
平岸郵便局,https://map.japanpost.jp/p/search/dtl/300197091000/?&cond2=1&cond200=1&&his=sa2,079-1282 北海道赤平市平岸仲町４−１−１,43.5420244,142.124645
文京簡易郵便局,https://map.japanpost.jp/p/search/dtl/300197729000/?&cond2=1&cond200=1&&his=sa2,079-1122 北海道赤平市西文京町４−１−１３,43.5643728,142.0423339
茂尻郵便局,https://map.japanpost.jp/p/search/dtl/300197077000/?&cond2=1&cond200=1&&his=sa2,079-1261 北海道赤平市茂尻中央町南３−２５,43.5382389,142.0851881
鶴居郵便局,https://map.japanpost.jp/p/search/dtl/300192030000/?&cond2=1&cond200=1&&his=sa2,085-1299 北海道阿寒郡鶴居村鶴居西３−２９,43.235495,144.3232819
幌呂郵便局,https://map.japanpost.jp/p/search/dtl/300192039000/?&cond2=1&cond200=1&&his=sa2,085-1199 北海道阿寒郡鶴居村幌呂西４−１１−２,43.1985839,144.2625506
旭川中央郵便局,https://map.japanpost.jp/p/search/dtl/300197008000/?&cond2=1&cond200=1&&his=sa2,070-8799 北海道旭川市六条通６−２８−１,43.7719236,142.3601972
旭川東郵便局,https://map.japanpost.jp/p/search/dtl/300197206000/?&cond2=1&cond200=1&&his=sa2,078-8799 北海道旭川市東旭川町共栄９８−４,43.7444764,142.4248275
永山郵便局,https://map.japanpost.jp/p/search/dtl/300197006000/?&cond2=1&cond200=1&&his=sa2,079-8799 北海道旭川市永山二条１８−２−２２,43.8105731,142.4332358
旭川旭町郵便局,https://map.japanpost.jp/p/search/dtl/300197109000/?&cond2=1&cond200=1&&his=sa2,070-0831 北海道旭川市旭町一条８,43.7873742,142.3516694
旭川医大病院内簡易郵便局,https://map.japanpost.jp/p/search/dtl/300197776000/?&cond2=1&cond200=1&&his=sa2,078-8510 北海道旭川市緑が丘東２条１−１−１（旭川医科大学病院構内）,43.7297961,142.3842189
旭川一条西郵便局,https://map.japanpost.jp/p/search/dtl/300197087000/?&cond2=1&cond200=1&&his=sa2,070-0031 北海道旭川市一条通２−右１０,43.7676742,142.3513017
旭川駅内郵便局,https://map.japanpost.jp/p/search/dtl/300197219000/?&cond2=1&cond200=1&&his=sa2,070-0030 北海道旭川市宮下通８−３−１,43.7628778,142.3580478
旭川大町郵便局,https://map.japanpost.jp/p/search/dtl/300197037000/?&cond2=1&cond200=1&&his=sa2,070-0841 北海道旭川市大町一条３,43.7841919,142.3601939
旭川神楽岡五条郵便局,https://map.japanpost.jp/p/search/dtl/300197216000/?&cond2=1&cond200=1&&his=sa2,078-8315 北海道旭川市神楽岡五条５−４−１３,43.7422194,142.3725942
旭川神楽岡郵便局,https://map.japanpost.jp/p/search/dtl/300197193000/?&cond2=1&cond200=1&&his=sa2,070-8006 北海道旭川市神楽六条１４−２−９,43.7442236,142.3565942
旭川神楽郵便局,https://map.japanpost.jp/p/search/dtl/300197127000/?&cond2=1&cond200=1&&his=sa2,070-8005 北海道旭川市神楽五条４−２−６,43.7606406,142.3449836
旭川神居三条郵便局,https://map.japanpost.jp/p/search/dtl/300197122000/?&cond2=1&cond200=1&&his=sa2,070-8013 北海道旭川市神居三条４−２−１０,43.7653458,142.3306239
旭川神居東郵便局,https://map.japanpost.jp/p/search/dtl/300197229000/?&cond2=1&cond200=1&&his=sa2,070-8012 北海道旭川市神居二条２１−８５−１６,43.7456011,142.3438653
旭川神居郵便局,https://map.japanpost.jp/p/search/dtl/300197100000/?&cond2=1&cond200=1&&his=sa2,070-8012 北海道旭川市神居二条１１−１−１１,43.7591167,142.3369008
旭川川端郵便局,https://map.japanpost.jp/p/search/dtl/300197200000/?&cond2=1&cond200=1&&his=sa2,070-0813 北海道旭川市川端町三条７−１−２８,43.7825194,142.3497647
旭川北郵便局,https://map.japanpost.jp/p/search/dtl/300197078000/?&cond2=1&cond200=1&&his=sa2,071-8131 北海道旭川市末広一条７−１−２５,43.8090519,142.3935675
旭川金星橋郵便局,https://map.japanpost.jp/p/search/dtl/300197189000/?&cond2=1&cond200=1&&his=sa2,070-0023 北海道旭川市東三条３−１−１２,43.7794008,142.3733508
旭川九条郵便局,https://map.japanpost.jp/p/search/dtl/300197123000/?&cond2=1&cond200=1&&his=sa2,070-0039 北海道旭川市九条通９−右１０,43.7734347,142.3666361
旭川五条郵便局,https://map.japanpost.jp/p/search/dtl/300197056000/?&cond2=1&cond200=1&&his=sa2,078-8215 北海道旭川市五条通１８−５２１,43.7650775,142.3779128
旭川三条郵便局,https://map.japanpost.jp/p/search/dtl/300197051000/?&cond2=1&cond200=1&&his=sa2,070-0033 北海道旭川市三条通１３−８１５−１,43.7653661,142.3692753
旭川春光台郵便局,https://map.japanpost.jp/p/search/dtl/300197208000/?&cond2=1&cond200=1&&his=sa2,071-8143 北海道旭川市春光台三条４−１−１,43.8182306,142.3587497
旭川春光郵便局,https://map.japanpost.jp/p/search/dtl/300197190000/?&cond2=1&cond200=1&&his=sa2,070-0874 北海道旭川市春光四条６−４−１,43.8019967,142.3666564
旭川春光六郵便局,https://map.japanpost.jp/p/search/dtl/300197047000/?&cond2=1&cond200=1&&his=sa2,070-0871 北海道旭川市春光一条９−１４−２,43.8007825,142.3824108
旭川新富郵便局,https://map.japanpost.jp/p/search/dtl/300197196000/?&cond2=1&cond200=1&&his=sa2,070-0002 北海道旭川市新富二条１−５−９,43.7880036,142.3848628
旭川十条郵便局,https://map.japanpost.jp/p/search/dtl/300197223000/?&cond2=1&cond200=1&&his=sa2,078-8220 北海道旭川市十条通２３−２−４,43.7700497,142.3891722
旭川末広五条郵便局,https://map.japanpost.jp/p/search/dtl/300197226000/?&cond2=1&cond200=1&&his=sa2,071-8135 北海道旭川市末広五条１０−８−１１,43.8193197,142.3883086
旭川末広郵便局,https://map.japanpost.jp/p/search/dtl/300197207000/?&cond2=1&cond200=1&&his=sa2,071-8134 北海道旭川市末広四条３−５−１３,43.8110172,142.3775017
