0,1,2,Latitude,Longitude
石垣郵便局,https://map.japanpost.jp/p/search/dtl/300147204000/?&cond2=1&cond200=1&&his=sa2,643-0166 和歌山県有田郡有田川町吉原１３８０−３,34.0418803,135.2572414
岩倉郵便局,https://map.japanpost.jp/p/search/dtl/300147158000/?&cond2=1&cond200=1&&his=sa2,643-0399 和歌山県有田郡有田川町粟生２０１−１,34.0476569,135.3368631
押手郵便局,https://map.japanpost.jp/p/search/dtl/300147053000/?&cond2=1&cond200=1&&his=sa2,643-0601 和歌山県有田郡有田川町押手７５１−４,34.1292789,135.5089536
金屋郵便局,https://map.japanpost.jp/p/search/dtl/300147024000/?&cond2=1&cond200=1&&his=sa2,643-0152 和歌山県有田郡有田川町金屋２４−１,34.0625217,135.2541517
吉備郵便局,https://map.japanpost.jp/p/search/dtl/300147119000/?&cond2=1&cond200=1&&his=sa2,643-0021 和歌山県有田郡有田川町下津野５６３−５,34.0651619,135.2154461
五村簡易郵便局,https://map.japanpost.jp/p/search/dtl/300147775000/?&cond2=1&cond200=1&&his=sa2,643-0365 和歌山県有田郡有田川町中原３７８,34.0473933,135.3806539
五西月郵便局,https://map.japanpost.jp/p/search/dtl/300147166000/?&cond2=1&cond200=1&&his=sa2,643-0142 和歌山県有田郡有田川町小川８０９−１,34.075515,135.2703672
清水郵便局,https://map.japanpost.jp/p/search/dtl/300147057000/?&cond2=1&cond200=1&&his=sa2,643-0599 和歌山県有田郡有田川町清水４１５−３,34.0857925,135.4301333
城山郵便局,https://map.japanpost.jp/p/search/dtl/300147060000/?&cond2=1&cond200=1&&his=sa2,643-0542 和歌山県有田郡有田川町二川３３７,34.069795,135.3566028
田殿郵便局,https://map.japanpost.jp/p/search/dtl/300147207000/?&cond2=1&cond200=1&&his=sa2,643-0844 和歌山県有田郡有田川町井口８４−１,34.0774661,135.2107461
津木郵便局,https://map.japanpost.jp/p/search/dtl/300147152000/?&cond2=1&cond200=1&&his=sa2,643-0051 和歌山県有田郡広川町下津木７１５−２,33.9799389,135.2132289
広川西広簡易郵便局,https://map.japanpost.jp/p/search/dtl/300147756000/?&cond2=1&cond200=1&&his=sa2,643-0074 和歌山県有田郡広川町西広６７１−２,34.0111653,135.1586956
広川広簡易郵便局,https://map.japanpost.jp/p/search/dtl/300147757000/?&cond2=1&cond200=1&&his=sa2,643-0071 和歌山県有田郡広川町広２０,34.0288208,135.1797783
広川郵便局,https://map.japanpost.jp/p/search/dtl/300147123000/?&cond2=1&cond200=1&&his=sa2,643-0071 和歌山県有田郡広川町広１５２４,34.0291292,135.1727089
湯浅郵便局,https://map.japanpost.jp/p/search/dtl/300147005000/?&cond2=1&cond200=1&&his=sa2,643-8799 和歌山県有田郡湯浅町湯浅１５２０−１,34.0353292,135.1832061
湯浅栖原郵便局,https://map.japanpost.jp/p/search/dtl/300147223000/?&cond2=1&cond200=1&&his=sa2,643-0005 和歌山県有田郡湯浅町栖原４３６−１,34.0418414,135.1685242
湯浅中町郵便局,https://map.japanpost.jp/p/search/dtl/300147240000/?&cond2=1&cond200=1&&his=sa2,643-0004 和歌山県有田郡湯浅町湯浅４６６−１,34.0348208,135.1756283
湯浅横田郵便局,https://map.japanpost.jp/p/search/dtl/300147275000/?&cond2=1&cond200=1&&his=sa2,643-0005 和歌山県有田郡湯浅町栖原９８−１,34.042245,135.1886769
箕島郵便局,https://map.japanpost.jp/p/search/dtl/300147013000/?&cond2=1&cond200=1&&his=sa2,649-0399 和歌山県有田市箕島２６３−２,34.0861872,135.1211619
