0,1,2,Latitude,Longitude
上尾郵便局,https://map.japanpost.jp/p/search/dtl/300103048000/?&cond2=1&cond200=1&&his=sa2,362-8799 埼玉県上尾市谷津１−８７−１,35.9708822,139.5899278
上尾浅間台郵便局,https://map.japanpost.jp/p/search/dtl/300103495000/?&cond2=1&cond200=1&&his=sa2,362-0073 埼玉県上尾市浅間台４−１４−２４,35.9808231,139.5670381
上尾愛宕郵便局,https://map.japanpost.jp/p/search/dtl/300103312000/?&cond2=1&cond200=1&&his=sa2,362-0034 埼玉県上尾市愛宕３−１２−１７,35.9667633,139.5980575
上尾井戸木郵便局,https://map.japanpost.jp/p/search/dtl/300103577000/?&cond2=1&cond200=1&&his=sa2,362-0071 埼玉県上尾市井戸木３−１８−１０,35.9888083,139.559935
上尾尾山台郵便局,https://map.japanpost.jp/p/search/dtl/300103329000/?&cond2=1&cond200=1&&his=sa2,362-0022 埼玉県上尾市瓦葺２７１６（尾山台団地４街区２号棟）,35.9588344,139.6402128
上尾柏座郵便局,https://map.japanpost.jp/p/search/dtl/300103418000/?&cond2=1&cond200=1&&his=sa2,362-0075 埼玉県上尾市柏座４−６−４,35.9693058,139.5810792
上尾小敷谷南郵便局,https://map.japanpost.jp/p/search/dtl/300103380000/?&cond2=1&cond200=1&&his=sa2,362-0064 埼玉県上尾市小敷谷７７−１（西上尾第二団地）,35.9557658,139.5610747
上尾白小鳩郵便局,https://map.japanpost.jp/p/search/dtl/300103510000/?&cond2=1&cond200=1&&his=sa2,362-0001 埼玉県上尾市上１７１０−４,35.9979714,139.575725
上尾原市団地内郵便局,https://map.japanpost.jp/p/search/dtl/300103478000/?&cond2=1&cond200=1&&his=sa2,362-0021 埼玉県上尾市原市３３３６,35.9662097,139.6282414
上尾平方郵便局,https://map.japanpost.jp/p/search/dtl/300103076000/?&cond2=1&cond200=1&&his=sa2,362-0059 埼玉県上尾市平方５２１−４,35.94453,139.5496119
上尾二ツ宮郵便局,https://map.japanpost.jp/p/search/dtl/300103574000/?&cond2=1&cond200=1&&his=sa2,362-0017 埼玉県上尾市二ツ宮９６２,35.9814675,139.6020375
上尾宮本町郵便局,https://map.japanpost.jp/p/search/dtl/300103566000/?&cond2=1&cond200=1&&his=sa2,362-0036 埼玉県上尾市宮本町９−１９,35.9755322,139.5917722
北上尾駅前郵便局,https://map.japanpost.jp/p/search/dtl/300103334000/?&cond2=1&cond200=1&&his=sa2,362-0016 埼玉県上尾市原新町１８−２,35.9865358,139.5780486
西上尾郵便局,https://map.japanpost.jp/p/search/dtl/300103363000/?&cond2=1&cond200=1&&his=sa2,362-0081 埼玉県上尾市壱丁目北29-14（アリオ上尾1階）,35.9616164,139.5666494
原市郵便局,https://map.japanpost.jp/p/search/dtl/300103070000/?&cond2=1&cond200=1&&his=sa2,362-0021 埼玉県上尾市原市２２９９,35.9690228,139.6212564
朝霞郵便局,https://map.japanpost.jp/p/search/dtl/300103553000/?&cond2=1&cond200=1&&his=sa2,351-8799 埼玉県朝霞市本町２−１−３２,35.7961467,139.59501
朝霞根岸郵便局,https://map.japanpost.jp/p/search/dtl/300103323000/?&cond2=1&cond200=1&&his=sa2,351-0005 埼玉県朝霞市根岸台３−１４−２,35.8083153,139.6073419
朝霞本町郵便局,https://map.japanpost.jp/p/search/dtl/300103250000/?&cond2=1&cond200=1&&his=sa2,351-0011 埼玉県朝霞市本町２−２５−２２,35.8004108,139.5981225
朝霞溝沼郵便局,https://map.japanpost.jp/p/search/dtl/300103602000/?&cond2=1&cond200=1&&his=sa2,351-0023 埼玉県朝霞市溝沼４８２−５,35.8087456,139.5872292
朝霞三原郵便局,https://map.japanpost.jp/p/search/dtl/300103388000/?&cond2=1&cond200=1&&his=sa2,351-0025 埼玉県朝霞市三原３−１０−２,35.8162278,139.5810911
朝霞宮戸郵便局,https://map.japanpost.jp/p/search/dtl/300103352000/?&cond2=1&cond200=1&&his=sa2,351-0031 埼玉県朝霞市宮戸２−１−７１,35.8239631,139.5875119
越生郵便局,https://map.japanpost.jp/p/search/dtl/300103046000/?&cond2=1&cond200=1&&his=sa2,350-0499 埼玉県入間郡越生町上野６３３−４,35.9559475,139.303745
越生高取郵便局,https://map.japanpost.jp/p/search/dtl/300103529000/?&cond2=1&cond200=1&&his=sa2,350-0416 埼玉県入間郡越生町越生９０８−１３,35.9641769,139.2943067
三芳郵便局,https://map.japanpost.jp/p/search/dtl/300103054000/?&cond2=1&cond200=1&&his=sa2,354-8799 埼玉県入間郡三芳町藤久保３２０,35.8397264,139.5353156
三芳北永井郵便局,https://map.japanpost.jp/p/search/dtl/300103453000/?&cond2=1&cond200=1&&his=sa2,354-0044 埼玉県入間郡三芳町北永井３７６−４,35.8298183,139.5195428
三芳みよし台郵便局,https://map.japanpost.jp/p/search/dtl/300103611000/?&cond2=1&cond200=1&&his=sa2,354-0042 埼玉県入間郡三芳町みよし台６−２３,35.8331414,139.5451769
埼玉医科大学内簡易郵便局,https://map.japanpost.jp/p/search/dtl/300103841000/?&cond2=1&cond200=1&&his=sa2,350-0451 埼玉県入間郡毛呂山町毛呂本郷３８,35.9393219,139.3060325
毛呂山長瀬郵便局,https://map.japanpost.jp/p/search/dtl/300103346000/?&cond2=1&cond200=1&&his=sa2,350-0463 埼玉県入間郡毛呂山町前久保南４−１３−３,35.9428308,139.3259597
