0,1,2,Latitude,Longitude
四日市郵便局,https://map.japanpost.jp/p/search/dtl/300172017000/?&cond2=1&cond200=1&&his=sa2,879-0499 大分県宇佐市葛原７８０−３,33.5355156,131.3295911
安心院郵便局,https://map.japanpost.jp/p/search/dtl/300172044000/?&cond2=1&cond200=1&&his=sa2,872-0599 大分県宇佐市安心院町下毛２１６２−１６,33.4368192,131.3541511
麻生郵便局,https://map.japanpost.jp/p/search/dtl/300172045000/?&cond2=1&cond200=1&&his=sa2,879-0501 大分県宇佐市大字麻生１０２−１,33.48691,131.2780417
天津郵便局,https://map.japanpost.jp/p/search/dtl/300172239000/?&cond2=1&cond200=1&&his=sa2,879-0152 大分県宇佐市下庄２７３−１,33.576135,131.2923961
糸口郵便局,https://map.japanpost.jp/p/search/dtl/300172099000/?&cond2=1&cond200=1&&his=sa2,879-0316 大分県宇佐市下時枝１００−５４,33.5554428,131.3072061
院内郵便局,https://map.japanpost.jp/p/search/dtl/300172073000/?&cond2=1&cond200=1&&his=sa2,872-0341 大分県宇佐市院内町斎藤４９４−４,33.4025644,131.3084094
宇佐駅館郵便局,https://map.japanpost.jp/p/search/dtl/300172121000/?&cond2=1&cond200=1&&his=sa2,879-0454 大分県宇佐市法鏡寺２１２−６,33.5309133,131.3479431
宇佐郵便局,https://map.japanpost.jp/p/search/dtl/300172012000/?&cond2=1&cond200=1&&his=sa2,872-0102 大分県宇佐市大字南宇佐２１５８−５,33.5280481,131.3708192
江須賀簡易郵便局,https://map.japanpost.jp/p/search/dtl/300172752000/?&cond2=1&cond200=1&&his=sa2,872-0032 大分県宇佐市江須賀２８４６,33.5670128,131.3682031
乙女郵便局,https://map.japanpost.jp/p/search/dtl/300172101000/?&cond2=1&cond200=1&&his=sa2,879-0399 大分県宇佐市森山１８０２−１,33.5633064,131.3241172
北馬城郵便局,https://map.japanpost.jp/p/search/dtl/300172082000/?&cond2=1&cond200=1&&his=sa2,879-1199 大分県宇佐市橋津３０５−２,33.531045,131.3996778
香下郵便局,https://map.japanpost.jp/p/search/dtl/300172074000/?&cond2=1&cond200=1&&his=sa2,872-0311 大分県宇佐市院内町香下１５３５,33.473185,131.3284464
佐田郵便局,https://map.japanpost.jp/p/search/dtl/300172067000/?&cond2=1&cond200=1&&his=sa2,872-0651 大分県宇佐市安心院町佐田７８３−１,33.4477772,131.3910403
高森簡易郵便局,https://map.japanpost.jp/p/search/dtl/300172762000/?&cond2=1&cond200=1&&his=sa2,872-0101 大分県宇佐市高森８００,33.5446017,131.3666183
津房郵便局,https://map.japanpost.jp/p/search/dtl/300172112000/?&cond2=1&cond200=1&&his=sa2,872-0711 大分県宇佐市安心院町六郎丸５４８−１,33.3941083,131.3921864
豊川郵便局,https://map.japanpost.jp/p/search/dtl/300172243000/?&cond2=1&cond200=1&&his=sa2,879-0464 大分県宇佐市大塚７４１−２,33.5187344,131.3365406
長洲中浜簡易郵便局,https://map.japanpost.jp/p/search/dtl/300172728000/?&cond2=1&cond200=1&&his=sa2,872-0001 大分県宇佐市長洲３８６８−１,33.5745178,131.374005
長洲郵便局,https://map.japanpost.jp/p/search/dtl/300172024000/?&cond2=1&cond200=1&&his=sa2,872-8799 大分県宇佐市長洲６７８−３,33.5690825,131.3769967
長峰郵便局,https://map.japanpost.jp/p/search/dtl/300172124000/?&cond2=1&cond200=1&&his=sa2,879-0299 大分県宇佐市大根川３４５−１,33.5454736,131.2816283
西馬城郵便局,https://map.japanpost.jp/p/search/dtl/300172205000/?&cond2=1&cond200=1&&his=sa2,872-0112 大分県宇佐市上矢部１３５３−２,33.5035758,131.3664011
西屋敷簡易郵便局,https://map.japanpost.jp/p/search/dtl/300172707000/?&cond2=1&cond200=1&&his=sa2,879-1127 大分県宇佐市西屋敷２１３−１,33.5032794,131.4293975
東院内郵便局,https://map.japanpost.jp/p/search/dtl/300172164000/?&cond2=1&cond200=1&&his=sa2,872-0318 大分県宇佐市院内町副８６４,33.4310725,131.3238867
樋田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300172761000/?&cond2=1&cond200=1&&his=sa2,879-0461 大分県宇佐市樋田５６−３,33.5255058,131.3427933
深見郵便局,https://map.japanpost.jp/p/search/dtl/300172202000/?&cond2=1&cond200=1&&his=sa2,872-0841 大分県宇佐市安心院町矢畑３７２−１,33.3892158,131.3405636
