0,1,2,Latitude,Longitude
大内郵便局,https://map.japanpost.jp/p/search/dtl/300181154000/?&cond2=1&cond200=1&&his=sa2,981-2501 宮城県伊具郡丸森町大内西畑１７,37.8682417,140.8253436
大張郵便局,https://map.japanpost.jp/p/search/dtl/300181091000/?&cond2=1&cond200=1&&his=sa2,981-2301 宮城県伊具郡丸森町大張大蔵川前８４,37.9366092,140.6757731
金山本郷郵便局,https://map.japanpost.jp/p/search/dtl/300181039000/?&cond2=1&cond200=1&&his=sa2,981-2402 宮城県伊具郡丸森町金山町２４−２,37.9007289,140.7990244
耕野簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181804000/?&cond2=1&cond200=1&&his=sa2,981-2303 宮城県伊具郡丸森町耕野登花西２６−３,37.9138889,140.6554272
小斎郵便局,https://map.japanpost.jp/p/search/dtl/300181199000/?&cond2=1&cond200=1&&his=sa2,981-2401 宮城県伊具郡丸森町小斎山崎５７−１,37.9189603,140.8212536
館山郵便局,https://map.japanpost.jp/p/search/dtl/300181134000/?&cond2=1&cond200=1&&his=sa2,981-2102 宮城県伊具郡丸森町舘矢間舘山長内６４−２,37.9228783,140.7683683
筆甫郵便局,https://map.japanpost.jp/p/search/dtl/300181172000/?&cond2=1&cond200=1&&his=sa2,981-2201 宮城県伊具郡丸森町筆甫平舘６６−１,37.8283511,140.7298844
丸森郵便局,https://map.japanpost.jp/p/search/dtl/300181023000/?&cond2=1&cond200=1&&his=sa2,981-2199 宮城県伊具郡丸森町除３０,37.9140097,140.7650878
石巻郵便局,https://map.japanpost.jp/p/search/dtl/300181002000/?&cond2=1&cond200=1&&his=sa2,986-8799 宮城県石巻市南中里３−１５−４２,38.4403789,141.2994961
網地島郵便局,https://map.japanpost.jp/p/search/dtl/300181197000/?&cond2=1&cond200=1&&his=sa2,986-2525 宮城県石巻市長渡浜長渡６４,38.2551567,141.4939856
鮎川郵便局,https://map.japanpost.jp/p/search/dtl/300181053000/?&cond2=1&cond200=1&&his=sa2,986-2523 宮城県石巻市鮎川浜湊川68-8,38.3023842,141.5100456
石巻旭町郵便局,https://map.japanpost.jp/p/search/dtl/300181291000/?&cond2=1&cond200=1&&his=sa2,986-0828 宮城県石巻市旭町２−８,38.4364542,141.309365
石巻大街道郵便局,https://map.japanpost.jp/p/search/dtl/300181354000/?&cond2=1&cond200=1&&his=sa2,986-0854 宮城県石巻市大街道北３−３−３８,38.4301181,141.2791219
石巻水明郵便局,https://map.japanpost.jp/p/search/dtl/300181361000/?&cond2=1&cond200=1&&his=sa2,986-0805 宮城県石巻市大橋２−１−７,38.4414597,141.3151178
石巻立町郵便局,https://map.japanpost.jp/p/search/dtl/300181138000/?&cond2=1&cond200=1&&his=sa2,986-0824 宮城県石巻市立町２−６−５,38.4325769,141.3041019
石巻中央一郵便局,https://map.japanpost.jp/p/search/dtl/300181331000/?&cond2=1&cond200=1&&his=sa2,986-0822 宮城県石巻市中央１−９−７,38.4287939,141.3063264
石巻のぞみ野郵便局,https://map.japanpost.jp/p/search/dtl/300181238000/?&cond2=1&cond200=1&&his=sa2,986-0860 宮城県石巻市のぞみ野二丁目3-2,38.4482442,141.2621414
石巻双葉町郵便局,https://map.japanpost.jp/p/search/dtl/300181377000/?&cond2=1&cond200=1&&his=sa2,986-0874 宮城県石巻市双葉町１−３５,38.4294547,141.2913383
石巻湊郵便局,https://map.japanpost.jp/p/search/dtl/300181102000/?&cond2=1&cond200=1&&his=sa2,986-0016 宮城県石巻市八幡町1-8-11,38.4282061,141.3143806
石巻山下郵便局,https://map.japanpost.jp/p/search/dtl/300181339000/?&cond2=1&cond200=1&&his=sa2,986-0876 宮城県石巻市西山町５８−１,38.4346158,141.2945217
伊原津簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181768000/?&cond2=1&cond200=1&&his=sa2,986-0041 宮城県石巻市伊原津１−２−１,38.4197231,141.3334397
大原浜郵便局,https://map.japanpost.jp/p/search/dtl/300181056000/?&cond2=1&cond200=1&&his=sa2,986-2499 宮城県石巻市給分浜羽黒下20-1,38.3231681,141.4745336
雄勝郵便局,https://map.japanpost.jp/p/search/dtl/300181046000/?&cond2=1&cond200=1&&his=sa2,986-1333 宮城県石巻市雄勝町雄勝下雄勝１２−４２,38.5216131,141.4685889
樫崎郵便局,https://map.japanpost.jp/p/search/dtl/300181206000/?&cond2=1&cond200=1&&his=sa2,986-0304 宮城県石巻市桃生町樫崎高附２５−１６,38.5654778,141.2764944
河南郵便局,https://map.japanpost.jp/p/search/dtl/300181162000/?&cond2=1&cond200=1&&his=sa2,987-1101 宮城県石巻市前谷地黒沢前２５,38.5088244,141.1931994
鹿又郵便局,https://map.japanpost.jp/p/search/dtl/300181113000/?&cond2=1&cond200=1&&his=sa2,986-1111 宮城県石巻市鹿又新八幡前２４−３,38.4874981,141.2848458
河北郵便局,https://map.japanpost.jp/p/search/dtl/300181034000/?&cond2=1&cond200=1&&his=sa2,986-0199 宮城県石巻市相野谷五味前二番７−１,38.5164428,141.3205431
神取郵便局,https://map.japanpost.jp/p/search/dtl/300181083000/?&cond2=1&cond200=1&&his=sa2,986-0323 宮城県石巻市桃生町神取屋敷２８−１,38.5354003,141.2359983
北上郵便局,https://map.japanpost.jp/p/search/dtl/300181155000/?&cond2=1&cond200=1&&his=sa2,986-0201 宮城県石巻市北上町十三浜字小田９３−４,38.5673286,141.4259397
橋浦郵便局,https://map.japanpost.jp/p/search/dtl/300181185000/?&cond2=1&cond200=1&&his=sa2,986-0202 宮城県石巻市北上町橋浦大須３９−２,38.5467097,141.4060947
広淵郵便局,https://map.japanpost.jp/p/search/dtl/300181013000/?&cond2=1&cond200=1&&his=sa2,987-1222 宮城県石巻市広渕町１６５−１,38.4701094,141.2083564
蛇田郵便局,https://map.japanpost.jp/p/search/dtl/300181209000/?&cond2=1&cond200=1&&his=sa2,986-0865 宮城県石巻市丸井戸２−４−９,38.4459914,141.2792711
桃生郵便局,https://map.japanpost.jp/p/search/dtl/300181044000/?&cond2=1&cond200=1&&his=sa2,986-0399 宮城県石巻市桃生町中津山町８１−１,38.5665272,141.2480958
渡波郵便局,https://map.japanpost.jp/p/search/dtl/300181035000/?&cond2=1&cond200=1&&his=sa2,986-2199 宮城県石巻市渡波町１−８−１,38.4188944,141.3653683
和淵郵便局,https://map.japanpost.jp/p/search/dtl/300181118000/?&cond2=1&cond200=1&&his=sa2,987-1102 宮城県石巻市和渕字佐沼川１１,38.5250981,141.2262911
岩沼郵便局,https://map.japanpost.jp/p/search/dtl/300181022000/?&cond2=1&cond200=1&&his=sa2,989-2499 宮城県岩沼市桜３−５−３,38.1095125,140.8698456
岩沼相の原郵便局,https://map.japanpost.jp/p/search/dtl/300181345000/?&cond2=1&cond200=1&&his=sa2,989-2431 宮城県岩沼市相の原２−６−５,38.1180594,140.8731114
岩沼桑原郵便局,https://map.japanpost.jp/p/search/dtl/300181325000/?&cond2=1&cond200=1&&his=sa2,989-2445 宮城県岩沼市桑原１−９−８,38.1012106,140.8619989
岩沼土ケ崎郵便局,https://map.japanpost.jp/p/search/dtl/300181382000/?&cond2=1&cond200=1&&his=sa2,989-2451 宮城県岩沼市土ケ崎４−１２−３３,38.1124117,140.8543097
下野郷郵便局,https://map.japanpost.jp/p/search/dtl/300181246000/?&cond2=1&cond200=1&&his=sa2,989-2421 宮城県岩沼市下野郷北長沼４,38.1328383,140.9157089
玉浦西簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181756000/?&cond2=1&cond200=1&&his=sa2,989-2423 宮城県岩沼市玉浦西２−１−６,38.1075439,140.8952381
玉浦郵便局,https://map.japanpost.jp/p/search/dtl/300181187000/?&cond2=1&cond200=1&&his=sa2,989-2424 宮城県岩沼市早股小林３９５−７,38.1049383,140.9094053
吹上簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181759000/?&cond2=1&cond200=1&&his=sa2,989-2453 宮城県岩沼市大昭和４−１５,38.0903306,140.8571386
矢野目簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181757000/?&cond2=1&cond200=1&&his=sa2,989-2421 宮城県岩沼市下野郷舘外２４０,38.1247372,140.9040019
古川郵便局,https://map.japanpost.jp/p/search/dtl/300181005000/?&cond2=1&cond200=1&&his=sa2,989-6199 宮城県大崎市古川駅前大通５−３−３,38.5773136,140.9662247
荒谷郵便局,https://map.japanpost.jp/p/search/dtl/300181137000/?&cond2=1&cond200=1&&his=sa2,989-6252 宮城県大崎市古川荒谷本町２９,38.61314,140.9811097
池月郵便局,https://map.japanpost.jp/p/search/dtl/300181173000/?&cond2=1&cond200=1&&his=sa2,989-6405 宮城県大崎市岩出山池月下宮苗代目３１−７,38.7083128,140.8335917
岩出山郵便局,https://map.japanpost.jp/p/search/dtl/300181021000/?&cond2=1&cond200=1&&his=sa2,989-6499 宮城県大崎市岩出山東川原２４−６,38.6531314,140.8698944
鬼首郵便局,https://map.japanpost.jp/p/search/dtl/300181067000/?&cond2=1&cond200=1&&his=sa2,989-6999 宮城県大崎市鳴子温泉鬼首八幡原５,38.8015889,140.6505619
鹿島台郵便局,https://map.japanpost.jp/p/search/dtl/300181071000/?&cond2=1&cond200=1&&his=sa2,989-4199 宮城県大崎市鹿島台平渡上戸下２９−６,38.4770106,141.0973494
蕪栗簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181724000/?&cond2=1&cond200=1&&his=sa2,989-4301 宮城県大崎市田尻蕪栗林内４１,38.6200228,141.0971083
川渡郵便局,https://map.japanpost.jp/p/search/dtl/300181030000/?&cond2=1&cond200=1&&his=sa2,989-6799 宮城県大崎市鳴子温泉築沢１４−５,38.7310028,140.7650364
清滝郵便局,https://map.japanpost.jp/p/search/dtl/300181213000/?&cond2=1&cond200=1&&his=sa2,989-6241 宮城県大崎市古川清水沢長泥９−１１,38.6566878,140.9682328
三本木郵便局,https://map.japanpost.jp/p/search/dtl/300181049000/?&cond2=1&cond200=1&&his=sa2,989-6399 宮城県大崎市三本木善並田１５８−１,38.5338825,140.9455617
敷玉郵便局,https://map.japanpost.jp/p/search/dtl/300181191000/?&cond2=1&cond200=1&&his=sa2,989-6123 宮城県大崎市古川下中目経壇１８９−３,38.5373833,141.0042894
志田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181754000/?&cond2=1&cond200=1&&his=sa2,989-6136 宮城県大崎市古川穂波７−８−２７−１−A,38.5680022,140.9404881
田尻郵便局,https://map.japanpost.jp/p/search/dtl/300181178000/?&cond2=1&cond200=1&&his=sa2,989-4399 宮城県大崎市田尻沼部富岡浦６−１,38.5962197,141.0524533
中山平簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181802000/?&cond2=1&cond200=1&&his=sa2,989-6832 宮城県大崎市鳴子温泉星沼７９−３５,38.7268961,140.6675364
鳴子郵便局,https://map.japanpost.jp/p/search/dtl/300181052000/?&cond2=1&cond200=1&&his=sa2,989-6899 宮城県大崎市鳴子温泉新屋敷１２４−５,38.7438258,140.7176008
西古川駅前郵便局,https://map.japanpost.jp/p/search/dtl/300181166000/?&cond2=1&cond200=1&&his=sa2,989-6214 宮城県大崎市古川新堀旭町５７,38.5770822,140.8926733
東鳴子簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181733000/?&cond2=1&cond200=1&&his=sa2,989-6811 宮城県大崎市鳴子温泉赤湯１６−２,38.7466144,140.7356431
古川稲葉郵便局,https://map.japanpost.jp/p/search/dtl/300181368000/?&cond2=1&cond200=1&&his=sa2,989-6135 宮城県大崎市古川稲葉１−１−１,38.5601881,140.9535261
古川駅前郵便局,https://map.japanpost.jp/p/search/dtl/300181353000/?&cond2=1&cond200=1&&his=sa2,989-6162 宮城県大崎市古川駅前大通１−５−３５,38.5717747,140.9662303
古川千手寺町郵便局,https://map.japanpost.jp/p/search/dtl/300181308000/?&cond2=1&cond200=1&&his=sa2,989-6174 宮城県大崎市古川千手寺町２−４−７０,38.5791317,140.9572525
古川南町郵便局,https://map.japanpost.jp/p/search/dtl/300181133000/?&cond2=1&cond200=1&&his=sa2,989-6155 宮城県大崎市古川南町１−４−２２,38.5715772,140.9547975
松山郵便局,https://map.japanpost.jp/p/search/dtl/300181031000/?&cond2=1&cond200=1&&his=sa2,987-1304 宮城県大崎市松山千石広田７０−２,38.5125189,141.0629219
真山郵便局,https://map.japanpost.jp/p/search/dtl/300181186000/?&cond2=1&cond200=1&&his=sa2,989-6401 宮城県大崎市岩出山上真山外道３２−６,38.6959022,140.9289011
名生定簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181740000/?&cond2=1&cond200=1&&his=sa2,989-6712 宮城県大崎市鳴子温泉坂ノ上１３８,38.7353031,140.7800522
本田尻郵便局,https://map.japanpost.jp/p/search/dtl/300181032000/?&cond2=1&cond200=1&&his=sa2,989-4415 宮城県大崎市田尻町浦２２,38.60142,141.0224558
陸前大貫郵便局,https://map.japanpost.jp/p/search/dtl/300181240000/?&cond2=1&cond200=1&&his=sa2,989-4302 宮城県大崎市田尻大貫上長根１−４,38.6064533,141.1089614
出島簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181805000/?&cond2=1&cond200=1&&his=sa2,986-2211 宮城県牡鹿郡女川町出島出島１３７,38.4584728,141.51866
江島簡易郵便局,https://map.japanpost.jp/p/search/dtl/300181808000/?&cond2=1&cond200=1&&his=sa2,986-2212 宮城県牡鹿郡女川町江島江島６２,38.3992894,141.5941736
女川郵便局,https://map.japanpost.jp/p/search/dtl/300181081000/?&cond2=1&cond200=1&&his=sa2,986-2299 宮城県牡鹿郡女川町女川２−７−１,38.4459889,141.4448461
