0,1,2,Latitude,Longitude
上野原郵便局,https://map.japanpost.jp/p/search/dtl/300108010000/?&cond2=1&cond200=1&&his=sa2,409-0199 山梨県上野原市上野原１０７０,35.6245711,139.1195536
秋山郵便局,https://map.japanpost.jp/p/search/dtl/300108047000/?&cond2=1&cond200=1&&his=sa2,401-0201 山梨県上野原市秋山１１９１７,35.5737219,139.0325906
上野原羽佐間郵便局,https://map.japanpost.jp/p/search/dtl/300108196000/?&cond2=1&cond200=1&&his=sa2,409-0112 山梨県上野原市上野原３６５５,35.6313367,139.1099922
大鶴簡易郵便局,https://map.japanpost.jp/p/search/dtl/300108812000/?&cond2=1&cond200=1&&his=sa2,409-0132 山梨県上野原市鶴川１５９９-１,35.6361414,139.0935694
大目郵便局,https://map.japanpost.jp/p/search/dtl/300108118000/?&cond2=1&cond200=1&&his=sa2,409-0123 山梨県上野原市大野１３３２−２,35.6211164,139.0590922
西原郵便局,https://map.japanpost.jp/p/search/dtl/300108044000/?&cond2=1&cond200=1&&his=sa2,409-0141 山梨県上野原市西原３９８３−１,35.7043461,139.0205953
桜井簡易郵便局,https://map.japanpost.jp/p/search/dtl/300108843000/?&cond2=1&cond200=1&&his=sa2,401-0201 山梨県上野原市秋山２２９６,35.5806778,139.1195775
四方津郵便局,https://map.japanpost.jp/p/search/dtl/300108045000/?&cond2=1&cond200=1&&his=sa2,409-0121 山梨県上野原市四方津７４６−１,35.6142131,139.0864392
島田郵便局,https://map.japanpost.jp/p/search/dtl/300108144000/?&cond2=1&cond200=1&&his=sa2,409-0113 山梨県上野原市新田７３９−１,35.6187806,139.1179094
野田尻簡易郵便局,https://map.japanpost.jp/p/search/dtl/300108849000/?&cond2=1&cond200=1&&his=sa2,409-0125 山梨県上野原市野田尻５８３−２,35.6345878,139.0629161
日向海戸郵便局,https://map.japanpost.jp/p/search/dtl/300108137000/?&cond2=1&cond200=1&&his=sa2,401-0201 山梨県上野原市秋山７１３７−２,35.5700411,139.0786281
棡原郵便局,https://map.japanpost.jp/p/search/dtl/300108092000/?&cond2=1&cond200=1&&his=sa2,409-0111 山梨県上野原市棡原２３３１,35.6721522,139.0897047
大月駒橋郵便局,https://map.japanpost.jp/p/search/dtl/300108180000/?&cond2=1&cond200=1&&his=sa2,401-0011 山梨県大月市駒橋３−４−２１,35.6123939,138.9616797
大月郵便局,https://map.japanpost.jp/p/search/dtl/300108059000/?&cond2=1&cond200=1&&his=sa2,401-8799 山梨県大月市御太刀１−１３−１,35.6141397,138.9457936
笹子郵便局,https://map.japanpost.jp/p/search/dtl/300108090000/?&cond2=1&cond200=1&&his=sa2,401-0024 山梨県大月市笹子町吉久保２７,35.6040656,138.8299728
猿橋伊良原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300108879000/?&cond2=1&cond200=1&&his=sa2,409-0613 山梨県大月市猿橋町伊良原１９７,35.6115231,138.9867022
猿橋郵便局,https://map.japanpost.jp/p/search/dtl/300108006000/?&cond2=1&cond200=1&&his=sa2,409-0617 山梨県大月市猿橋町殿上４２３−５,35.6141467,138.9702881
鳥沢郵便局,https://map.japanpost.jp/p/search/dtl/300108046000/?&cond2=1&cond200=1&&his=sa2,409-0502 山梨県大月市富浜町鳥沢３９５−２,35.6086622,139.0018006
七保郵便局,https://map.japanpost.jp/p/search/dtl/300108078000/?&cond2=1&cond200=1&&his=sa2,409-0623 山梨県大月市七保町葛野２３７０−１,35.6330856,138.9555533
賑岡簡易郵便局,https://map.japanpost.jp/p/search/dtl/300108809000/?&cond2=1&cond200=1&&his=sa2,401-0001 山梨県大月市賑岡町畑倉１１３１,35.62971,138.9468047
初狩郵便局,https://map.japanpost.jp/p/search/dtl/300108030000/?&cond2=1&cond200=1&&his=sa2,401-0022 山梨県大月市初狩町中初狩３０１−１,35.5955844,138.8787494
真木郵便局,https://map.japanpost.jp/p/search/dtl/300108128000/?&cond2=1&cond200=1&&his=sa2,401-0016 山梨県大月市大月町真木３５８３,35.6092981,138.9043453
梁川郵便局,https://map.japanpost.jp/p/search/dtl/300108162000/?&cond2=1&cond200=1&&his=sa2,409-0503 山梨県大月市梁川町綱の上１４４３,35.6026639,139.0426881
