0,1,2,Latitude,Longitude
海田郵便局,https://map.japanpost.jp/p/search/dtl/300151030000/?&cond2=1&cond200=1&&his=sa2,736-8799 広島県安芸郡海田町曙町１０−３４,34.3654594,132.5390858
海田大正町郵便局,https://map.japanpost.jp/p/search/dtl/300151513000/?&cond2=1&cond200=1&&his=sa2,736-0042 広島県安芸郡海田町南大正町４−２８,34.3668761,132.5335567
海田中店郵便局,https://map.japanpost.jp/p/search/dtl/300151585000/?&cond2=1&cond200=1&&his=sa2,736-0066 広島県安芸郡海田町中店９−３４,34.3726472,132.5350536
海田三迫郵便局,https://map.japanpost.jp/p/search/dtl/300151594000/?&cond2=1&cond200=1&&his=sa2,736-0014 広島県安芸郡海田町三迫１−３−４,34.3682625,132.5512039
東海田郵便局,https://map.japanpost.jp/p/search/dtl/300151435000/?&cond2=1&cond200=1&&his=sa2,736-0021 広島県安芸郡海田町成本１４−５,34.373775,132.5408883
熊野中溝簡易郵便局,https://map.japanpost.jp/p/search/dtl/300151820000/?&cond2=1&cond200=1&&his=sa2,731-4214 広島県安芸郡熊野町中溝４−７−１６,34.3385756,132.5823456
熊野西郵便局,https://map.japanpost.jp/p/search/dtl/300151574000/?&cond2=1&cond200=1&&his=sa2,731-4227 広島県安芸郡熊野町貴船９−１１,34.3292469,132.568495
熊野郵便局,https://map.japanpost.jp/p/search/dtl/300151096000/?&cond2=1&cond200=1&&his=sa2,731-4299 広島県安芸郡熊野町出来庭４−１−３４,34.3338253,132.5768297
小屋浦郵便局,https://map.japanpost.jp/p/search/dtl/300151427000/?&cond2=1&cond200=1&&his=sa2,731-4331 広島県安芸郡坂町小屋浦２−２９−１８,34.3029025,132.5083492
坂郵便局,https://map.japanpost.jp/p/search/dtl/300151149000/?&cond2=1&cond200=1&&his=sa2,731-4399 広島県安芸郡坂町横浜中央１−６−４５,34.3384872,132.5058908
安芸府中郵便局,https://map.japanpost.jp/p/search/dtl/300151560000/?&cond2=1&cond200=1&&his=sa2,735-8799 広島県安芸郡府中町浜田本町１−４４,34.3897922,132.5102886
