0,1,2,Latitude,Longitude
海部立田郵便局,https://map.japanpost.jp/p/search/dtl/300120044000/?&cond2=1&cond200=1&&his=sa2,496-0938 愛知県愛西市石田町宮東８１,35.1702314,136.6931919
永和郵便局,https://map.japanpost.jp/p/search/dtl/300121246000/?&cond2=1&cond200=1&&his=sa2,496-0923 愛知県愛西市鰯江町郷裏１０３,35.1300289,136.7626636
佐織勝幡郵便局,https://map.japanpost.jp/p/search/dtl/300121210000/?&cond2=1&cond200=1&&his=sa2,496-8001 愛知県愛西市勝幡町駅東１２０,35.1946592,136.7519681
佐屋郵便局,https://map.japanpost.jp/p/search/dtl/300121189000/?&cond2=1&cond200=1&&his=sa2,496-0902 愛知県愛西市須依町屋敷２２２−１,35.1505103,136.7158267
西川端郵便局,https://map.japanpost.jp/p/search/dtl/300121301000/?&cond2=1&cond200=1&&his=sa2,496-8019 愛知県愛西市西川端町久保目１４−１,35.2102361,136.7161186
八開郵便局,https://map.japanpost.jp/p/search/dtl/300121232000/?&cond2=1&cond200=1&&his=sa2,496-8047 愛知県愛西市立石町宮西４８,35.2164439,136.6910903
藤浪駅前郵便局,https://map.japanpost.jp/p/search/dtl/300121707000/?&cond2=1&cond200=1&&his=sa2,496-8011 愛知県愛西市諏訪町橋本３５８−１,35.1890322,136.7396139
東郷白鳥郵便局,https://map.japanpost.jp/p/search/dtl/300121761000/?&cond2=1&cond200=1&&his=sa2,470-0155 愛知県愛知郡東郷町白鳥３−９−５,35.1124011,137.0571247
春木郵便局,https://map.japanpost.jp/p/search/dtl/300121309000/?&cond2=1&cond200=1&&his=sa2,470-0162 愛知県愛知郡東郷町春木太子４５７２,35.0796883,137.0459022
和合郵便局,https://map.japanpost.jp/p/search/dtl/300121659000/?&cond2=1&cond200=1&&his=sa2,470-0162 愛知県愛知郡東郷町春木東岡ノ上１４５４,35.0959169,137.0512147
大治西条郵便局,https://map.japanpost.jp/p/search/dtl/300121739000/?&cond2=1&cond200=1&&his=sa2,490-1144 愛知県海部郡大治町西條苅屋橋３５,35.1833386,136.8178619
大治郵便局,https://map.japanpost.jp/p/search/dtl/300121353000/?&cond2=1&cond200=1&&his=sa2,490-1132 愛知県海部郡大治町北間島屋敷１４３−２,35.1737731,136.8278
蟹江郵便局,https://map.japanpost.jp/p/search/dtl/300121060000/?&cond2=1&cond200=1&&his=sa2,497-8799 愛知県海部郡蟹江町本町８−１７０,35.1337611,136.79449
蟹江須成郵便局,https://map.japanpost.jp/p/search/dtl/300121607000/?&cond2=1&cond200=1&&his=sa2,497-0031 愛知県海部郡蟹江町須成南五本田１９４９−１,35.1441131,136.7897642
蟹江富吉郵便局,https://map.japanpost.jp/p/search/dtl/300121740000/?&cond2=1&cond200=1&&his=sa2,497-0058 愛知県海部郡蟹江町富吉４−１２２,35.1223344,136.7698181
蟹江舟入郵便局,https://map.japanpost.jp/p/search/dtl/300121427000/?&cond2=1&cond200=1&&his=sa2,497-0048 愛知県海部郡蟹江町舟入３−５０２,35.1203928,136.7928742
飛島郵便局,https://map.japanpost.jp/p/search/dtl/300121273000/?&cond2=1&cond200=1&&his=sa2,490-1434 愛知県海部郡飛島村松之郷１−３４−２,35.0808,136.7865953
甚目寺郵便局,https://map.japanpost.jp/p/search/dtl/300121036000/?&cond2=1&cond200=1&&his=sa2,490-1199 愛知県あま市新居屋江ノ橋８３−３,35.2009778,136.8215983
七宝郵便局,https://map.japanpost.jp/p/search/dtl/300121178000/?&cond2=1&cond200=1&&his=sa2,497-0012 愛知県あま市七宝町下田堂中４−２,35.1721975,136.7922678
甚目寺西今宿郵便局,https://map.japanpost.jp/p/search/dtl/300121733000/?&cond2=1&cond200=1&&his=sa2,490-1104 愛知県あま市西今宿狐海道一−１８,35.1982417,136.8295917
甚目寺本郷郵便局,https://map.japanpost.jp/p/search/dtl/300120012000/?&cond2=1&cond200=1&&his=sa2,490-1116 愛知県あま市本郷柿ノ木７７,35.1869706,136.8293167
富塚郵便局,https://map.japanpost.jp/p/search/dtl/300121658000/?&cond2=1&cond200=1&&his=sa2,490-1202 愛知県あま市富塚先速２５−１,35.1998969,136.8048522
美和篠田郵便局,https://map.japanpost.jp/p/search/dtl/300121779000/?&cond2=1&cond200=1&&his=sa2,490-1211 愛知県あま市篠田森後９８,35.18531,136.7875428
美和郵便局,https://map.japanpost.jp/p/search/dtl/300121199000/?&cond2=1&cond200=1&&his=sa2,490-1299 愛知県あま市花正七反地３７−１,35.1995578,136.7848728
安城郵便局,https://map.japanpost.jp/p/search/dtl/300121076000/?&cond2=1&cond200=1&&his=sa2,446-8799 愛知県安城市桜町１６−３,34.9599775,137.0817783
