0,1,2,Latitude,Longitude
足立北郵便局,https://map.japanpost.jp/p/search/dtl/300100542000/?&cond2=1&cond200=1&&his=sa2,121-8799 東京都足立区竹の塚３−９−２０,35.7910219,139.8023667
足立西郵便局,https://map.japanpost.jp/p/search/dtl/300100814000/?&cond2=1&cond200=1&&his=sa2,123-8799 東京都足立区西新井本町４−４−３０,35.7723692,139.7806803
足立郵便局,https://map.japanpost.jp/p/search/dtl/300101011000/?&cond2=1&cond200=1&&his=sa2,120-8799 東京都足立区千住曙町４２−４,35.7434667,139.8113661
足立青井郵便局,https://map.japanpost.jp/p/search/dtl/300100465000/?&cond2=1&cond200=1&&his=sa2,121-0012 東京都足立区青井６−２２−１０,35.7777453,139.8137744
足立旭町郵便局,https://map.japanpost.jp/p/search/dtl/300101261000/?&cond2=1&cond200=1&&his=sa2,120-0026 東京都足立区千住旭町２７−１３,35.7492042,139.8090847
足立綾瀬郵便局,https://map.japanpost.jp/p/search/dtl/300100449000/?&cond2=1&cond200=1&&his=sa2,120-0005 東京都足立区綾瀬４−３１−１０,35.7685992,139.8243097
足立伊興二郵便局,https://map.japanpost.jp/p/search/dtl/300100726000/?&cond2=1&cond200=1&&his=sa2,121-0823 東京都足立区伊興２−１８−１,35.79372,139.7823353
足立一郵便局,https://map.japanpost.jp/p/search/dtl/300100025000/?&cond2=1&cond200=1&&his=sa2,120-0015 東京都足立区足立１−１１−１０,35.7643764,139.8040981
足立入谷郵便局,https://map.japanpost.jp/p/search/dtl/300100696000/?&cond2=1&cond200=1&&his=sa2,121-0836 東京都足立区入谷９−１５−１,35.8079914,139.7568264
足立梅島郵便局,https://map.japanpost.jp/p/search/dtl/300100212000/?&cond2=1&cond200=1&&his=sa2,121-0816 東京都足立区梅島２−２−１０,35.7761617,139.8030228
足立梅田郵便局,https://map.japanpost.jp/p/search/dtl/300101287000/?&cond2=1&cond200=1&&his=sa2,123-0851 東京都足立区梅田６−３２−１,35.7700125,139.7974592
足立大川町郵便局,https://map.japanpost.jp/p/search/dtl/300101322000/?&cond2=1&cond200=1&&his=sa2,120-0031 東京都足立区千住大川町２０−１３,35.7554914,139.7984458
足立大谷田団地内郵便局,https://map.japanpost.jp/p/search/dtl/300100650000/?&cond2=1&cond200=1&&his=sa2,120-0001 東京都足立区大谷田１−１−４,35.7784056,139.8445472
足立栗原北郵便局,https://map.japanpost.jp/p/search/dtl/300100819000/?&cond2=1&cond200=1&&his=sa2,123-0842 東京都足立区栗原２−１７−６,35.7848908,139.7889347
足立江北郵便局,https://map.japanpost.jp/p/search/dtl/300100793000/?&cond2=1&cond200=1&&his=sa2,123-0872 東京都足立区江北６−３０−２１,35.7828178,139.7696978
足立江北四郵便局,https://map.japanpost.jp/p/search/dtl/300100527000/?&cond2=1&cond200=1&&his=sa2,123-0872 東京都足立区江北４−２−４,35.7726356,139.7692203
足立古千谷郵便局,https://map.japanpost.jp/p/search/dtl/300100688000/?&cond2=1&cond200=1&&his=sa2,121-0832 東京都足立区古千谷本町２−２０−１２,35.8059375,139.7741739
足立佐野郵便局,https://map.japanpost.jp/p/search/dtl/300100763000/?&cond2=1&cond200=1&&his=sa2,121-0053 東京都足立区佐野２−１１−１２,35.7864794,139.8411136
足立三郵便局,https://map.japanpost.jp/p/search/dtl/300100398000/?&cond2=1&cond200=1&&his=sa2,120-0015 東京都足立区足立３−１８−１６,35.7620461,139.8109694
足立鹿浜八郵便局,https://map.japanpost.jp/p/search/dtl/300100682000/?&cond2=1&cond200=1&&his=sa2,123-0864 東京都足立区鹿浜８−１１−４,35.7880725,139.7621003
足立鹿浜郵便局,https://map.japanpost.jp/p/search/dtl/300100602000/?&cond2=1&cond200=1&&his=sa2,123-0864 東京都足立区鹿浜２−３４−１９,35.7836092,139.7511822
足立島根郵便局,https://map.japanpost.jp/p/search/dtl/300100448000/?&cond2=1&cond200=1&&his=sa2,121-0815 東京都足立区島根２−１９−１３,35.7822633,139.7978253
足立新田郵便局,https://map.japanpost.jp/p/search/dtl/300100348000/?&cond2=1&cond200=1&&his=sa2,123-0865 東京都足立区新田２−１２−８,35.7726264,139.7419475
足立関原郵便局,https://map.japanpost.jp/p/search/dtl/300100207000/?&cond2=1&cond200=1&&his=sa2,123-0852 東京都足立区関原２−３７−１６,35.7677678,139.7884797
