0,1,2,Latitude,Longitude
八重山郵便局,https://map.japanpost.jp/p/search/dtl/300170401000/?&cond2=1&cond200=1&&his=sa2,907-8799 沖縄県石垣市大川１２,24.3389239,124.1586764
石垣新栄郵便局,https://map.japanpost.jp/p/search/dtl/300170415000/?&cond2=1&cond200=1&&his=sa2,907-0024 沖縄県石垣市新川２４２５−６,24.3484442,124.1478842
石垣平真郵便局,https://map.japanpost.jp/p/search/dtl/300170416000/?&cond2=1&cond200=1&&his=sa2,907-0004 沖縄県石垣市登野城６３５−２,24.3378356,124.1718578
伊原間郵便局,https://map.japanpost.jp/p/search/dtl/300170414000/?&cond2=1&cond200=1&&his=sa2,907-0332 沖縄県石垣市伊原間２６−９,24.5082531,124.2821978
大浜郵便局,https://map.japanpost.jp/p/search/dtl/300170404000/?&cond2=1&cond200=1&&his=sa2,907-0001 沖縄県石垣市大浜７０,24.34419,124.1969531
川平郵便局,https://map.japanpost.jp/p/search/dtl/300170409000/?&cond2=1&cond200=1&&his=sa2,907-0453 沖縄県石垣市川平１０３３−７０,24.4588089,124.1403139
白保郵便局,https://map.japanpost.jp/p/search/dtl/300170412000/?&cond2=1&cond200=1&&his=sa2,907-0242 沖縄県石垣市白保６７,24.3542803,124.2404225
真喜良郵便局,https://map.japanpost.jp/p/search/dtl/300170418000/?&cond2=1&cond200=1&&his=sa2,907-0024 沖縄県石垣市新川２３２５−１６,24.3540911,124.1408167
糸満郵便局,https://map.japanpost.jp/p/search/dtl/300170008000/?&cond2=1&cond200=1&&his=sa2,901-0399 沖縄県糸満市真栄里２０１６,26.1222314,127.6700422
糸満新島郵便局,https://map.japanpost.jp/p/search/dtl/300170096000/?&cond2=1&cond200=1&&his=sa2,901-0361 沖縄県糸満市糸満１３６６,26.1293614,127.6725061
糸満西崎郵便局,https://map.japanpost.jp/p/search/dtl/300170126000/?&cond2=1&cond200=1&&his=sa2,901-0305 沖縄県糸満市西崎６−５−１,26.1422828,127.6700781
兼城郵便局,https://map.japanpost.jp/p/search/dtl/300170007000/?&cond2=1&cond200=1&&his=sa2,901-0313 沖縄県糸満市賀数２２４,26.146725,127.6923322
喜屋武郵便局,https://map.japanpost.jp/p/search/dtl/300170085000/?&cond2=1&cond200=1&&his=sa2,901-0354 沖縄県糸満市喜屋武４３０−４,26.0921344,127.6629569
米須簡易郵便局,https://map.japanpost.jp/p/search/dtl/300170712000/?&cond2=1&cond200=1&&his=sa2,901-0335 沖縄県糸満市米須２１１,26.0948211,127.6979819
潮平郵便局,https://map.japanpost.jp/p/search/dtl/300170161000/?&cond2=1&cond200=1&&his=sa2,901-0302 沖縄県糸満市潮平７７１−２,26.1497294,127.6723833
高嶺郵便局,https://map.japanpost.jp/p/search/dtl/300170060000/?&cond2=1&cond200=1&&his=sa2,901-0325 沖縄県糸満市大里２４７,26.1282458,127.6920294
三和郵便局,https://map.japanpost.jp/p/search/dtl/300170011000/?&cond2=1&cond200=1&&his=sa2,901-0336 沖縄県糸満市真壁４−１,26.1047806,127.6894356
浦添郵便局,https://map.japanpost.jp/p/search/dtl/300170022000/?&cond2=1&cond200=1&&his=sa2,901-2199 沖縄県浦添市仲間３−３−１,26.2450386,127.7269431
浦添伊祖郵便局,https://map.japanpost.jp/p/search/dtl/300170128000/?&cond2=1&cond200=1&&his=sa2,901-2132 沖縄県浦添市伊祖３−３−１５,26.2552175,127.7192933
浦添内間郵便局,https://map.japanpost.jp/p/search/dtl/300170110000/?&cond2=1&cond200=1&&his=sa2,901-2121 沖縄県浦添市内間２−１１−１９,26.2363525,127.7045506
浦添経塚郵便局,https://map.japanpost.jp/p/search/dtl/300170158000/?&cond2=1&cond200=1&&his=sa2,901-2111 沖縄県浦添市経塚６３４−３,26.2377633,127.7219189
浦添城間郵便局,https://map.japanpost.jp/p/search/dtl/300170101000/?&cond2=1&cond200=1&&his=sa2,901-2133 沖縄県浦添市城間３−６−９,26.2579253,127.7105358
浦添勢理客郵便局,https://map.japanpost.jp/p/search/dtl/300170097000/?&cond2=1&cond200=1&&his=sa2,901-2122 沖縄県浦添市勢理客２−１３−７,26.2437292,127.6943594
浦添西原郵便局,https://map.japanpost.jp/p/search/dtl/300170160000/?&cond2=1&cond200=1&&his=sa2,901-2101 沖縄県浦添市西原２−１−１,26.2558097,127.7400083
浦添パルコシティ郵便局,https://map.japanpost.jp/p/search/dtl/300170125000/?&cond2=1&cond200=1&&his=sa2,901-2123 沖縄県浦添市西洲３−１−１,26.2622383,127.6986253
浦添前田郵便局,https://map.japanpost.jp/p/search/dtl/300170141000/?&cond2=1&cond200=1&&his=sa2,901-2102 沖縄県浦添市前田４−７−２,26.2369089,127.7350183
浦添牧港郵便局,https://map.japanpost.jp/p/search/dtl/300170065000/?&cond2=1&cond200=1&&his=sa2,901-2131 沖縄県浦添市牧港１−１３−１２,26.2652028,127.7235347
浦添港川郵便局,https://map.japanpost.jp/p/search/dtl/300170154000/?&cond2=1&cond200=1&&his=sa2,901-2133 沖縄県浦添市城間４−４０−６,26.2613592,127.7172433
屋富祖郵便局,https://map.japanpost.jp/p/search/dtl/300170084000/?&cond2=1&cond200=1&&his=sa2,901-2127 沖縄県浦添市屋富祖２−３−１０,26.2486358,127.7104992
具志川郵便局,https://map.japanpost.jp/p/search/dtl/300170028000/?&cond2=1&cond200=1&&his=sa2,904-2299 沖縄県うるま市平良川９０−２,26.3689664,127.8517369
安慶名郵便局,https://map.japanpost.jp/p/search/dtl/300170136000/?&cond2=1&cond200=1&&his=sa2,904-2214 沖縄県うるま市安慶名1丁目4番16号,26.3738328,127.8560022
石川城前郵便局,https://map.japanpost.jp/p/search/dtl/300170144000/?&cond2=1&cond200=1&&his=sa2,904-1106 沖縄県うるま市石川１丁目１５番３０号,26.4313536,127.82432
石川東恩納郵便局,https://map.japanpost.jp/p/search/dtl/300170115000/?&cond2=1&cond200=1&&his=sa2,904-1111 沖縄県うるま市石川東恩納５９３,26.4138797,127.8236306
石川郵便局,https://map.japanpost.jp/p/search/dtl/300170031000/?&cond2=1&cond200=1&&his=sa2,904-1199 沖縄県うるま市石川東山本町１−１−２,26.4335344,127.8321481
上原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300170722000/?&cond2=1&cond200=1&&his=sa2,904-2424 沖縄県うるま市与那城上原１０９,26.3718553,127.9827436
江洲郵便局,https://map.japanpost.jp/p/search/dtl/300170165000/?&cond2=1&cond200=1&&his=sa2,904-2244 沖縄県うるま市江洲５２２-２２,26.3506061,127.8300008
勝連郵便局,https://map.japanpost.jp/p/search/dtl/300170068000/?&cond2=1&cond200=1&&his=sa2,904-2312 沖縄県うるま市勝連平安名２９２５−２,26.3162836,127.8967022
具志川川崎簡易郵便局,https://map.japanpost.jp/p/search/dtl/300170726000/?&cond2=1&cond200=1&&his=sa2,904-2203 沖縄県うるま市川崎９９−１（みねアパート１０１）,26.3826867,127.8458628
具志川豊原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300170723000/?&cond2=1&cond200=1&&his=sa2,904-2233 沖縄県うるま市豊原７４８−５,26.3492514,127.8508872
志林川郵便局,https://map.japanpost.jp/p/search/dtl/300170083000/?&cond2=1&cond200=1&&his=sa2,904-2242 沖縄県うるま市高江洲９７８−１,26.3571392,127.8376772
津堅簡易郵便局,https://map.japanpost.jp/p/search/dtl/300170704000/?&cond2=1&cond200=1&&his=sa2,904-2317 沖縄県うるま市勝連津堅１２２９,26.2471497,127.938195
天願簡易郵便局,https://map.japanpost.jp/p/search/dtl/300170715000/?&cond2=1&cond200=1&&his=sa2,904-2202 沖縄県うるま市天願１３５７−１,26.3865083,127.8585906
東具志川郵便局,https://map.japanpost.jp/p/search/dtl/300170089000/?&cond2=1&cond200=1&&his=sa2,904-2223 沖縄県うるま市具志川１３７,26.3560175,127.8697414
平安座郵便局,https://map.japanpost.jp/p/search/dtl/300170030000/?&cond2=1&cond200=1&&his=sa2,904-2426 沖縄県うるま市与那城平安座８１４６−９,26.3417886,127.9510411
与勝郵便局,https://map.japanpost.jp/p/search/dtl/300170029000/?&cond2=1&cond200=1&&his=sa2,904-2399 沖縄県うるま市勝連南風原４０６４,26.3346592,127.8832397
与那城郵便局,https://map.japanpost.jp/p/search/dtl/300170142000/?&cond2=1&cond200=1&&his=sa2,904-2304 沖縄県うるま市与那城屋慶名１０９３,26.3229164,127.9081258
沖縄美里郵便局,https://map.japanpost.jp/p/search/dtl/300170027000/?&cond2=1&cond200=1&&his=sa2,904-2199 沖縄県沖縄市東１−２５−８,26.3447208,127.8214797
沖縄郵便局,https://map.japanpost.jp/p/search/dtl/300170026000/?&cond2=1&cond200=1&&his=sa2,904-8799 沖縄県沖縄市胡屋４−２−１６,26.3318908,127.7992392
泡瀬郵便局,https://map.japanpost.jp/p/search/dtl/300170063000/?&cond2=1&cond200=1&&his=sa2,904-2171 沖縄県沖縄市高原５−３−１２,26.3236256,127.8262706
沖縄かりゆし郵便局,https://map.japanpost.jp/p/search/dtl/300170152000/?&cond2=1&cond200=1&&his=sa2,904-2142 沖縄県沖縄市登川１−２−７,26.3665742,127.8193542
沖縄高原郵便局,https://map.japanpost.jp/p/search/dtl/300170157000/?&cond2=1&cond200=1&&his=sa2,904-2171 沖縄県沖縄市高原７−２２−１,26.3178069,127.8242928
沖縄照屋郵便局,https://map.japanpost.jp/p/search/dtl/300170106000/?&cond2=1&cond200=1&&his=sa2,904-0011 沖縄県沖縄市照屋２−１７−５,26.3349244,127.8164381
沖縄パークアベニュー郵便局,https://map.japanpost.jp/p/search/dtl/300170127000/?&cond2=1&cond200=1&&his=sa2,904-0004 沖縄県沖縄市中央１−２０−１４,26.3379344,127.8010889
越来郵便局,https://map.japanpost.jp/p/search/dtl/300170124000/?&cond2=1&cond200=1&&his=sa2,904-2153 沖縄県沖縄市美里２−９−５,26.3444094,127.8136808
松本郵便局,https://map.japanpost.jp/p/search/dtl/300170164000/?&cond2=1&cond200=1&&his=sa2,904-2151 沖縄県沖縄市松本９６９−３,26.3524617,127.8202183
山里郵便局,https://map.japanpost.jp/p/search/dtl/300170074000/?&cond2=1&cond200=1&&his=sa2,904-0034 沖縄県沖縄市山内２−５−１,26.3205867,127.785885
