0,1,2,Latitude,Longitude
横関郵便局,https://map.japanpost.jp/p/search/dtl/300146069000/?&cond2=1&cond200=1&&his=sa2,522-0262 滋賀県犬上郡甲良町横関７４２−４,35.2024558,136.2647944
大滝郵便局,https://map.japanpost.jp/p/search/dtl/300146068000/?&cond2=1&cond200=1&&his=sa2,522-0324 滋賀県犬上郡多賀町川相２６４−１,35.1885967,136.3192175
多賀佐目簡易郵便局,https://map.japanpost.jp/p/search/dtl/300146735000/?&cond2=1&cond200=1&&his=sa2,522-0322 滋賀県犬上郡多賀町佐目６８１−１,35.2080197,136.3344244
多賀郵便局,https://map.japanpost.jp/p/search/dtl/300146035000/?&cond2=1&cond200=1&&his=sa2,522-0399 滋賀県犬上郡多賀町多賀１４４１−７,35.2262978,136.2856219
豊郷郵便局,https://map.japanpost.jp/p/search/dtl/300146058000/?&cond2=1&cond200=1&&his=sa2,529-1199 滋賀県犬上郡豊郷町石畑２０４−２,35.1999483,136.2308469
日枝郵便局,https://map.japanpost.jp/p/search/dtl/300146107000/?&cond2=1&cond200=1&&his=sa2,529-1166 滋賀県犬上郡豊郷町上枝２４０−２,35.1929822,136.2236275
愛知川郵便局,https://map.japanpost.jp/p/search/dtl/300146005000/?&cond2=1&cond200=1&&his=sa2,529-1399 滋賀県愛知郡愛荘町愛知川道場１３１１,35.1733017,136.2070572
秦荘目加田郵便局,https://map.japanpost.jp/p/search/dtl/300146079000/?&cond2=1&cond200=1&&his=sa2,529-1235 滋賀県愛知郡愛荘町目加田８１０−７,35.1870139,136.2377961
秦荘郵便局,https://map.japanpost.jp/p/search/dtl/300146055000/?&cond2=1&cond200=1&&his=sa2,529-1299 滋賀県愛知郡愛荘町蚊野鳥居本２３３７,35.1661083,136.2541175
近江八幡郵便局,https://map.japanpost.jp/p/search/dtl/300146004000/?&cond2=1&cond200=1&&his=sa2,523-8799 滋賀県近江八幡市中村町２７,35.1277642,136.0951267
安土老蘇郵便局,https://map.japanpost.jp/p/search/dtl/300146170000/?&cond2=1&cond200=1&&his=sa2,521-1332 滋賀県近江八幡市安土町東老蘇１３３４−２,35.1266706,136.1592536
安土郵便局,https://map.japanpost.jp/p/search/dtl/300146052000/?&cond2=1&cond200=1&&his=sa2,521-1311 滋賀県近江八幡市安土町下豊浦４７０８−１,35.1471806,136.1320969
近江八幡江頭郵便局,https://map.japanpost.jp/p/search/dtl/300146029000/?&cond2=1&cond200=1&&his=sa2,523-0061 滋賀県近江八幡市江頭町７５０,35.1168286,136.0577953
近江八幡沖島郵便局,https://map.japanpost.jp/p/search/dtl/300146158000/?&cond2=1&cond200=1&&his=sa2,523-0801 滋賀県近江八幡市沖島町２０２,35.2001994,136.0547914
近江八幡桐原郵便局,https://map.japanpost.jp/p/search/dtl/300146166000/?&cond2=1&cond200=1&&his=sa2,523-0046 滋賀県近江八幡市上野町１２６,35.1007731,136.0728922
近江八幡島郵便局,https://map.japanpost.jp/p/search/dtl/300146140000/?&cond2=1&cond200=1&&his=sa2,523-0087 滋賀県近江八幡市北津田町３２５−２,35.1675036,136.0827058
近江八幡鷹飼郵便局,https://map.japanpost.jp/p/search/dtl/300146099000/?&cond2=1&cond200=1&&his=sa2,523-0891 滋賀県近江八幡市鷹飼町６８５,35.1242453,136.1037567
近江八幡出町郵便局,https://map.japanpost.jp/p/search/dtl/300146221000/?&cond2=1&cond200=1&&his=sa2,523-0892 滋賀県近江八幡市出町６１５,35.1358742,136.0936269
近江八幡中小森郵便局,https://map.japanpost.jp/p/search/dtl/300146224000/?&cond2=1&cond200=1&&his=sa2,523-0041 滋賀県近江八幡市中小森町３０５−１４,35.1177903,136.0904936
近江八幡馬淵郵便局,https://map.japanpost.jp/p/search/dtl/300146043000/?&cond2=1&cond200=1&&his=sa2,523-0016 滋賀県近江八幡市千僧供町４５０−７,35.1040278,136.1136606
八幡池田郵便局,https://map.japanpost.jp/p/search/dtl/300146156000/?&cond2=1&cond200=1&&his=sa2,523-0877 滋賀県近江八幡市池田町３−２−１,35.1368067,136.0872686
武佐郵便局,https://map.japanpost.jp/p/search/dtl/300146020000/?&cond2=1&cond200=1&&his=sa2,523-0012 滋賀県近江八幡市武佐町７２０,35.1168436,136.1343369
大津中央郵便局,https://map.japanpost.jp/p/search/dtl/300146001000/?&cond2=1&cond200=1&&his=sa2,520-8799 滋賀県大津市打出浜１−４,35.0065556,135.8742444
堅田郵便局,https://map.japanpost.jp/p/search/dtl/300146015000/?&cond2=1&cond200=1&&his=sa2,520-0299 滋賀県大津市今堅田２−２１−２６,35.1236222,135.9204961
石山駅前郵便局,https://map.japanpost.jp/p/search/dtl/300146160000/?&cond2=1&cond200=1&&his=sa2,520-0832 滋賀県大津市粟津町１２−１５（ブレーン・ビル１階）,34.9792278,135.8996061
石山寺郵便局,https://map.japanpost.jp/p/search/dtl/300146084000/?&cond2=1&cond200=1&&his=sa2,520-0861 滋賀県大津市石山寺１−３−２４,34.9615222,135.9072975
石山別所郵便局,https://map.japanpost.jp/p/search/dtl/300146202000/?&cond2=1&cond200=1&&his=sa2,520-0861 滋賀県大津市石山寺３−２０−５,34.9541222,135.9047558
仰木郵便局,https://map.japanpost.jp/p/search/dtl/300146123000/?&cond2=1&cond200=1&&his=sa2,520-0247 滋賀県大津市仰木２−６−１,35.1076044,135.8811064
大津あかね郵便局,https://map.japanpost.jp/p/search/dtl/300146209000/?&cond2=1&cond200=1&&his=sa2,520-0003 滋賀県大津市あかね町１０−７,35.0428458,135.8640839
大津伊香立郵便局,https://map.japanpost.jp/p/search/dtl/300146045000/?&cond2=1&cond200=1&&his=sa2,520-0353 滋賀県大津市伊香立向在地町１０８−７,35.1336406,135.8886961
大津駅前郵便局,https://map.japanpost.jp/p/search/dtl/300146135000/?&cond2=1&cond200=1&&his=sa2,520-0057 滋賀県大津市御幸町４−３２,35.0047969,135.8635344
大津大石郵便局,https://map.japanpost.jp/p/search/dtl/300146179000/?&cond2=1&cond200=1&&his=sa2,520-2263 滋賀県大津市大石中１−６−１,34.9109186,135.9135311
大津仰木の里郵便局,https://map.japanpost.jp/p/search/dtl/300146227000/?&cond2=1&cond200=1&&his=sa2,520-0246 滋賀県大津市仰木の里７−１−２８,35.1094794,135.8940353
大津大平郵便局,https://map.japanpost.jp/p/search/dtl/300146215000/?&cond2=1&cond200=1&&his=sa2,520-0867 滋賀県大津市大平２−１５−１,34.9524394,135.8949103
大津雄琴郵便局,https://map.japanpost.jp/p/search/dtl/300146190000/?&cond2=1&cond200=1&&his=sa2,520-0101 滋賀県大津市雄琴１−１７−２１,35.0896956,135.8948383
大津上田上郵便局,https://map.japanpost.jp/p/search/dtl/300146117000/?&cond2=1&cond200=1&&his=sa2,520-2113 滋賀県大津市平野１−１７−１７,34.960165,135.9590983
大津唐崎郵便局,https://map.japanpost.jp/p/search/dtl/300146194000/?&cond2=1&cond200=1&&his=sa2,520-0106 滋賀県大津市唐崎３−３−２０,35.0485586,135.8642756
大津観音寺郵便局,https://map.japanpost.jp/p/search/dtl/300146174000/?&cond2=1&cond200=1&&his=sa2,520-0032 滋賀県大津市観音寺７−１,35.0142267,135.859415
大津京町郵便局,https://map.japanpost.jp/p/search/dtl/300146010000/?&cond2=1&cond200=1&&his=sa2,520-0044 滋賀県大津市京町１−１−２３,35.0064414,135.8617678
大津向陽郵便局,https://map.japanpost.jp/p/search/dtl/300146217000/?&cond2=1&cond200=1&&his=sa2,520-0224 滋賀県大津市向陽町１８−１,35.1378539,135.9148042
大津小金塚簡易郵便局,https://map.japanpost.jp/p/search/dtl/300146730000/?&cond2=1&cond200=1&&his=sa2,520-0067 滋賀県大津市藤尾奥町２７−１５−２,34.9997525,135.8338156
大津国分簡易郵便局,https://map.japanpost.jp/p/search/dtl/300146720000/?&cond2=1&cond200=1&&his=sa2,520-0844 滋賀県大津市国分１−１７−２２,34.9681153,135.8940294
大津栄町郵便局,https://map.japanpost.jp/p/search/dtl/300146128000/?&cond2=1&cond200=1&&his=sa2,520-0855 滋賀県大津市栄町２２−１１,34.9754258,135.9017892
大津坂本本町郵便局,https://map.japanpost.jp/p/search/dtl/300146211000/?&cond2=1&cond200=1&&his=sa2,520-0113 滋賀県大津市坂本６−３−４０,35.0724281,135.8721378
大津下阪本郵便局,https://map.japanpost.jp/p/search/dtl/300146177000/?&cond2=1&cond200=1&&his=sa2,520-0105 滋賀県大津市下阪本３−１６−１９,35.0628903,135.8746125
大津市役所内郵便局,https://map.japanpost.jp/p/search/dtl/300146197000/?&cond2=1&cond200=1&&his=sa2,520-0037 滋賀県大津市御陵町３−１,35.0181067,135.8545525
大津神領郵便局,https://map.japanpost.jp/p/search/dtl/300146207000/?&cond2=1&cond200=1&&his=sa2,520-2131 滋賀県大津市三大寺４−１８,34.9749569,135.9162989
大津瀬田橋本郵便局,https://map.japanpost.jp/p/search/dtl/300146213000/?&cond2=1&cond200=1&&his=sa2,520-2134 滋賀県大津市瀬田２−３−２９,34.9720203,135.9088892
大津瀬田郵便局,https://map.japanpost.jp/p/search/dtl/300146163000/?&cond2=1&cond200=1&&his=sa2,520-2153 滋賀県大津市一里山３−３４−１４,34.9823258,135.9337644
大津千町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300146731000/?&cond2=1&cond200=1&&his=sa2,520-0863 滋賀県大津市千町３−７１８−４,34.9441014,135.8973825
大津膳所駅前郵便局,https://map.japanpost.jp/p/search/dtl/300146154000/?&cond2=1&cond200=1&&his=sa2,520-0802 滋賀県大津市馬場２−１０−１９,34.9994672,135.8818389
大津膳所本町郵便局,https://map.japanpost.jp/p/search/dtl/300146044000/?&cond2=1&cond200=1&&his=sa2,520-0813 滋賀県大津市丸の内町３−３２,34.9952156,135.89211
