0,1,2,Latitude,Longitude
芦原郵便局,https://map.japanpost.jp/p/search/dtl/300133048000/?&cond2=1&cond200=1&&his=sa2,910-4199 福井県あわら市二面４−５０２,36.2244947,136.198475
伊井簡易郵便局,https://map.japanpost.jp/p/search/dtl/300133730000/?&cond2=1&cond200=1&&his=sa2,919-0614 福井県あわら市伊井１５−４−１,36.19674,136.2435022
柿原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300133725000/?&cond2=1&cond200=1&&his=sa2,919-0812 福井県あわら市柿原第４０−５,36.2357531,136.2369872
金津郵便局,https://map.japanpost.jp/p/search/dtl/300133004000/?&cond2=1&cond200=1&&his=sa2,919-0699 福井県あわら市市姫３−２２−１,36.2091889,136.2275867
北潟郵便局,https://map.japanpost.jp/p/search/dtl/300133095000/?&cond2=1&cond200=1&&his=sa2,910-4299 福井県あわら市北潟４１−２,36.2607056,136.2216181
坪江郵便局,https://map.japanpost.jp/p/search/dtl/300133054000/?&cond2=1&cond200=1&&his=sa2,919-0799 福井県あわら市中川１６−３,36.1968794,136.2714667
細呂木郵便局,https://map.japanpost.jp/p/search/dtl/300133110000/?&cond2=1&cond200=1&&his=sa2,919-0899 福井県あわら市滝６−２０−１,36.2432942,136.2581272
本荘郵便局,https://map.japanpost.jp/p/search/dtl/300133128000/?&cond2=1&cond200=1&&his=sa2,910-4137 福井県あわら市中番１１西町出３−５,36.2050078,136.1973281
吉崎郵便局,https://map.japanpost.jp/p/search/dtl/300133025000/?&cond2=1&cond200=1&&his=sa2,922-0679 福井県あわら市吉崎１−８０８,36.2893383,136.2521211
池田郵便局,https://map.japanpost.jp/p/search/dtl/300133088000/?&cond2=1&cond200=1&&his=sa2,910-2599 福井県今立郡池田町稲荷２８−７,35.8891192,136.3449036
角間郵便局,https://map.japanpost.jp/p/search/dtl/300133066000/?&cond2=1&cond200=1&&his=sa2,910-2535 福井県今立郡池田町菅生２６−１０−４,35.8575992,136.3070183
武生郵便局,https://map.japanpost.jp/p/search/dtl/300133083000/?&cond2=1&cond200=1&&his=sa2,915-8799 福井県越前市中央１−１０−３０,35.9014486,136.1579947
今立郵便局,https://map.japanpost.jp/p/search/dtl/300133002000/?&cond2=1&cond200=1&&his=sa2,915-0242 福井県越前市粟田部町２７−４１−１,35.9158708,136.2379536
王子保郵便局,https://map.japanpost.jp/p/search/dtl/300133122000/?&cond2=1&cond200=1&&his=sa2,915-0861 福井県越前市今宿町３−１３−５,35.8666614,136.1697028
大虫郵便局,https://map.japanpost.jp/p/search/dtl/300133137000/?&cond2=1&cond200=1&&his=sa2,915-0885 福井県越前市大虫町１４−４２−１,35.9015983,136.1350764
岡本郵便局,https://map.japanpost.jp/p/search/dtl/300133059000/?&cond2=1&cond200=1&&his=sa2,915-0233 福井県越前市岩本町１０−１５,35.9093831,136.2466844
北新庄郵便局,https://map.japanpost.jp/p/search/dtl/300133148000/?&cond2=1&cond200=1&&his=sa2,915-0004 福井県越前市北町４５−６１−５,35.9115228,136.2076997
五分市郵便局,https://map.japanpost.jp/p/search/dtl/300133091000/?&cond2=1&cond200=1&&his=sa2,915-0025 福井県越前市味真野町７−７−２４,35.8881297,136.2268878
芝原郵便局,https://map.japanpost.jp/p/search/dtl/300133215000/?&cond2=1&cond200=1&&his=sa2,915-0805 福井県越前市芝原５−１−１,35.9205733,136.1614928
白山郵便局,https://map.japanpost.jp/p/search/dtl/300133047000/?&cond2=1&cond200=1&&his=sa2,915-1211 福井県越前市堀町１５−１４−１,35.8833364,136.0526861
武生大山郵便局,https://map.japanpost.jp/p/search/dtl/300133075000/?&cond2=1&cond200=1&&his=sa2,915-0066 福井県越前市神明町３−１８,35.8979156,136.1669822
武生桂郵便局,https://map.japanpost.jp/p/search/dtl/300133073000/?&cond2=1&cond200=1&&his=sa2,915-0076 福井県越前市国府２−５−８,35.9067036,136.1662542
武生国高郵便局,https://map.japanpost.jp/p/search/dtl/300133184000/?&cond2=1&cond200=1&&his=sa2,915-0084 福井県越前市村国１−５−１８,35.9059956,136.1798528
武生塚町郵便局,https://map.japanpost.jp/p/search/dtl/300133027000/?&cond2=1&cond200=1&&his=sa2,915-0092 福井県越前市塚町１０４,35.9170725,136.1923233
武生月見郵便局,https://map.japanpost.jp/p/search/dtl/300133227000/?&cond2=1&cond200=1&&his=sa2,915-0852 福井県越前市松森町１５−８−２,35.8797011,136.1613439
武生常久町郵便局,https://map.japanpost.jp/p/search/dtl/300133211000/?&cond2=1&cond200=1&&his=sa2,915-0825 福井県越前市南１−１４−２０,35.8890194,136.1638714
武生天王郵便局,https://map.japanpost.jp/p/search/dtl/300133208000/?&cond2=1&cond200=1&&his=sa2,915-0068 福井県越前市天王町２−３１,35.9012211,136.1675933
