0,1,2,Latitude,Longitude
栗田郵便局,https://map.japanpost.jp/p/search/dtl/300174460000/?&cond2=1&cond200=1&&his=sa2,838-0801 福岡県朝倉郡筑前町栗田１５９８−１,33.4486058,130.6295706
四三島簡易郵便局,https://map.japanpost.jp/p/search/dtl/300174815000/?&cond2=1&cond200=1&&his=sa2,838-0212 福岡県朝倉郡筑前町四三嶋１６３３−１,33.4310872,130.5856594
中牟田郵便局,https://map.japanpost.jp/p/search/dtl/300174483000/?&cond2=1&cond200=1&&his=sa2,838-0226 福岡県朝倉郡筑前町中牟田５３３−１,33.4641367,130.57779
三並郵便局,https://map.japanpost.jp/p/search/dtl/300174339000/?&cond2=1&cond200=1&&his=sa2,838-0205 福岡県朝倉郡筑前町三並１３３７−３,33.4711031,130.6176375
三輪郵便局,https://map.japanpost.jp/p/search/dtl/300174191000/?&cond2=1&cond200=1&&his=sa2,838-0816 福岡県朝倉郡筑前町新町１６９,33.4341886,130.6396228
夜須郵便局,https://map.japanpost.jp/p/search/dtl/300174166000/?&cond2=1&cond200=1&&his=sa2,838-0299 福岡県朝倉郡筑前町東小田３３０５,33.4526911,130.5937453
小石原郵便局,https://map.japanpost.jp/p/search/dtl/300174099000/?&cond2=1&cond200=1&&his=sa2,838-1601 福岡県朝倉郡東峰村小石原５８１,33.4686033,130.8238333
宝珠山郵便局,https://map.japanpost.jp/p/search/dtl/300174278000/?&cond2=1&cond200=1&&his=sa2,838-1701 福岡県朝倉郡東峰村宝珠山６３１５−１,33.3974303,130.8704014
甘木郵便局,https://map.japanpost.jp/p/search/dtl/300174015000/?&cond2=1&cond200=1&&his=sa2,838-8799 福岡県朝倉市甘木９４８,33.4224703,130.6593164
秋月郵便局,https://map.japanpost.jp/p/search/dtl/300174029000/?&cond2=1&cond200=1&&his=sa2,838-0001 福岡県朝倉市秋月６７１−２,33.4696808,130.6910314
朝倉郵便局,https://map.japanpost.jp/p/search/dtl/300174074000/?&cond2=1&cond200=1&&his=sa2,838-1399 福岡県朝倉市須川２５２１−３,33.3846594,130.7290456
甘木駅前郵便局,https://map.japanpost.jp/p/search/dtl/300174464000/?&cond2=1&cond200=1&&his=sa2,838-0068 福岡県朝倉市甘木１１６９−１２,33.4180519,130.6577994
甘木神田町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300174829000/?&cond2=1&cond200=1&&his=sa2,838-0068 福岡県朝倉市甘木２３９９−２,33.4247147,130.6489469
甘木東町郵便局,https://map.japanpost.jp/p/search/dtl/300174364000/?&cond2=1&cond200=1&&his=sa2,838-0068 福岡県朝倉市甘木１−１４,33.4181686,130.6634264
志波郵便局,https://map.japanpost.jp/p/search/dtl/300174106000/?&cond2=1&cond200=1&&his=sa2,838-1521 福岡県朝倉市杷木志波４７７０,33.3665508,130.774765
立石郵便局,https://map.japanpost.jp/p/search/dtl/300174410000/?&cond2=1&cond200=1&&his=sa2,838-0065 福岡県朝倉市一木９６−２,33.4058639,130.6642208
大福郵便局,https://map.japanpost.jp/p/search/dtl/300174344000/?&cond2=1&cond200=1&&his=sa2,838-1316 福岡県朝倉市大庭３６７２−７,33.3793442,130.7017417
杷木郵便局,https://map.japanpost.jp/p/search/dtl/300174058000/?&cond2=1&cond200=1&&his=sa2,838-1599 福岡県朝倉市杷木池田５４２−１,33.3620994,130.8132378
