0,1,2,Latitude,Longitude
草津栗生郵便局,https://map.japanpost.jp/p/search/dtl/300104226000/?&cond2=1&cond200=1&&his=sa2,377-1711 群馬県吾妻郡草津町草津乙６５０,36.6182686,138.6270436
草津郵便局,https://map.japanpost.jp/p/search/dtl/300104022000/?&cond2=1&cond200=1&&his=sa2,377-1799 群馬県吾妻郡草津町草津２１−２,36.6199142,138.5967086
高山郵便局,https://map.japanpost.jp/p/search/dtl/300104069000/?&cond2=1&cond200=1&&his=sa2,377-0799 群馬県吾妻郡高山村中山１０３−４,36.6286486,138.9568622
中山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300104812000/?&cond2=1&cond200=1&&his=sa2,377-0702 群馬県吾妻郡高山村中山３３７４,36.6216178,138.9421672
大笹郵便局,https://map.japanpost.jp/p/search/dtl/300104056000/?&cond2=1&cond200=1&&his=sa2,377-1699 群馬県吾妻郡嬬恋村大笹３９６−４,36.5050489,138.5083978
田代郵便局,https://map.japanpost.jp/p/search/dtl/300104173000/?&cond2=1&cond200=1&&his=sa2,377-1614 群馬県吾妻郡嬬恋村田代甲４９２,36.4884522,138.4514361
干俣簡易郵便局,https://map.japanpost.jp/p/search/dtl/300104843000/?&cond2=1&cond200=1&&his=sa2,377-1611 群馬県吾妻郡嬬恋村干俣１６３９−１,36.5323528,138.5015517
三原郵便局,https://map.japanpost.jp/p/search/dtl/300104067000/?&cond2=1&cond200=1&&his=sa2,377-1599 群馬県吾妻郡嬬恋村三原４０１,36.5334139,138.550195
中之条郵便局,https://map.japanpost.jp/p/search/dtl/300104013000/?&cond2=1&cond200=1&&his=sa2,377-0499 群馬県吾妻郡中之条町中之条町２０７５−３,36.5920153,138.8448267
伊参簡易郵便局,https://map.japanpost.jp/p/search/dtl/300104806000/?&cond2=1&cond200=1&&his=sa2,377-0432 群馬県吾妻郡中之条町五反田３５３４−２２,36.6217017,138.8355647
入山郵便局,https://map.japanpost.jp/p/search/dtl/300104180000/?&cond2=1&cond200=1&&his=sa2,377-1701 群馬県吾妻郡中之条町入山１５３０,36.6472875,138.6489381
六合郵便局,https://map.japanpost.jp/p/search/dtl/300104126000/?&cond2=1&cond200=1&&his=sa2,377-1704 群馬県吾妻郡中之条町小雨６７１−１,36.5954644,138.6272533
沢渡郵便局,https://map.japanpost.jp/p/search/dtl/300104052000/?&cond2=1&cond200=1&&his=sa2,377-0599 群馬県吾妻郡中之条町上沢渡２３２８,36.6233175,138.7640739
四万郵便局,https://map.japanpost.jp/p/search/dtl/300104051000/?&cond2=1&cond200=1&&his=sa2,377-0601 群馬県吾妻郡中之条町四万３８３１−１,36.6754903,138.7841525
下沢渡簡易郵便局,https://map.japanpost.jp/p/search/dtl/300104834000/?&cond2=1&cond200=1&&his=sa2,377-0542 群馬県吾妻郡中之条町下沢渡１１２５−１,36.6125644,138.7846844
中之条名久田郵便局,https://map.japanpost.jp/p/search/dtl/300104107000/?&cond2=1&cond200=1&&his=sa2,377-0417 群馬県吾妻郡中之条町赤坂２０７−１,36.6091189,138.8747469
