0,1,2,Latitude,Longitude
豊科郵便局,https://map.japanpost.jp/p/search/dtl/300111020000/?&cond2=1&cond200=1&&his=sa2,399-8299 長野県安曇野市豊科５７０８−２,36.3015164,137.9057278
穂高郵便局,https://map.japanpost.jp/p/search/dtl/300111040000/?&cond2=1&cond200=1&&his=sa2,399-8399 長野県安曇野市穂高５６１７−１,36.3441675,137.8827311
明科郵便局,https://map.japanpost.jp/p/search/dtl/300111130000/?&cond2=1&cond200=1&&his=sa2,399-7102 長野県安曇野市明科中川手３５２３,36.3525906,137.9279825
有明郵便局,https://map.japanpost.jp/p/search/dtl/300111259000/?&cond2=1&cond200=1&&his=sa2,399-8301 長野県安曇野市穂高有明１７１６−１８,36.3615119,137.8565994
小倉郵便局,https://map.japanpost.jp/p/search/dtl/300111342000/?&cond2=1&cond200=1&&his=sa2,399-8103 長野県安曇野市三郷小倉３４８２,36.2582597,137.8478564
烏川郵便局,https://map.japanpost.jp/p/search/dtl/300111404000/?&cond2=1&cond200=1&&his=sa2,399-8211 長野県安曇野市堀金烏川１７３１−３,36.3077256,137.8593581
北穂高郵便局,https://map.japanpost.jp/p/search/dtl/300111274000/?&cond2=1&cond200=1&&his=sa2,399-8302 長野県安曇野市穂高北穂高２７９１−１,36.3641756,137.8770472
木戸簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111848000/?&cond2=1&cond200=1&&his=sa2,399-7101 長野県安曇野市明科東川手１３３６０,36.3675231,137.9312275
高家郵便局,https://map.japanpost.jp/p/search/dtl/300111182000/?&cond2=1&cond200=1&&his=sa2,399-8204 長野県安曇野市豊科高家５１３０−３,36.2547608,137.9174333
田沢郵便局,https://map.japanpost.jp/p/search/dtl/300111293000/?&cond2=1&cond200=1&&his=sa2,399-8203 長野県安曇野市豊科田沢５１２７−５,36.3012933,137.9406769
立石簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111856000/?&cond2=1&cond200=1&&his=sa2,399-8205 長野県安曇野市豊科４７８,36.2704339,137.9091336
中萱簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111721000/?&cond2=1&cond200=1&&his=sa2,399-8101 長野県安曇野市三郷明盛３０５３−１,36.274595,137.8982336
中川手簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111607000/?&cond2=1&cond200=1&&his=sa2,399-7102 長野県安曇野市明科中川手１２４−１,36.3348728,137.9257519
中堀簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111712000/?&cond2=1&cond200=1&&his=sa2,399-8211 長野県安曇野市堀金烏川３６４８−１,36.2906094,137.8880367
楡郵便局,https://map.japanpost.jp/p/search/dtl/300111228000/?&cond2=1&cond200=1&&his=sa2,399-8102 長野県安曇野市三郷温５７６９,36.2719889,137.8811628
柏矢郵便局,https://map.japanpost.jp/p/search/dtl/300111149000/?&cond2=1&cond200=1&&his=sa2,399-8303 長野県安曇野市穂高５９４−４,36.3216781,137.8923411
東川手簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111759000/?&cond2=1&cond200=1&&his=sa2,399-7101 長野県安曇野市明科東川手１１６４９,36.3753878,137.9554317
踏入簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111739000/?&cond2=1&cond200=1&&his=sa2,399-8201 長野県安曇野市豊科南穂高２５７６,36.3096836,137.9136897
穂高神田町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111727000/?&cond2=1&cond200=1&&his=sa2,399-8303 長野県安曇野市穂高６７０３,36.3354936,137.8886606
三郷郵便局,https://map.japanpost.jp/p/search/dtl/300111140000/?&cond2=1&cond200=1&&his=sa2,399-8101 長野県安曇野市三郷明盛１５９８−７,36.2593244,137.9000508
三田郵便局,https://map.japanpost.jp/p/search/dtl/300111260000/?&cond2=1&cond200=1&&his=sa2,399-8211 長野県安曇野市堀金烏川２５７５−１,36.2929947,137.8715606
温郵便局,https://map.japanpost.jp/p/search/dtl/300111141000/?&cond2=1&cond200=1&&his=sa2,399-8102 長野県安曇野市三郷温３４７,36.2435894,137.8802864
吉野簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111888000/?&cond2=1&cond200=1&&his=sa2,399-8205 長野県安曇野市豊科４０１０−３,36.2925325,137.9122544
陸郷簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111819000/?&cond2=1&cond200=1&&his=sa2,399-7105 長野県安曇野市明科南陸郷１００１,36.3841972,137.9245931
飯田郵便局,https://map.japanpost.jp/p/search/dtl/300111004000/?&cond2=1&cond200=1&&his=sa2,395-8799 長野県飯田市鈴加町１−７,35.5202908,137.8251886
上溝簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111629000/?&cond2=1&cond200=1&&his=sa2,395-0811 長野県飯田市松尾上溝３１２６−２,35.5049828,137.8511833
飯田大門郵便局,https://map.japanpost.jp/p/search/dtl/300111412000/?&cond2=1&cond200=1&&his=sa2,395-0011 長野県飯田市大門町２,35.5223103,137.8289331
飯田知久町郵便局,https://map.japanpost.jp/p/search/dtl/300111210000/?&cond2=1&cond200=1&&his=sa2,395-0045 長野県飯田市知久町２−１３,35.5151475,137.8236528
飯田馬場郵便局,https://map.japanpost.jp/p/search/dtl/300111144000/?&cond2=1&cond200=1&&his=sa2,395-0027 長野県飯田市馬場町１−３,35.5159308,137.8283
飯田風越郵便局,https://map.japanpost.jp/p/search/dtl/300111111000/?&cond2=1&cond200=1&&his=sa2,395-0077 長野県飯田市丸山町２−１−８,35.5210878,137.8102953
伊賀良郵便局,https://map.japanpost.jp/p/search/dtl/300111178000/?&cond2=1&cond200=1&&his=sa2,395-0157 長野県飯田市大瀬木３９９１−２,35.4922967,137.7857142
尾林簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111612000/?&cond2=1&cond200=1&&his=sa2,399-2221 長野県飯田市龍江８５９６−１６,35.4308242,137.8472353
鼎郵便局,https://map.japanpost.jp/p/search/dtl/300111220000/?&cond2=1&cond200=1&&his=sa2,395-0802 長野県飯田市鼎下茶屋２１２５−６,35.5096594,137.8284839
上郷郵便局,https://map.japanpost.jp/p/search/dtl/300111197000/?&cond2=1&cond200=1&&his=sa2,395-0002 長野県飯田市上郷飯沼１８１２−１,35.5216219,137.8494778
上久堅郵便局,https://map.japanpost.jp/p/search/dtl/300111258000/?&cond2=1&cond200=1&&his=sa2,399-2611 長野県飯田市上久堅４０７９−１,35.4594969,137.8820008
上村郵便局,https://map.japanpost.jp/p/search/dtl/300111110000/?&cond2=1&cond200=1&&his=sa2,399-1403 長野県飯田市上村６０５−５,35.3886214,137.9696431
川路中平簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111634000/?&cond2=1&cond200=1&&his=sa2,399-2431 長野県飯田市川路７５６８−１,35.4510394,137.8134467
木沢簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111724000/?&cond2=1&cond200=1&&his=sa2,399-1401 長野県飯田市南信濃木沢７７２−１,35.3469372,137.9527506
切石郵便局,https://map.japanpost.jp/p/search/dtl/300111429000/?&cond2=1&cond200=1&&his=sa2,395-0807 長野県飯田市鼎切石４３００−１８,35.5122161,137.8081417
黒田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300111618000/?&cond2=1&cond200=1&&his=sa2,395-0004 長野県飯田市上郷黒田１４０７−１,35.5294147,137.8328353
座光寺郵便局,https://map.japanpost.jp/p/search/dtl/300111264000/?&cond2=1&cond200=1&&his=sa2,395-0001 長野県飯田市座光寺３７５５−１,35.5304369,137.8578908
下久堅郵便局,https://map.japanpost.jp/p/search/dtl/300111095000/?&cond2=1&cond200=1&&his=sa2,399-2603 長野県飯田市下久堅知久平９１,35.4747414,137.8509414
