0,1,2,Latitude,Longitude
青森中央郵便局,https://map.japanpost.jp/p/search/dtl/300184001000/?&cond2=1&cond200=1&&his=sa2,030-8799 青森県青森市堤町１−７−２４,40.8245031,140.7579475
青森西郵便局,https://map.japanpost.jp/p/search/dtl/300184283000/?&cond2=1&cond200=1&&his=sa2,038-8799 青森県青森市石江岡部４８−１,40.8285156,140.7062528
青森青柳郵便局,https://map.japanpost.jp/p/search/dtl/300184199000/?&cond2=1&cond200=1&&his=sa2,030-0811 青森県青森市青柳１−６−３,40.8281522,140.7564583
青森駅前郵便局,https://map.japanpost.jp/p/search/dtl/300184289000/?&cond2=1&cond200=1&&his=sa2,030-0801 青森県青森市新町１−８−１,40.8273869,140.7366544
青森大野郵便局,https://map.japanpost.jp/p/search/dtl/300184231000/?&cond2=1&cond200=1&&his=sa2,030-0852 青森県青森市大野片岡１４−１２,40.8088797,140.7380156
青森沖館郵便局,https://map.japanpost.jp/p/search/dtl/300184116000/?&cond2=1&cond200=1&&his=sa2,038-0002 青森県青森市沖館５−５−２８,40.8328381,140.7233569
青森金沢郵便局,https://map.japanpost.jp/p/search/dtl/300184268000/?&cond2=1&cond200=1&&his=sa2,030-0853 青森県青森市金沢１−８−９,40.8128314,140.7336022
青森合浦郵便局,https://map.japanpost.jp/p/search/dtl/300184146000/?&cond2=1&cond200=1&&his=sa2,030-0902 青森県青森市合浦２−１３−２２,40.8270286,140.7778428
青森県庁内郵便局,https://map.japanpost.jp/p/search/dtl/300184253000/?&cond2=1&cond200=1&&his=sa2,030-0861 青森県青森市長島１−１−１（青森県庁内）,40.8242583,140.7402067
青森幸畑郵便局,https://map.japanpost.jp/p/search/dtl/300184265000/?&cond2=1&cond200=1&&his=sa2,030-0943 青森県青森市幸畑１−２２−１２,40.7813414,140.7812047
青森小柳郵便局,https://map.japanpost.jp/p/search/dtl/300184271000/?&cond2=1&cond200=1&&his=sa2,030-0915 青森県青森市小柳１−１８−１４,40.821965,140.7916164
青森栄町郵便局,https://map.japanpost.jp/p/search/dtl/300184082000/?&cond2=1&cond200=1&&his=sa2,030-0903 青森県青森市栄町１−８−１０,40.8255533,140.7659942
青森三内郵便局,https://map.japanpost.jp/p/search/dtl/300184261000/?&cond2=1&cond200=1&&his=sa2,038-0031 青森県青森市三内稲元７５−９,40.8244525,140.70857
青森新町郵便局,https://map.japanpost.jp/p/search/dtl/300184067000/?&cond2=1&cond200=1&&his=sa2,030-0803 青森県青森市安方２−９−２０,40.8278825,140.7420981
青森千刈郵便局,https://map.japanpost.jp/p/search/dtl/300184235000/?&cond2=1&cond200=1&&his=sa2,038-0015 青森県青森市千刈１−１５−１６,40.8253944,140.726935
青森千富郵便局,https://map.japanpost.jp/p/search/dtl/300184257000/?&cond2=1&cond200=1&&his=sa2,030-0854 青森県青森市千富町１−４−９,40.8181536,140.7289522
青森高田郵便局,https://map.japanpost.jp/p/search/dtl/300184172000/?&cond2=1&cond200=1&&his=sa2,030-0151 青森県青森市高田川瀬３９７−４,40.7676611,140.7220683
青森佃郵便局,https://map.japanpost.jp/p/search/dtl/300184238000/?&cond2=1&cond200=1&&his=sa2,030-0962 青森県青森市佃２−４−３,40.8209119,140.7775956
青森造道郵便局,https://map.japanpost.jp/p/search/dtl/300184254000/?&cond2=1&cond200=1&&his=sa2,030-0911 青森県青森市造道１−７−１５,40.8319253,140.7874883
青森筒井郵便局,https://map.japanpost.jp/p/search/dtl/300184229000/?&cond2=1&cond200=1&&his=sa2,030-0841 青森県青森市奥野２−２２−６,40.8141764,140.7635775
青森戸山郵便局,https://map.japanpost.jp/p/search/dtl/300184279000/?&cond2=1&cond200=1&&his=sa2,030-0957 青森県青森市蛍沢３−１２−１９,40.7981181,140.8021106
青森問屋町簡易郵便局,https://map.japanpost.jp/p/search/dtl/300184773000/?&cond2=1&cond200=1&&his=sa2,030-0131 青森県青森市問屋町２−１７−３,40.7876872,140.7548789
青森中筒井郵便局,https://map.japanpost.jp/p/search/dtl/300184281000/?&cond2=1&cond200=1&&his=sa2,030-0944 青森県青森市筒井桜川８７−６,40.8024786,140.7755128
青森長島郵便局,https://map.japanpost.jp/p/search/dtl/300184207000/?&cond2=1&cond200=1&&his=sa2,030-0861 青森県青森市長島３−２０−１７,40.8196833,140.7434789
青森浪館郵便局,https://map.japanpost.jp/p/search/dtl/300184266000/?&cond2=1&cond200=1&&his=sa2,038-0024 青森県青森市浪館前田３−２２−１３,40.8101208,140.7165339
青森西滝郵便局,https://map.japanpost.jp/p/search/dtl/300184277000/?&cond2=1&cond200=1&&his=sa2,038-0014 青森県青森市西滝２−１４−１２,40.8186175,140.7182667
青森浜田郵便局,https://map.japanpost.jp/p/search/dtl/300184275000/?&cond2=1&cond200=1&&his=sa2,030-0843 青森県青森市浜田玉川１７９−１２,40.8010031,140.7579675
青森古川一郵便局,https://map.japanpost.jp/p/search/dtl/300184164000/?&cond2=1&cond200=1&&his=sa2,030-0862 青森県青森市古川１−１５−５,40.8249361,140.736865
青森古川三郵便局,https://map.japanpost.jp/p/search/dtl/300184105000/?&cond2=1&cond200=1&&his=sa2,030-0862 青森県青森市古川３−１５−１０,40.8210472,140.7363233
青森本町郵便局,https://map.japanpost.jp/p/search/dtl/300184072000/?&cond2=1&cond200=1&&his=sa2,030-0802 青森県青森市本町２−１１−２１,40.8260003,140.7498475
