0,1,2,Latitude,Longitude
熱海郵便局,https://map.japanpost.jp/p/search/dtl/300123006000/?&cond2=1&cond200=1&&his=sa2,413-8799 静岡県熱海市水口町１３−１４,35.0955869,139.0693247
網代郵便局,https://map.japanpost.jp/p/search/dtl/300123087000/?&cond2=1&cond200=1&&his=sa2,413-0103 静岡県熱海市網代１７４,35.0475772,139.0910803
熱海駅前郵便局,https://map.japanpost.jp/p/search/dtl/300123260000/?&cond2=1&cond200=1&&his=sa2,413-0011 静岡県熱海市田原本町４−１０,35.1022233,139.0768733
熱海上多賀郵便局,https://map.japanpost.jp/p/search/dtl/300123431000/?&cond2=1&cond200=1&&his=sa2,413-0101 静岡県熱海市上多賀宮脇７４１−１,35.0623047,139.0709775
熱海昭和郵便局,https://map.japanpost.jp/p/search/dtl/300123307000/?&cond2=1&cond200=1&&his=sa2,413-0022 静岡県熱海市昭和町１９−１,35.0918489,139.0696439
熱海和田木郵便局,https://map.japanpost.jp/p/search/dtl/300123331000/?&cond2=1&cond200=1&&his=sa2,413-0102 静岡県熱海市下多賀１６５−１,35.0442197,139.0823878
伊豆山郵便局,https://map.japanpost.jp/p/search/dtl/300123122000/?&cond2=1&cond200=1&&his=sa2,413-0002 静岡県熱海市伊豆山５７９,35.1114258,139.0850972
南熱海郵便局,https://map.japanpost.jp/p/search/dtl/300123199000/?&cond2=1&cond200=1&&his=sa2,413-0102 静岡県熱海市下多賀９０６−６,35.0495572,139.071125
青羽根郵便局,https://map.japanpost.jp/p/search/dtl/300123109000/?&cond2=1&cond200=1&&his=sa2,410-3213 静岡県伊豆市青羽根１９２−１,34.9327967,138.9336275
修善寺温泉郵便局,https://map.japanpost.jp/p/search/dtl/300123243000/?&cond2=1&cond200=1&&his=sa2,410-2416 静岡県伊豆市修善寺６９９−７,34.9732578,138.9334314
修善寺郵便局,https://map.japanpost.jp/p/search/dtl/300123039000/?&cond2=1&cond200=1&&his=sa2,410-2499 静岡県伊豆市柏久保４７３−１,34.9760139,138.9491058
土肥恋人岬簡易郵便局,https://map.japanpost.jp/p/search/dtl/300123735000/?&cond2=1&cond200=1&&his=sa2,410-3304 静岡県伊豆市小下田１７２２−１,34.8779894,138.7611586
土肥郵便局,https://map.japanpost.jp/p/search/dtl/300123040000/?&cond2=1&cond200=1&&his=sa2,410-3399 静岡県伊豆市土肥４６７,34.9115047,138.7930047
