0,1,2,Latitude,Longitude
川添簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178698000/?&cond2=1&cond200=1&&his=sa2,899-6103 鹿児島県姶良郡湧水町川添１３８５−４,31.9929811,130.7483044
栗野郵便局,https://map.japanpost.jp/p/search/dtl/300178085000/?&cond2=1&cond200=1&&his=sa2,899-6299 鹿児島県姶良郡湧水町木場１５１−１,31.9524747,130.7236686
幸田郵便局,https://map.japanpost.jp/p/search/dtl/300178328000/?&cond2=1&cond200=1&&his=sa2,899-6205 鹿児島県姶良郡湧水町幸田８９３−３,31.9386711,130.6754558
轟簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178775000/?&cond2=1&cond200=1&&his=sa2,899-6204 鹿児島県姶良郡湧水町稲葉崎１４２−１,31.9667219,130.6927233
般若寺簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178699000/?&cond2=1&cond200=1&&his=sa2,899-6105 鹿児島県姶良郡湧水町般若寺１３８８−１,32.0258942,130.7376811
吉松郵便局,https://map.japanpost.jp/p/search/dtl/300178039000/?&cond2=1&cond200=1&&his=sa2,899-6102 鹿児島県姶良郡湧水町中津川５８６−１,32.014845,130.7439369
加治木郵便局,https://map.japanpost.jp/p/search/dtl/300178003000/?&cond2=1&cond200=1&&his=sa2,899-5299 鹿児島県姶良市加治木町本町１７６,31.7377322,130.6656858
あいら池島郵便局,https://map.japanpost.jp/p/search/dtl/300178497000/?&cond2=1&cond200=1&&his=sa2,899-5653 鹿児島県姶良市池島町３３−４,31.7186383,130.6121186
姶良ニュータウン簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178836000/?&cond2=1&cond200=1&&his=sa2,899-5656 鹿児島県姶良市西姶良３−１９−１０,31.7328344,130.5986986
姶良郵便局,https://map.japanpost.jp/p/search/dtl/300178137000/?&cond2=1&cond200=1&&his=sa2,899-5411 鹿児島県姶良市鍋倉１４８３−３,31.7422325,130.6267325
イオンタウン姶良内郵便局,https://map.japanpost.jp/p/search/dtl/300178494000/?&cond2=1&cond200=1&&his=sa2,899-5421 鹿児島県姶良市東餅田３３６,31.7332917,130.628245
漆簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178711000/?&cond2=1&cond200=1&&his=sa2,899-5301 鹿児島県姶良市蒲生町漆３２８−１,31.8236931,130.5603081
加治木須崎郵便局,https://map.japanpost.jp/p/search/dtl/300178418000/?&cond2=1&cond200=1&&his=sa2,899-5241 鹿児島県姶良市加治木町木田１７２０,31.7306722,130.6460764
蒲生郵便局,https://map.japanpost.jp/p/search/dtl/300178029000/?&cond2=1&cond200=1&&his=sa2,899-5399 鹿児島県姶良市蒲生町上久徳２４４１,31.7636578,130.5717728
北山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178840000/?&cond2=1&cond200=1&&his=sa2,899-5541 鹿児島県姶良市北山８３８−５,31.8189439,130.6014681
木田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178809000/?&cond2=1&cond200=1&&his=sa2,899-5241 鹿児島県姶良市加治木町木田３８７７−１,31.7469369,130.653395
木津志簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178619000/?&cond2=1&cond200=1&&his=sa2,899-5545 鹿児島県姶良市木津志１８４４−２,31.8212208,130.5820019
小山田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178612000/?&cond2=1&cond200=1&&his=sa2,899-5203 鹿児島県姶良市加治木町小山田４５１−２,31.7599586,130.6743789
重富郵便局,https://map.japanpost.jp/p/search/dtl/300178028000/?&cond2=1&cond200=1&&his=sa2,899-5699 鹿児島県姶良市脇元２２７−２,31.7025781,130.6119714
高井田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178831000/?&cond2=1&cond200=1&&his=sa2,899-5231 鹿児島県姶良市加治木町反土２２８０−１,31.7466411,130.6623422
帖佐駅前郵便局,https://map.japanpost.jp/p/search/dtl/300178326000/?&cond2=1&cond200=1&&his=sa2,899-5432 鹿児島県姶良市宮島町２７−７,31.7276506,130.6285914
帖佐松原簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178772000/?&cond2=1&cond200=1&&his=sa2,899-5422 鹿児島県姶良市松原町１−２５−６,31.7196569,130.6325444
堂山簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178639000/?&cond2=1&cond200=1&&his=sa2,899-5541 鹿児島県姶良市北山２６５９−１,31.8589153,130.6019972
西別府簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178601000/?&cond2=1&cond200=1&&his=sa2,899-5201 鹿児島県姶良市加治木町西別府２４８２−７,31.7662192,130.6507519
三船郵便局,https://map.japanpost.jp/p/search/dtl/300178423000/?&cond2=1&cond200=1&&his=sa2,899-5403 鹿児島県姶良市増田４３６,31.7560136,130.6009647
山田郵便局,https://map.japanpost.jp/p/search/dtl/300178162000/?&cond2=1&cond200=1&&his=sa2,899-5599 鹿児島県姶良市下名１０６８−１,31.7719628,130.6132464
米丸簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178784000/?&cond2=1&cond200=1&&his=sa2,899-5308 鹿児島県姶良市蒲生町米丸１６２７,31.7799506,130.5681417
阿久根大丸郵便局,https://map.japanpost.jp/p/search/dtl/300178417000/?&cond2=1&cond200=1&&his=sa2,899-1626 鹿児島県阿久根市鶴見町１３,32.0129114,130.1975625
阿久根山下郵便局,https://map.japanpost.jp/p/search/dtl/300178440000/?&cond2=1&cond200=1&&his=sa2,899-1625 鹿児島県阿久根市波留２５５５−１,32.0103122,130.2126142
阿久根郵便局,https://map.japanpost.jp/p/search/dtl/300178012000/?&cond2=1&cond200=1&&his=sa2,899-1699 鹿児島県阿久根市栄町１３,32.0216189,130.1959819
大川郵便局,https://map.japanpost.jp/p/search/dtl/300178199000/?&cond2=1&cond200=1&&his=sa2,899-1741 鹿児島県阿久根市大川８３９６−２,31.9490864,130.2177867
折口簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178605000/?&cond2=1&cond200=1&&his=sa2,899-1601 鹿児島県阿久根市折口１８２７,32.0617353,130.2192803
黒之浜簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178806000/?&cond2=1&cond200=1&&his=sa2,899-1131 鹿児島県阿久根市脇本９６３９,32.0903447,130.1777219
鶴川内郵便局,https://map.japanpost.jp/p/search/dtl/300178426000/?&cond2=1&cond200=1&&his=sa2,899-1603 鹿児島県阿久根市鶴川内４３２９−３,32.0284894,130.2372425
西目郵便局,https://map.japanpost.jp/p/search/dtl/300178276000/?&cond2=1&cond200=1&&his=sa2,899-1627 鹿児島県阿久根市西目１２９１−２,31.9871392,130.2029989
脇本郵便局,https://map.japanpost.jp/p/search/dtl/300178023000/?&cond2=1&cond200=1&&his=sa2,899-1131 鹿児島県阿久根市脇本８２９２−１８,32.0825339,130.1955986
名瀬郵便局,https://map.japanpost.jp/p/search/dtl/300179001000/?&cond2=1&cond200=1&&his=sa2,894-8799 鹿児島県奄美市名瀬幸町３−１０,28.3796556,129.4942133
赤木名郵便局,https://map.japanpost.jp/p/search/dtl/300179003000/?&cond2=1&cond200=1&&his=sa2,894-0599 鹿児島県奄美市笠利町里３７−４,28.4521056,129.6781767
朝仁簡易郵便局,https://map.japanpost.jp/p/search/dtl/300179731000/?&cond2=1&cond200=1&&his=sa2,894-0041 鹿児島県奄美市名瀬朝仁新町１９−９,28.396545,129.4849225
宇宿郵便局,https://map.japanpost.jp/p/search/dtl/300179005000/?&cond2=1&cond200=1&&his=sa2,894-0501 鹿児島県奄美市笠利町宇宿１４０,28.4492372,129.7114472
浦上郵便局,https://map.japanpost.jp/p/search/dtl/300179010000/?&cond2=1&cond200=1&&his=sa2,894-0062 鹿児島県奄美市名瀬有屋町１−４,28.3938192,129.5263372
大島小湊郵便局,https://map.japanpost.jp/p/search/dtl/300179013000/?&cond2=1&cond200=1&&his=sa2,894-0771 鹿児島県奄美市名瀬小湊２６４−５,28.3219344,129.5306425
笠利郵便局,https://map.japanpost.jp/p/search/dtl/300179002000/?&cond2=1&cond200=1&&his=sa2,894-0699 鹿児島県奄美市笠利町笠利２２,28.4892556,129.6943411
喜瀬簡易郵便局,https://map.japanpost.jp/p/search/dtl/300179722000/?&cond2=1&cond200=1&&his=sa2,894-0507 鹿児島県奄美市笠利町喜瀬２２６,28.4224233,129.6546453
小宿郵便局,https://map.japanpost.jp/p/search/dtl/300179012000/?&cond2=1&cond200=1&&his=sa2,894-0045 鹿児島県奄美市名瀬平松町４５４,28.3985222,129.4681375
住用郵便局,https://map.japanpost.jp/p/search/dtl/300179016000/?&cond2=1&cond200=1&&his=sa2,894-1299 鹿児島県奄美市住用町石原４,28.26505,129.4078719
節田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300179701000/?&cond2=1&cond200=1&&his=sa2,894-0504 鹿児島県奄美市笠利町節田２２２−３,28.4170528,129.6895808
東城郵便局,https://map.japanpost.jp/p/search/dtl/300179017000/?&cond2=1&cond200=1&&his=sa2,894-1111 鹿児島県奄美市住用町城３８７,28.2960092,129.4572303
永田橋郵便局,https://map.japanpost.jp/p/search/dtl/300179011000/?&cond2=1&cond200=1&&his=sa2,894-0017 鹿児島県奄美市名瀬石橋町６−６,28.3752758,129.4977083
名瀬佐大熊郵便局,https://map.japanpost.jp/p/search/dtl/300179064000/?&cond2=1&cond200=1&&his=sa2,894-0005 鹿児島県奄美市名瀬佐大熊町１４−１４,28.3904325,129.5057092
名瀬長浜簡易郵便局,https://map.japanpost.jp/p/search/dtl/300179738000/?&cond2=1&cond200=1&&his=sa2,894-0036 鹿児島県奄美市名瀬長浜町１４−１０,28.3943933,129.4948769
名瀬平田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300179730000/?&cond2=1&cond200=1&&his=sa2,894-0014 鹿児島県奄美市名瀬平田町１４−１,28.3622744,129.4997044
名瀬古田郵便局,https://map.japanpost.jp/p/search/dtl/300179060000/?&cond2=1&cond200=1&&his=sa2,894-0016 鹿児島県奄美市名瀬古田町１１−３４,28.3700661,129.4987767
屋仁郵便局,https://map.japanpost.jp/p/search/dtl/300179004000/?&cond2=1&cond200=1&&his=sa2,894-0626 鹿児島県奄美市笠利町屋仁７４,28.4983764,129.6563369
山間簡易郵便局,https://map.japanpost.jp/p/search/dtl/300179732000/?&cond2=1&cond200=1&&his=sa2,894-1204 鹿児島県奄美市住用町山間４１５−１,28.2436472,129.4144525
青木簡易郵便局,https://map.japanpost.jp/p/search/dtl/300178649000/?&cond2=1&cond200=1&&his=sa2,895-2504 鹿児島県伊佐市大口青木９２９−４,32.0561583,130.6353181
牛尾郵便局,https://map.japanpost.jp/p/search/dtl/300178346000/?&cond2=1&cond200=1&&his=sa2,895-2501 鹿児島県伊佐市大口牛尾１４０９,32.1019181,130.6142322
大口郵便局,https://map.japanpost.jp/p/search/dtl/300178013000/?&cond2=1&cond200=1&&his=sa2,895-2599 鹿児島県伊佐市大口元町１１−１,32.0582747,130.6098519
